ccle	outliers	tissue
BI-BLCA-CCLE-253J-Tumor	10239	URINARY_TRACT
BI-BLCA-CCLE-253J_BV-Tumor	9633	URINARY_TRACT
BI-BLCA-CCLE-639_V-Tumor	8222	URINARY_TRACT
BI-BLCA-CCLE-647_V-Tumor	10037	URINARY_TRACT
BI-BLCA-CCLE-BC_3C-Tumor	7125	URINARY_TRACT
BI-BLCA-CCLE-BFTC_905-Tumor	9916	URINARY_TRACT
BI-BLCA-CCLE-CAL_29-Tumor	9162	URINARY_TRACT
BI-BLCA-CCLE-Hs_172_T-Tumor	11085	URINARY_TRACT
BI-BLCA-CCLE-HT_1197-Tumor	8450	URINARY_TRACT
BI-BLCA-CCLE-HT_1376-Tumor	7818	URINARY_TRACT
BI-BLCA-CCLE-J82-Tumor	8404	URINARY_TRACT
BI-BLCA-CCLE-JMSU_1-Tumor	9615	URINARY_TRACT
BI-BLCA-CCLE-KMBC_2-Tumor	10395	URINARY_TRACT
BI-BLCA-CCLE-KU_19_19-Tumor	10816	URINARY_TRACT
BI-BLCA-CCLE-RT_112-Tumor	7911	URINARY_TRACT
BI-BLCA-CCLE-SCaBER-Tumor	8562	URINARY_TRACT
BI-BLCA-CCLE-SW_1710-Tumor	13141	URINARY_TRACT
BI-BLCA-CCLE-SW_780-Tumor	21409	URINARY_TRACT
BI-BLCA-CCLE-T24-Tumor	7216	URINARY_TRACT
BI-BLCA-CCLE-TCCSUP-Tumor	9044	URINARY_TRACT
BI-BLCA-CCLE-U_BLC1-Tumor	10246	URINARY_TRACT
BI-BLCA-CCLE-UM_UC_1-Tumor	10104	URINARY_TRACT
BI-BLCA-CCLE-UM_UC_3-Tumor	9865	URINARY_TRACT
BI-BRCA-CCLE-AU565-Tumor	8709	BREAST
BI-BRCA-CCLE-BT_20-Tumor	8599	BREAST
BI-BRCA-CCLE-BT_474-Tumor	7962	BREAST
BI-BRCA-CCLE-BT_483-Tumor	7927	BREAST
BI-BRCA-CCLE-BT_549-Tumor	11373	BREAST
BI-BRCA-CCLE-CAL_120-Tumor	10423	BREAST
BI-BRCA-CCLE-CAL_148-Tumor	11303	BREAST
BI-BRCA-CCLE-CAL_51-Tumor	11227	BREAST
BI-BRCA-CCLE-CAL_85_1-Tumor	9298	BREAST
BI-BRCA-CCLE-CAMA_1-Tumor	9410	BREAST
BI-BRCA-CCLE-EFM_19-Tumor	8810	BREAST
BI-BRCA-CCLE-EFM_192A-Tumor	8119	BREAST
BI-BRCA-CCLE-HCC1187-Tumor	9244	BREAST
BI-BRCA-CCLE-HCC1395-Tumor	11157	BREAST
BI-BRCA-CCLE-HCC1428-Tumor	9952	BREAST
BI-BRCA-CCLE-HCC1500-Tumor	12107	BREAST
BI-BRCA-CCLE-HCC1569-Tumor	10311	BREAST
BI-BRCA-CCLE-HCC1599-Tumor	17591	BREAST
BI-BRCA-CCLE-HCC1806-Tumor	10870	BREAST
BI-BRCA-CCLE-HCC1937-Tumor	10342	BREAST
BI-BRCA-CCLE-HCC202-Tumor	8116	BREAST
BI-BRCA-CCLE-HCC2157-Tumor	9620	BREAST
BI-BRCA-CCLE-HCC38-Tumor	8906	BREAST
BI-BRCA-CCLE-HCC70-Tumor	7923	BREAST
BI-BRCA-CCLE-HDQ_P1-Tumor	9834	BREAST
BI-BRCA-CCLE-HMC_1_8-Tumor	8713	BREAST
BI-BRCA-CCLE-Hs_281_T-Tumor	7802	BREAST
BI-BRCA-CCLE-Hs_343_T-Tumor	8200	BREAST
BI-BRCA-CCLE-Hs_578T-Tumor	11252	BREAST
BI-BRCA-CCLE-Hs_606_T-Tumor	7759	BREAST
BI-BRCA-CCLE-Hs_739_T-Tumor	8468	BREAST
BI-BRCA-CCLE-Hs_742_T-Tumor	8626	BREAST
BI-BRCA-CCLE-JIMT_1-Tumor	11963	BREAST
BI-BRCA-CCLE-KPL_1-Tumor	8420	BREAST
BI-BRCA-CCLE-MDA_MB_134_VI-Tumor	20104	BREAST
BI-BRCA-CCLE-MDA_MB_157-Tumor	10748	BREAST
BI-BRCA-CCLE-MDA_MB_175_VII-Tumor	9459	BREAST
BI-BRCA-CCLE-MDA_MB_231-Tumor	10856	BREAST
BI-BRCA-CCLE-MDA_MB_415-Tumor	14347	BREAST
BI-BRCA-CCLE-MDA_MB_435S-Tumor	10460	BREAST
BI-BRCA-CCLE-MDA_MB_436-Tumor	10112	BREAST
BI-BRCA-CCLE-MDA_MB_468-Tumor	9008	BREAST
BI-BRCA-CCLE-SK_BR_3-Tumor	7429	BREAST
BI-BRCA-CCLE-UACC_812-Tumor	18046	BREAST
BI-BRCA-CCLE-UACC_893-Tumor	10786	BREAST
BI-BRCA-CCLE-ZR_75_1-Tumor	20024	BREAST
BI-BRCA-CCLE-ZR_75_30-Tumor	8886	BREAST
BI-CESC-CCLE-AN3_CA-Tumor	11040	CERVICAL
BI-CESC-CCLE-COLO_684-Tumor	13375	CERVICAL
BI-CESC-CCLE-EFE_184-Tumor	10026	CERVICAL
BI-CESC-CCLE-EN-Tumor	10457	CERVICAL
BI-CESC-CCLE-HEC_108-Tumor	19030	CERVICAL
BI-CESC-CCLE-HEC_151-Tumor	10428	CERVICAL
