drug : tissue_type	spearman p-value	spearman corr val	adjusted p-value
17-AAG_CENTRAL_NERVOUS_SYSTEM	0.07387770688865801	0.5878787878787878 	0.48894606676707775
17-AAG_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.2838999763379956	0.401677156202747	0.7270758323989276
17-AAG_LUNG	0.2878810228248908	0.20057885149957558	0.7270758323989276
AEW541_CENTRAL_NERVOUS_SYSTEM	0.9602404181286243	0.01818181818181818	0.9868608621053465
AEW541_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.8646897846262037	-0.06666666666666667	0.9780917235935747
AEW541_LUNG	0.7360143406990132	0.06308343327781335	0.938916943934403
AZD0530_CENTRAL_NERVOUS_SYSTEM	0.960119464496727	0.01823716631040194	0.9868608621053465
AZD0530_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.012732203687083587	0.7822165589515727	0.359060945123311
AZD0530_LUNG	0.03602593229591025	0.37201678580751124	0.4142982214029679
AZD6244_CENTRAL_NERVOUS_SYSTEM	0.7431617840585842	-0.12780193008453875	0.938916943934403
AZD6244_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.12687036692367104	0.5477225575051661	0.5471284573583314
AZD6244_LUNG	0.07957228935951573	0.31451389368378535	0.48894606676707775
Cisplastin_LUNG	0.3658013646779513	-0.16534493089748323	0.7589350448990302
Docetaxel_CENTRAL_NERVOUS_SYSTEM	0.4019685843578244	-0.3195048252113469	0.7589350448990302
Docetaxel_LUNG	0.7116214635386113	0.0717137165600636	0.938916943934403
Erlotinib_CENTRAL_NERVOUS_SYSTEM	0.7892345325825416	-0.09726488698881035	0.938916943934403
Erlotinib_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.07091459126515767	0.6266795614405122	0.48894606676707775
Erlotinib_LUNG	0.015190155777370266	0.4391347710701858	0.359060945123311
Irinotecan_CENTRAL_NERVOUS_SYSTEM	0.3266572580343008	-0.34650615989763683	0.7270758323989276
Irinotecan_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.3992638742032819	-0.34731161595484505	0.7589350448990302
Irinotecan_LUNG	0.08760812043427385	-0.31723070298212563	0.48894606676707775
LBW242_CENTRAL_NERVOUS_SYSTEM	0.23279441018467487	-0.4151994368861456	0.6692839292809403
LBW242_LUNG	0.21954853823912768	0.2231629149264144	0.6692839292809403
Lapatinib_CENTRAL_NERVOUS_SYSTEM	0.09212027344886972	-0.59336610396393	0.48894606676707775
Lapatinib_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.5738350597133967	-0.2175970699446223	0.8424387046856249
Lapatinib_LUNG	0.0615902771726943	0.33962402109888956	0.48894606676707775
Nutlin-3_CENTRAL_NERVOUS_SYSTEM	0.815171544541529	0.08510677611520903	0.9533362131078897
Nutlin-3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.5734103482672186	0.21783245945486837	0.8424387046856249
Nutlin-3_LUNG	0.39280986702944887	0.1679986465819707	0.7589350448990302
PD-0325901_CENTRAL_NERVOUS_SYSTEM	0.7624629172199548	0.10990639125199012	0.938916943934403
PD-0325901_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.17310584624513142	0.5790660241435863	0.5969818025389733
PD-0325901_LUNG	0.2969571671580376	0.20433154863461556	0.7270758323989276
PD-0332991_CENTRAL_NERVOUS_SYSTEM	0.12497678418833198	0.5499999999999999	0.5471284573583314
PD-0332991_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.020815127253525276	-0.7857142857142858	0.359060945123311
PD-0332991_LUNG	0.30255414684603293	0.19825868531184246	0.7270758323989276
PF-2341066_CENTRAL_NERVOUS_SYSTEM	0.48877630451924314	-0.24848484848484845	0.8225747563860434
PF-2341066_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.019942126131992522	0.75	0.359060945123311
PF-2341066_LUNG	0.30728808230405225	0.18630239419752706	0.7270758323989276
PHA-665752_CENTRAL_NERVOUS_SYSTEM	0.1476170192072335	-0.4930493313022979	0.5969818025389733
PHA-665752_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.7607761854873132	-0.11881770515720091	0.938916943934403
PHA-665752_LUNG	0.11360414282824945	0.3057360662539334	0.5471284573583314
Paclitaxel_CENTRAL_NERVOUS_SYSTEM	0.554646423221937	-0.24743582965269675	0.8424387046856249
Paclitaxel_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.18169011381620928	-0.7071067811865475	0.5969818025389733
Paclitaxel_LUNG	0.9436670867430282	0.014273583719159252	0.9868608621053465
Panobinostat_CENTRAL_NERVOUS_SYSTEM	0.9725585307704865	0.012546646533497349	0.9868608621053465
Panobinostat_LUNG	0.35181853077829617	0.17613912512563928	0.7586087069907012
RAF265_CENTRAL_NERVOUS_SYSTEM	0.9337729580941466	0.0303030303030303	0.9868608621053465
RAF265_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.9103153570041667	-0.04790505047653036	0.9868608621053465
RAF265_LUNG	0.9711259927198042	-0.007465737654893416	0.9868608621053465
Sorafenib_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.033013078209725745	0.7074749701108396	0.4142982214029679
Sorafenib_LUNG	0.8500491257826068	0.03479491808619988	0.9775564946499978
Staurosporine_CENTRAL_NERVOUS_SYSTEM	1.0	0.0	1.0
Staurosporine_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.7787234682933725	-0.10971343143406388	0.938916943934403
Staurosporine_LUNG	0.5681819463885041	0.10478241575573409	0.8424387046856249
TAE684_CENTRAL_NERVOUS_SYSTEM	0.603217610029209	-0.18787878787878787	0.867125314416988
TAE684_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.5164895523012263	0.25	0.8287855606694097
TAE684_LUNG	0.3178741646306057	0.18545492389575172	0.7270758323989276
TKI258_CENTRAL_NERVOUS_SYSTEM	0.5055248490013543	-0.23928181646454103	0.8287855606694097
TKI258_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.7558326362593347	0.13173888881045848	0.938916943934403
TKI258_LUNG	0.40696516900382784	0.15177792413036748	0.7589350448990302
Topotecan_CENTRAL_NERVOUS_SYSTEM	0.17245503609398916	-0.46808726863364974	0.5969818025389733
Topotecan_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.7323675052362975	-0.13333333333333333	0.938916943934403
Topotecan_LUNG	0.2274711789605662	-0.23123390833115012	0.6692839292809403
Tozasertib_CENTRAL_NERVOUS_SYSTEM	0.4580688437057311	-0.2845213189769458	0.7935523174658669
Tozasertib_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.46003032896571994	0.2833333333333333	0.7935523174658669
