ccle	outlier	tissue	ic50
697	730	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0606
KELLY	3202	CENTRAL_NERVOUS_SYSTEM	0.112
MOLT_13	3827	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.117
SU_DHL_6	2510	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.155
RPMI_8402	966	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.162
MHH_NB_11	38432	CENTRAL_NERVOUS_SYSTEM	0.163
AsPC_1	1134	PANCREAS	0.214
BHT_101	1423	THYROID	0.215
MOLT_16	1279	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.234
JURL_MK1	4191	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.256
KE_37	1823	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.276
LAMA_84	1188	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.302
RCH_ACV	812	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.358
RS4_11	2514	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.364
CML_T1	2116	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.388
ES_2	873	OVARY	0.392
ONS_76	2314	CENTRAL_NERVOUS_SYSTEM	0.392
BV_173	16007	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.393
MHH_ES_1	2971	BONE_AND_SOFT_TISSUE	0.453
TT2609_C02	2378	THYROID	0.458
SKM_1	805	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.474
SUIT_2	3490	PANCREAS	0.53
SIMA	2852	CENTRAL_NERVOUS_SYSTEM	0.543
SCaBER	1092	URINARY_TRACT	0.556
NCI_H520	2006	LUNG	0.56
CAL_29	1297	URINARY_TRACT	0.57
OVTOKO	959	OVARY	0.57
OS_RC_2	1390	KIDNEY	0.582
EM_2	1392	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.61
COLO_800	879	SKIN	0.673
KOPN_8	1368	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.675
TYK_nu	1305	OVARY	0.695
SK_LU_1	1873	LUNG	0.707
RPMI_8226	1249	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.708
CAL_33	2283	UPPER_AERODIGESTIVE_TRACT	0.709
MEL_JUSO	1072	SKIN	0.732
NCI_H838	5203	LUNG	0.784
SF268	1239	CENTRAL_NERVOUS_SYSTEM	0.809
EBC_1	1266	LUNG	0.824
S_117	832	THYROID	0.869
YH_13	4922	CENTRAL_NERVOUS_SYSTEM	0.886
HH	1352	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.914
OE21	1310	OESOPHAGUS	0.92
SU_DHL_10	1810	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.938
MIA_PaCa_2	1830	PANCREAS	0.961
huH_1	2674	BILIARY	0.989
MG_63	1766	BONE_AND_SOFT_TISSUE	1.02
NOMO_1	1786	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1.04
BHY	6406	UPPER_AERODIGESTIVE_TRACT	1.05
TE_8	3840	OESOPHAGUS	1.06
BFTC_905	1377	URINARY_TRACT	1.07
NCI_H209	1778	LUNG	1.07
NCI_H747	1364	LARGE_INTESTINE	1.08
MOLM_16	1492	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1.08
SJSA_1	1112	BONE_AND_SOFT_TISSUE	1.1
HOS	2032	BONE_AND_SOFT_TISSUE	1.11
B_CPAP	1328	THYROID	1.13
MSTO_211H	837	LUNG	1.13
NCI_H1355	1337	LUNG	1.18
NCI_H1703	944	LUNG	1.18
HT_1080	1025	BONE_AND_SOFT_TISSUE	1.21
KM12	7295	LARGE_INTESTINE	1.22
DBTRG_05MG	982	CENTRAL_NERVOUS_SYSTEM	1.23
RPMI_7951	1662	SKIN	1.24
LXF_289	3464	LUNG	1.24
NUGC_3	1147	STOMACH	1.24
HL_60	4186	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1.38
H4	1205	CENTRAL_NERVOUS_SYSTEM	1.38
CAL_51	2001	BREAST	1.4
T98G	554	CENTRAL_NERVOUS_SYSTEM	1.4
NCI_H2023	772	LUNG	1.41
VMRC_RCZ	1493	KIDNEY	1.43
CHP_126	2950	CENTRAL_NERVOUS_SYSTEM	1.44
SK_MES_1	995	LUNG	1.57
NU_DUL_1	1426	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1.58
GA_10	1826	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1.6
GAMG	928	CENTRAL_NERVOUS_SYSTEM	1.63
JM1	1519	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1.64
NCI_H2087	903	LUNG	1.65
SK_HEP_1	615	BILIARY	1.68
TOV_21G	1409	OVARY	1.69
RKN	1119	BONE_AND_SOFT_TISSUE	1.74
CAL_54	867	KIDNEY	1.75
G_402	1831	KIDNEY	1.75
LCLC_97TM1	1166	LUNG	1.78
