drug:tissue_type	spearman p-value	spearman corr val	adjusted spearman p-value	pearson p-value	pearson corr val	adjusted pearson p-value
AZD6244_BILIARY	0.9573761750901849	-0.016483516483516484	0.9573761750901849	0.375178852286924	-0.26844744071304555	0.6712162493216209
AZD6244_BONE_AND_SOFT_TISSUE	0.03882943217779468	0.47719298245614034	0.31063545742235743	0.052055275959711184	0.4519582014641456	0.6246092361248959
AZD6244_BREAST	0.23996521061026543	-0.2174483205941116	0.7678886739528494	0.4472416054397207	-0.141633933902411	0.67274443426893
AZD6244_CENTRAL_NERVOUS_SYSTEM	0.7364754283082684	0.059902201188398486	0.9239175889730252	0.6597475324460962	0.07831751993717585	0.733201187683971
AZD6244_DLBC	0.9516148192280787	-0.011569696367065022	0.9573761750901849	0.6697173974355541	-0.08119577445476646	0.733201187683971
AZD6244_KIDNEY	0.021665923367532435	0.709090909090909	0.31063545742235743	0.2658900934387136	0.38949950035468234	0.6712162493216209
AZD6244_LARGE_INTESTINE	0.22466048988773962	0.2573913043478261	0.7678886739528494	0.2760516939507966	0.23166352491771963	0.6712162493216209
AZD6244_LCLL	0.6359903117999886	-0.07519954627135975	0.9239175889730252	0.6981279962014949	0.061649879215521355	0.733201187683971
AZD6244_LUNG	0.169620731628114	0.13912887525853723	0.7678886739528494	0.611112291797142	0.051727520230078664	0.733201187683971
AZD6244_MM	0.7495085962341482	-0.10909090909090911	0.9239175889730252	0.4625117985598894	-0.24781429502623917	0.67274443426893
AZD6244_OESOPHAGUS	0.36884629178393047	-0.25	0.8459042795018694	0.15615230903122398	-0.3852666020472888	0.6246092361248959
AZD6244_OVARY	0.9395779040128779	-0.021428571428571425	0.9573761750901849	0.36319227260372744	0.25286933634658615	0.6712162493216209
AZD6244_PANCREAS	0.37008312228206786	0.30000000000000004	0.8459042795018694	0.10374330625264319	0.5165820531252798	0.6246092361248959
AZD6244_SKIN	0.7283800827921102	-0.07850889892281734	0.9239175889730252	0.37755914024341175	-0.19780650675298897	0.6712162493216209
AZD6244_STOMACH	0.750683041040583	0.11550205329921229	0.9239175889730252	0.733201187683971	0.12384734441177167	0.733201187683971
AZD6244_URINARY_TRACT	0.5779754288392673	-0.17032967032967034	0.9239175889730252	0.1268237310085883	-0.44578705047881917	0.6246092361248959
