drug:tissue_type	spearman p-value	spearman corr val	adjusted spearman p-value	pearson p-value	pearson corr val	adjusted pearson p-value
Cisplatin_BILIARY	0.31913878550330455	-0.31468531468531474	0.7978143443818804	0.9071511995351476	-0.037800962863590415	0.9343528162751563
Cisplatin_BONE_AND_SOFT_TISSUE	0.5437659708696445	-0.15837964242676203	0.7978143443818804	0.559403593479373	-0.1523484988635789	0.8639188613299947
Cisplatin_BREAST	0.5827106787456026	-0.10641704724148059	0.7978143443818804	0.9343528162751563	-0.015998434150268043	0.9343528162751563
Cisplatin_CENTRAL_NERVOUS_SYSTEM	0.6621960760339747	-0.08030066950962307	0.7978143443818804	0.5227279076537055	-0.11726062113652093	0.8639188613299947
Cisplatin_DLBC	0.15207124957226356	0.2833587918353848	0.7978143443818804	0.1636078924758593	0.275909018382102	0.8639188613299947
Cisplatin_LARGE_INTESTINE	0.5665827574598226	-0.14035087719298248	0.7978143443818804	0.5781609969744538	-0.13622272022496648	0.8639188613299947
Cisplatin_LCLL	0.7313298156833903	0.05678425028781421	0.7978143443818804	0.6364324351121818	-0.078117141696594	0.8639188613299947
Cisplatin_LUNG	0.5513390344830214	0.0651266351303735	0.7978143443818804	0.7983870472886831	0.027947860268550347	0.9343528162751563
Cisplatin_MM	0.9140933424107598	0.034965034965034975	0.9140933424107598	0.5941745942533023	-0.17145141068943945	0.8639188613299947
Cisplatin_OESOPHAGUS	0.6850657626568972	0.11428571428571425	0.7978143443818804	0.647939145997496	-0.128562567339698	0.8639188613299947
Cisplatin_OVARY	0.6850657626568972	0.11428571428571425	0.7978143443818804	0.30170380979712746	0.28584594147977643	0.8639188613299947
Cisplatin_SKIN	0.11312213950560147	0.3654135338345864	0.7978143443818804	0.22412575095756695	0.284480324010177	0.8639188613299947
