drug:tissue_type	spearman p-value	spearman corr val	adjusted spearman p-value	pearson p-value	pearson corr val	adjusted pearson p-value
Docetaxel_BILIARY	0.7787253962454419	-0.09090909090909093	0.7787253962454419	0.9357282509634686	-0.02614057641336591	0.9357282509634686
Docetaxel_BONE_AND_SOFT_TISSUE	0.01970856591580171	0.5588235294117647	0.07883426366320684	0.07373618393632991	0.4446324664097489	0.30315198956362766
Docetaxel_BREAST	0.543772015098503	0.11751662971175167	0.7787253962454419	0.910014211109683	-0.021950459971408535	0.9357282509634686
Docetaxel_CENTRAL_NERVOUS_SYSTEM	0.002160908179953898	0.5224126889672853	0.01296544907972339	0.140935040081144	0.2661396040952057	0.33824409619474555
Docetaxel_DLBC	0.7518621272885375	0.06380705310182015	0.7787253962454419	0.6174195993201377	-0.10064874110917424	0.8232261324268503
Docetaxel_LARGE_INTESTINE	0.19835943382493493	-0.30877192982456136	0.5563432732947832	0.12737628236274168	-0.3623394297935368	0.33824409619474555
Docetaxel_LCLL	0.48040473433756503	0.11639676113360324	0.7787253962454419	0.21556799883145114	-0.20283279326882236	0.3695451408539162
Docetaxel_LUNG	0.001367153710927596	0.33986206642337624	0.01296544907972339	0.015031124475483474	0.2614567284741566	0.1803734937058017
Docetaxel_MM	0.762121655996299	0.0979020979020979	0.7787253962454419	0.8416631985444774	-0.06469979238026104	0.9357282509634686
Docetaxel_OESOPHAGUS	0.4748139645221684	-0.19999999999999998	0.7787253962454419	0.20641843287605738	-0.3460548933457273	0.3695451408539162
Docetaxel_OVARY	0.23180969720615968	0.3285714285714285	0.5563432732947832	0.07578799739090691	0.47182786092728357	0.30315198956362766
Docetaxel_SKIN	0.7099206278927328	0.08872180451127819	0.7787253962454419	0.4134879420476816	0.19358457249181588	0.6202319130715224
