Cell line	TCGA classification	Tissue	Tissue sub-type	IC50	AUC
CTV-1	LAML	blood	acute_myeloid_leukaemia	0.0639	0.383
LAMA-84	LCML	blood	chronic_myeloid_leukaemia	0.155	0.534
ALL-SIL	ALL	blood	T_cell_leukemia	0.188	0.569
MEG-01	LCML	blood	chronic_myeloid_leukaemia	0.206	0.581
EM-2	LCML	blood	chronic_myeloid_leukaemia	0.292	0.626
NCI-H1648	LUAD	lung	lung_NSCLC_adenocarcinoma	0.312	0.639
TE-12	ESCA	aero_digestive_tract	oesophagus	0.336	0.641
MY-M12	ALL	blood	leukemia	0.341	0.648
TE-15	ESCA	aero_digestive_tract	oesophagus	0.345	0.65
GDM-1	LAML	blood	acute_myeloid_leukaemia	0.378	0.676
LB996-RCC	KIRC	kidney	kidney	0.485	0.694
KCL-22	LCML	blood	chronic_myeloid_leukaemia	0.492	0.729
GA-10	UNCLASSIFIED	blood	Burkitt_lymphoma	0.511	0.734
BV-173	LCML	blood	chronic_myeloid_leukaemia	0.57	0.746
D-336MG	LGG	nervous_system	glioma	0.594	0.71
EW-24	UNCLASSIFIED	bone	ewings_sarcoma	0.652	0.765
NOS-1	UNCLASSIFIED	bone	osteosarcoma	0.704	0.736
SUP-B15	ALL	blood	lymphoblastic_leukemia	0.731	0.77
LB1047-RCC	KIRC	kidney	kidney	0.742	0.752
Farage	DLBC	blood	B_cell_lymphoma	0.882	0.818
KGN	UNCLASSIFIED	urogenital_system	ovary	0.924	0.769
A704	KIRC	kidney	kidney	0.943	0.8
TE-8	ESCA	aero_digestive_tract	oesophagus	0.967	0.79
NCI-H1436	SCLC	lung	lung_small_cell_carcinoma	0.988	0.784
BB30-HNC	HNSC	aero_digestive_tract	head_and_neck	1.01	0.808
ST486	UNCLASSIFIED	blood	Burkitt_lymphoma	1.02	0.824
SU-DHL-6	DLBC	blood	B_cell_lymphoma	1.02	0.859
NB69	NB	nervous_system	neuroblastoma	1.09	0.833
TGBC24TKB	UNCLASSIFIED	digestive_system	biliary_tract	1.19	0.834
EW-16	UNCLASSIFIED	bone	ewings_sarcoma	1.21	0.819
KS-1	GBM	nervous_system	glioma	1.27	0.801
TE-11	ESCA	aero_digestive_tract	oesophagus	1.31	0.849
TK10	KIRC	kidney	kidney	1.33	0.809
KALS-1	LGG	nervous_system	glioma	1.37	0.797
TE-10	ESCA	aero_digestive_tract	oesophagus	1.42	0.846
TE-1	ESCA	aero_digestive_tract	oesophagus	1.42	0.809
SW872	UNCLASSIFIED	soft_tissue	soft_tissue_other	1.46	0.862
C2BBe1	COREAD	digestive_system	large_intestine	1.47	0.826
K-562	LCML	blood	chronic_myeloid_leukaemia	1.48	0.852
GI-1	LGG	nervous_system	glioma	1.48	0.854
HA7-RCC	KIRC	kidney	kidney	1.53	0.836
SU-DHL-4	DLBC	blood	B_cell_lymphoma	1.54	0.924
BL-70	UNCLASSIFIED	blood	Burkitt_lymphoma	1.59	0.889
KARPAS-231	UNCLASSIFIED	blood	B_cell_leukemia	1.61	0.907
RXF393	KIRC	kidney	kidney	1.62	0.81
MFH-ino	UNCLASSIFIED	soft_tissue	soft_tissue_other	1.62	0.833
BE-13	ALL	blood	lymphoblastic_leukemia	1.66	0.87
DOHH-2	DLBC	blood	B_cell_lymphoma	1.71	0.865
RL95-2	UNCLASSIFIED	urogenital_system	endometrium	1.75	0.865
SK-N-DZ	NB	nervous_system	neuroblastoma	1.81	0.869
SU-DHL-16	DLBC	blood	B_cell_lymphoma	1.82	0.938
SW982	UNCLASSIFIED	soft_tissue	soft_tissue_other	1.84	0.864
HOP-62	LUAD	lung	lung_NSCLC_adenocarcinoma	1.87	0.87
OS-RC-2	KIRC	kidney	kidney	1.94	0.821
NB5	NB	nervous_system	neuroblastoma	1.94	0.871
GB-1	GBM	nervous_system	glioma	1.96	0.849
EoL-1-cell	UNCLASSIFIED	blood	haematopoietic_neoplasm_other	2	0.897
LXF-289	LUAD	lung	lung_NSCLC_adenocarcinoma	2.12	0.884
GCIY	STAD	digestive_system	stomach	2.2	0.866
NCI-H747	COREAD	digestive_system	large_intestine	2.22	0.856
MZ1-PC	PAAD	pancreas	pancreas	2.27	0.855
MOLM-13	LAML	blood	acute_myeloid_leukaemia	2.32	0.9
NCI-H1975	LUAD	lung	lung_NSCLC_adenocarcinoma	2.39	0.871
SF126	GBM	nervous_system	glioma	2.39	0.883
IST-SL2	SCLC	lung	lung_small_cell_carcinoma	2.63	0.9
NU-DUL-1	DLBC	blood	B_cell_lymphoma	2.63	0.94
P3HR-1	UNCLASSIFIED	blood	Burkitt_lymphoma	2.67	0.921
NB1	NB	nervous_system	neuroblastoma	2.72	0.886
HuTu-80	UNCLASSIFIED	digestive_system	digestive_system_other	2.74	0.936
MEC-1	UNCLASSIFIED	blood	B_cell_leukemia	2.75	0.896
SNB75	GBM	nervous_system	glioma	2.75	0.848
RPMI-6666	UNCLASSIFIED	blood	Hodgkin_lymphoma	2.77	0.876
Becker	GBM	nervous_system	glioma	2.79	0.885
LC-2-ad	LUAD	lung	lung_NSCLC_adenocarcinoma	2.92	0.903
