Cell line	TCGA classification	Tissue	Tissue sub-type	IC50	AUC
CAL-72	UNCLASSIFIED	bone	osteosarcoma	0.000133	0.255
PCI-6A	HNSC	aero_digestive_tract	head_and_neck	0.000211	0.296
5637	BLCA	urogenital_system	bladder	0.000225	0.298
NCI-H292	UNCLASSIFIED	lung	lung_NSCLC_adenocarcinoma	0.000252	0.34
HCC-44	LUAD	lung	lung_NSCLC_adenocarcinoma	0.000266	0.33
MOG-G-UVW	LGG	nervous_system	glioma	0.000269	0.332
D-566MG	GBM	nervous_system	glioma	0.000298	0.348
JHU-011	HNSC	aero_digestive_tract	head_and_neck	0.00033	0.364
BICR22	HNSC	aero_digestive_tract	head_and_neck	0.000335	0.376
A498	KIRC	kidney	kidney	0.000356	0.398
PCI-4B	HNSC	aero_digestive_tract	head_and_neck	0.000374	0.381
HSC-4	HNSC	aero_digestive_tract	head_and_neck	0.000381	0.401
SF539	LGG	nervous_system	glioma	0.000397	0.388
BFTC-905	BLCA	urogenital_system	bladder	0.000407	0.389
CAL-27	HNSC	aero_digestive_tract	head_and_neck	0.000409	0.399
MOG-G-CCM	LGG	nervous_system	glioma	0.00042	0.409
KON	HNSC	aero_digestive_tract	head_and_neck	0.000458	0.415
Ca9-22	HNSC	aero_digestive_tract	head_and_neck	0.000473	0.417
FTC-133	THCA	thyroid	thyroid	0.000522	0.439
RH-1	UNCLASSIFIED	soft_tissue	rhabdomyosarcoma	0.000528	0.433
TE-8	ESCA	aero_digestive_tract	oesophagus	0.000548	0.446
HT-1080	UNCLASSIFIED	soft_tissue	fibrosarcoma	0.000549	0.441
ES7	UNCLASSIFIED	bone	ewings_sarcoma	0.00055	0.445
TE-11	ESCA	aero_digestive_tract	oesophagus	0.000556	0.444
COLO-800	SKCM	skin	melanoma	0.000571	0.45
SCaBER	UNCLASSIFIED	urogenital_system	bladder	0.000575	0.454
CAL-33	HNSC	aero_digestive_tract	head_and_neck	0.000584	0.454
WM35	SKCM	skin	melanoma	0.000602	0.459
CAL-62	THCA	thyroid	thyroid	0.000604	0.458
GI-1	LGG	nervous_system	glioma	0.000605	0.459
Ca-Ski	CESC	urogenital_system	cervix	0.000615	0.464
IOSE-523(-)	UNCLASSIFIED	urogenital_system	ovary	0.000617	0.461
RPMI-7951	SKCM	skin	melanoma	0.000631	0.466
NMC-G1	LGG	nervous_system	glioma	0.000643	0.472
SK-LMS-1	UNCLASSIFIED	soft_tissue	soft_tissue_other	0.000651	0.47
HGC-27	STAD	digestive_system	stomach	0.000657	0.47
VA-ES-BJ	UNCLASSIFIED	soft_tissue	soft_tissue_other	0.00068	0.479
PA-1	UNCLASSIFIED	urogenital_system	ovary	0.000699	0.48
HARA	LUSC	lung	lung_NSCLC_squamous_cell_carcinoma	0.000709	0.486
SW1710	BLCA	urogenital_system	bladder	0.000723	0.488
FLO-1	ESCA	aero_digestive_tract	oesophagus	0.00073	0.491
NEC8	UNCLASSIFIED	urogenital_system	testis	0.000731	0.489
HO-1-u-1	HNSC	aero_digestive_tract	head_and_neck	0.000756	0.495
8-MG-BA	GBM	nervous_system	glioma	0.000757	0.495
A2058	SKCM	skin	melanoma	0.000759	0.495
HSC-2	HNSC	aero_digestive_tract	head_and_neck	0.00076	0.495
IOSE-364(-)	UNCLASSIFIED	urogenital_system	ovary	0.000769	0.497
IHH-4	THCA	thyroid	thyroid	0.000781	0.5
BICR78	HNSC	aero_digestive_tract	head_and_neck	0.000784	0.501
PSN1	PAAD	pancreas	pancreas	0.000786	0.501
BB30-HNC	HNSC	aero_digestive_tract	head_and_neck	0.000804	0.505
NB14	NB	nervous_system	neuroblastoma	0.000812	0.506
SJSA-1	UNCLASSIFIED	bone	bone_other	0.000819	0.507
EC-GI-10	ESCA	aero_digestive_tract	oesophagus	0.000835	0.511
T-T	ESCA	aero_digestive_tract	oesophagus	0.000907	0.524
YKG-1	GBM	nervous_system	glioma	0.000914	0.525
SCC-25	HNSC	aero_digestive_tract	head_and_neck	0.000925	0.525
ES8	UNCLASSIFIED	bone	ewings_sarcoma	0.000928	0.528
A431	UNCLASSIFIED	skin	skin_other	0.000935	0.529
JIMT-1	BRCA	breast	breast	0.000939	0.528
DMS-273	SCLC	lung	lung_small_cell_carcinoma	0.000939	0.529
SW780	BLCA	urogenital_system	bladder	0.000941	0.528
G-402	UNCLASSIFIED	soft_tissue	soft_tissue_other	0.000943	0.526
TE-9	ESCA	aero_digestive_tract	oesophagus	0.000961	0.532
RL95-2	UNCLASSIFIED	urogenital_system	endometrium	0.00099	0.538
Daoy	MB	nervous_system	medulloblastoma	0.000991	0.54
MC-IXC	NB	nervous_system	neuroblastoma	0.001	0.545
JHU-029	HNSC	aero_digestive_tract	head_and_neck	0.00101	0.536
SCC-4	HNSC	aero_digestive_tract	head_and_neck	0.00101	0.538
HN	HNSC	aero_digestive_tract	head_and_neck	0.00102	0.544
ETK-1	UNCLASSIFIED	digestive_system	biliary_tract	0.00103	0.541
CAL-29	BLCA	urogenital_system	bladder	0.00103	0.542
8505C	THCA	thyroid	thyroid	0.00105	0.546
CGTH-W-1	THCA	thyroid	thyroid	0.00105	0.547
MHH-ES-1	UNCLASSIFIED	bone	ewings_sarcoma	0.00106	0.548
MEL-HO	SKCM	skin	melanoma	0.00106	0.548
K5	THCA	thyroid	thyroid	0.00106	0.55
AGS	STAD	digestive_system	stomach	0.00108	0.554
YH-13	GBM	nervous_system	glioma	0.00108	0.55
RKN	UNCLASSIFIED	urogenital_system	ovary	0.00109	0.552
SNU-182	LIHC	digestive_system	liver	0.0011	0.553
SW954	UNCLASSIFIED	urogenital_system	urogenital_system_other	0.00111	0.556
RERF-LC-KJ	LUAD	lung	lung_NSCLC_adenocarcinoma	0.00112	0.557
LXF-289	LUAD	lung	lung_NSCLC_adenocarcinoma	0.00113	0.558
NTERA-2-cl-D1	UNCLASSIFIED	urogenital_system	testis	0.00113	0.559
KYSE-510	ESCA	aero_digestive_tract	oesophagus	0.00113	0.564
42-MG-BA	GBM	nervous_system	glioma	0.00115	0.559
JHU-028	UNCLASSIFIED	aero_digestive_tract	head_and_neck	0.00116	0.563
ES5	UNCLASSIFIED	bone	ewings_sarcoma	0.00118	0.562
HuTu-80	UNCLASSIFIED	digestive_system	digestive_system_other	0.00119	0.573
IOSE-75-16SV40	UNCLASSIFIED	urogenital_system	ovary	0.00121	0.568
KYSE-220	ESCA	aero_digestive_tract	oesophagus	0.00121	0.567
Hs-683	LGG	nervous_system	glioma	0.00121	0.569
HCC-15	LUSC	lung	lung_NSCLC_squamous_cell_carcinoma	0.00122	0.562
MDST8	COREAD	digestive_system	large_intestine	0.00122	0.571
HOS	UNCLASSIFIED	bone	osteosarcoma	0.00122	0.577
MV-4-11	UNCLASSIFIED	blood	leukemia	0.00123	0.579
CHL-1	SKCM	skin	melanoma	0.00124	0.575
GMS-10	GBM	nervous_system	glioma	0.00124	0.574
HCT-116	COREAD	digestive_system	large_intestine	0.00125	0.576
KMH-2	THCA	thyroid	thyroid	0.00126	0.579
SISO	CESC	urogenital_system	cervix	0.00127	0.579
Detroit562	HNSC	aero_digestive_tract	head_and_neck	0.00127	0.579
IOSE-397	UNCLASSIFIED	urogenital_system	ovary	0.00127	0.576
RKO	COREAD	digestive_system	large_intestine	0.00129	0.583
KINGS-1	LGG	nervous_system	glioma	0.0013	0.569
NB13	NB	nervous_system	neuroblastoma	0.0013	0.585
EFO-27	UNCLASSIFIED	urogenital_system	ovary	0.0013	0.573
EFM-19	BRCA	breast	breast	0.00131	0.567
TE-5	ESCA	aero_digestive_tract	oesophagus	0.00132	0.578
PWR-1E	PRAD	urogenital_system	prostate	0.00133	0.584
TE-4	ESCA	aero_digestive_tract	oesophagus	0.00134	0.585
FADU	HNSC	aero_digestive_tract	head_and_neck	0.00135	0.587
HCC1187	BRCA	breast	breast	0.00135	0.589
NCI-H1792	LUAD	lung	lung_NSCLC_adenocarcinoma	0.00135	0.591
EPLC-272H	LUSC	lung	lung_NSCLC_squamous_cell_carcinoma	0.00136	0.583
TOV-21G	OV	urogenital_system	ovary	0.00137	0.585
HD-MY-Z	UNCLASSIFIED	blood	Hodgkin_lymphoma	0.00139	0.591
KNS-62	LUSC	lung	lung_NSCLC_squamous_cell_carcinoma	0.00141	0.578
MZ1-PC	PAAD	pancreas	pancreas	0.00143	0.586
KYSE-450	ESCA	aero_digestive_tract	oesophagus	0.00143	0.598
VCaP	PRAD	urogenital_system	prostate	0.00143	0.595
SK-GT-2	STAD	digestive_system	stomach	0.00145	0.595
DOK	HNSC	aero_digestive_tract	head_and_neck	0.00145	0.58
SU-DHL-5	DLBC	blood	B_cell_lymphoma	0.00145	0.61
EMC-BAC-1	LUAD	lung	lung_NSCLC_adenocarcinoma	0.00146	0.593
IGR-37	SKCM	skin	melanoma	0.00146	0.603
EBC-1	LUSC	lung	lung_NSCLC_squamous_cell_carcinoma	0.00147	0.594
SKN	UNCLASSIFIED	urogenital_system	uterus	0.0015	0.594
SW982	UNCLASSIFIED	soft_tissue	soft_tissue_other	0.0015	0.601
G-401	UNCLASSIFIED	kidney	kidney	0.00152	0.601
SW48	COREAD	digestive_system	large_intestine	0.00152	0.605
D-263MG	GBM	nervous_system	glioma	0.00154	0.597
MS751	CESC	urogenital_system	cervix	0.00154	0.611
Hey	OV	urogenital_system	ovary	0.00154	0.61
A549	LUAD	lung	lung_NSCLC_adenocarcinoma	0.00156	0.603
ATN-1	ALL	blood	lymphoblastic_T_cell_leukaemia	0.00156	0.612
T98G	GBM	nervous_system	glioma	0.00157	0.614
RERF-LC-MS	LUAD	lung	lung_NSCLC_adenocarcinoma	0.00157	0.609
D-423MG	GBM	nervous_system	glioma	0.0016	0.603
KYM-1	UNCLASSIFIED	soft_tissue	rhabdomyosarcoma	0.0016	0.622
639-V	BLCA	urogenital_system	bladder	0.00162	0.623
MG-63	UNCLASSIFIED	bone	osteosarcoma	0.00163	0.608
NCI-H2009	LUAD	lung	lung_NSCLC_adenocarcinoma	0.00164	0.614
RH-41	UNCLASSIFIED	soft_tissue	rhabdomyosarcoma	0.00164	0.627
MCF7	BRCA	breast	breast	0.00164	0.615
DJM-1	UNCLASSIFIED	skin	skin_other	0.00164	0.618
SNG-M	UCEC	urogenital_system	endometrium	0.00165	0.619
EW-11	UNCLASSIFIED	bone	ewings_sarcoma	0.00166	0.605
NY	UNCLASSIFIED	bone	osteosarcoma	0.00166	0.62
NCI-H460	UNCLASSIFIED	lung	lung_NSCLC_large_cell	0.00167	0.625
OE21	ESCA	aero_digestive_tract	oesophagus	0.00168	0.604
EW-16	UNCLASSIFIED	bone	ewings_sarcoma	0.00175	0.625
PFSK-1	MB	nervous_system	medulloblastoma	0.00176	0.624
MIA-PaCa-2	PAAD	pancreas	pancreas	0.00177	0.623
ASH-3	THCA	thyroid	thyroid	0.00177	0.629
BV-173	LCML	blood	chronic_myeloid_leukaemia	0.00178	0.637
OACp4C	ESCA	aero_digestive_tract	oesophagus	0.00179	0.62
MFH-ino	UNCLASSIFIED	soft_tissue	soft_tissue_other	0.00182	0.623
LK-2	LUSC	lung	lung_NSCLC_squamous_cell_carcinoma	0.00184	0.638
SW756	CESC	urogenital_system	cervix	0.00186	0.626
SNU-387	LIHC	digestive_system	liver	0.00187	0.628
LCLC-97TM1	UNCLASSIFIED	lung	lung_NSCLC_large_cell	0.00188	0.632
A375	SKCM	skin	melanoma	0.0019	0.652
KS-1	GBM	nervous_system	glioma	0.0019	0.626
LB831-BLC	BLCA	urogenital_system	bladder	0.00191	0.639
KYSE-410	ESCA	aero_digestive_tract	oesophagus	0.00193	0.637
EMC-BAC-2	LUAD	lung	lung_NSCLC_adenocarcinoma	0.00193	0.631
IPC-298	SKCM	skin	melanoma	0.00195	0.645
JHU-022	HNSC	aero_digestive_tract	head_and_neck	0.00196	0.629
TASK1	UNCLASSIFIED	nervous_system	nervous_system_other	0.00196	0.656
LOU-NH91	LUSC	lung	lung_NSCLC_squamous_cell_carcinoma	0.00198	0.64
SK-GT-4	ESCA	aero_digestive_tract	oesophagus	0.002	0.633
NCI-H650	LUAD	lung	lung_NSCLC_adenocarcinoma	0.00203	0.643
PANC-03-27	PAAD	pancreas	pancreas	0.00204	0.655
DBTRG-05MG	GBM	nervous_system	glioma	0.00206	0.641
ES4	UNCLASSIFIED	bone	ewings_sarcoma	0.00206	0.642
G-MEL	SKCM	skin	melanoma	0.00207	0.653
BL-41	UNCLASSIFIED	blood	Burkitt_lymphoma	0.00208	0.673
SK-MG-1	GBM	nervous_system	glioma	0.00209	0.652
Becker	GBM	nervous_system	glioma	0.00209	0.646
SJRH30	UNCLASSIFIED	soft_tissue	rhabdomyosarcoma	0.00211	0.653
TI-73	UNCLASSIFIED	bone	osteosarcoma	0.00213	0.65
A427	UNCLASSIFIED	lung	lung_NSCLC_not_specified	0.00214	0.656
SF268	GBM	nervous_system	glioma	0.00214	0.652
RPMI-8226	MM	blood	myeloma	0.00214	0.669
SW13	ACC	kidney	adrenal_gland	0.00215	0.657
EVSA-T	BRCA	breast	breast	0.00216	0.67
MFE-296	UCEC	urogenital_system	endometrium	0.0022	0.656
ESS-1	UNCLASSIFIED	urogenital_system	endometrium	0.00221	0.67
SCC-9	HNSC	aero_digestive_tract	head_and_neck	0.00221	0.645
CAL-39	CESC	urogenital_system	cervix	0.00222	0.66
SW1417	COREAD	digestive_system	large_intestine	0.00223	0.652
D-247MG	GBM	nervous_system	glioma	0.00224	0.641
U-2-OS	UNCLASSIFIED	bone	osteosarcoma	0.00224	0.657
NCI-H3122	LUAD	lung	lung_NSCLC_adenocarcinoma	0.00227	0.664
C2BBe1	COREAD	digestive_system	large_intestine	0.00227	0.656
HCC70	BRCA	breast	breast	0.0023	0.67
OVCAR-5	OV	urogenital_system	ovary	0.00234	0.657
NCI-H1437	LUAD	lung	lung_NSCLC_adenocarcinoma	0.00234	0.668
RCC-JW	KIRC	kidney	kidney	0.00235	0.669
DOV13	OV	urogenital_system	ovary	0.00236	0.661
HOP-62	LUAD	lung	lung_NSCLC_adenocarcinoma	0.00237	0.673
SAS	HNSC	aero_digestive_tract	head_and_neck	0.00237	0.664
BICR10	HNSC	aero_digestive_tract	head_and_neck	0.00237	0.661
D-336MG	LGG	nervous_system	glioma	0.00237	0.654
ES1	UNCLASSIFIED	bone	ewings_sarcoma	0.00238	0.674
KELLY	NB	nervous_system	neuroblastoma	0.00239	0.682
Saos-2	UNCLASSIFIED	bone	osteosarcoma	0.00239	0.647
M14	SKCM	skin	melanoma	0.00241	0.671
AU565	BRCA	breast	breast	0.00242	0.667
KYSE-50	ESCA	aero_digestive_tract	oesophagus	0.00243	0.684
HuO-3N1	UNCLASSIFIED	bone	osteosarcoma	0.00243	0.655
NCI-H841	SCLC	lung	lung_small_cell_carcinoma	0.00245	0.677
JHH-6	LIHC	digestive_system	liver	0.00248	0.678
NCI-H1048	SCLC	lung	lung_small_cell_carcinoma	0.00249	0.689
HT-3	CESC	urogenital_system	cervix	0.00249	0.679
LN-229	GBM	nervous_system	glioma	0.0025	0.681
SBC-5	SCLC	lung	lung_small_cell_carcinoma	0.00251	0.699
NCI-H2369	MESO	lung	mesothelioma	0.00252	0.679
NCI-H2452	MESO	lung	mesothelioma	0.00254	0.668
M059J	GBM	nervous_system	glioma	0.00254	0.676
KGN	UNCLASSIFIED	urogenital_system	ovary	0.00255	0.668
IST-SL1	SCLC	lung	lung_small_cell_carcinoma	0.00256	0.681
NCI-H647	UNCLASSIFIED	lung	lung_NSCLC_not_specified	0.00256	0.68
H4	LGG	nervous_system	glioma	0.00256	0.685
TOV-112D	OV	urogenital_system	ovary	0.00257	0.684
BB49-HNC	HNSC	aero_digestive_tract	head_and_neck	0.00258	0.658
201T	LUAD	lung	lung_NSCLC_adenocarcinoma	0.00263	0.669
TT2609-C02	THCA	thyroid	thyroid	0.00263	0.682
NCI-H2122	LUAD	lung	lung_NSCLC_adenocarcinoma	0.00265	0.695
NCI-H2795	MESO	lung	mesothelioma	0.00266	0.691
SK-MEL-5	SKCM	skin	melanoma	0.00268	0.673
NCI-H1975	LUAD	lung	lung_NSCLC_adenocarcinoma	0.0027	0.68
C-4-I	CESC	urogenital_system	cervix	0.00272	0.686
HeLa	CESC	urogenital_system	cervix	0.00275	0.699
SKN-3	HNSC	aero_digestive_tract	head_and_neck	0.00275	0.68
KYSE-140	ESCA	aero_digestive_tract	oesophagus	0.00275	0.683
C-33-A	CESC	urogenital_system	cervix	0.00275	0.694
TE-1	ESCA	aero_digestive_tract	oesophagus	0.00276	0.674
MOLT-16	ALL	blood	lymphoblastic_T_cell_leukaemia	0.00277	0.717
VMRC-RCZ	KIRC	kidney	kidney	0.00277	0.682
647-V	BLCA	urogenital_system	bladder	0.00279	0.696
PC-14	LUAD	lung	lung_NSCLC_adenocarcinoma	0.00279	0.708
KP-2	PAAD	pancreas	pancreas	0.00281	0.691
NCI-H1703	UNCLASSIFIED	lung	lung_NSCLC_adenocarcinoma	0.00283	0.681
JVM-3	CLL	blood	lymphoid_neoplasm_other	0.00283	0.697
ONS-76	MB	nervous_system	medulloblastoma	0.00285	0.693
NU-DUL-1	DLBC	blood	B_cell_lymphoma	0.00286	0.722
OVCA433	OV	urogenital_system	ovary	0.00287	0.69
SK-MEL-2	SKCM	skin	melanoma	0.00287	0.697
COR-L23	UNCLASSIFIED	lung	lung_NSCLC_large_cell	0.00288	0.704
SK-MES-1	LUSC	lung	lung_NSCLC_squamous_cell_carcinoma	0.00289	0.693
MPP-89	MESO	lung	mesothelioma	0.0029	0.679
CS1	UNCLASSIFIED	bone	bone_other	0.0029	0.692
BT-549	BRCA	breast	breast	0.0029	0.673
NCI-H838	LUAD	lung	lung_NSCLC_adenocarcinoma	0.00291	0.699
IST-MEL1	SKCM	skin	melanoma	0.00295	0.688
RPMI-2650	HNSC	aero_digestive_tract	head_and_neck	0.00295	0.697
U251	GBM	nervous_system	glioma	0.00296	0.71
L-1236	UNCLASSIFIED	blood	Hodgkin_lymphoma	0.00297	0.722
JHOS-2	OV	urogenital_system	ovary	0.00297	0.691
J-RT3-T3-5	UNCLASSIFIED	blood	lymphoblastic_T_cell_leukaemia	0.00297	0.719
SK-UT-1	UNCLASSIFIED	soft_tissue	soft_tissue_other	0.00298	0.715
NCI-H1581	UNCLASSIFIED	lung	lung_NSCLC_large_cell	0.00301	0.716
VMRC-LCD	LUAD	lung	lung_NSCLC_adenocarcinoma	0.00302	0.726
U-266	MM	blood	myeloma	0.00302	0.68
KMS-12-BM	MM	blood	myeloma	0.00303	0.728
SNU-C5	COREAD	digestive_system	large_intestine	0.00303	0.699
SK-HEP-1	LIHC	digestive_system	liver	0.00304	0.716
GOTO	NB	nervous_system	neuroblastoma	0.00306	0.698
SU-DHL-6	DLBC	blood	B_cell_lymphoma	0.00308	0.743
697	UNCLASSIFIED	blood	lymphoblastic_leukemia	0.00309	0.735
RCC-JF	KIRC	kidney	kidney	0.00309	0.7
NCI-H2110	UNCLASSIFIED	lung	lung_NSCLC_not_specified	0.0031	0.709
SKG-IIIa	CESC	urogenital_system	cervix	0.00317	0.687
ES-2	UNCLASSIFIED	urogenital_system	ovary	0.00317	0.729
NCI-H3118	UNCLASSIFIED	aero_digestive_tract	head_and_neck	0.0032	0.707
TYK-nu	UNCLASSIFIED	urogenital_system	ovary	0.0032	0.709
HEC-1	UCEC	urogenital_system	endometrium	0.00321	0.72
NCI-H2286	UNCLASSIFIED	lung	lung_small_cell_carcinoma	0.00321	0.714
Hs-633T	UNCLASSIFIED	soft_tissue	fibrosarcoma	0.00322	0.739
