Cell line	TCGA classification	Tissue	Tissue sub-type	IC50	AUC
ALL-SIL	ALL	blood	T_cell_leukemia	0.0277	0.253
LAMA-84	LCML	blood	chronic_myeloid_leukaemia	0.0729	0.415
MEG-01	LCML	blood	chronic_myeloid_leukaemia	0.0809	0.429
EM-2	LCML	blood	chronic_myeloid_leukaemia	0.101	0.468
MY-M12	ALL	blood	leukemia	0.113	0.485
GDM-1	LAML	blood	acute_myeloid_leukaemia	0.145	0.524
KCL-22	LCML	blood	chronic_myeloid_leukaemia	0.178	0.561
BV-173	LCML	blood	chronic_myeloid_leukaemia	0.193	0.573
CGTH-W-1	THCA	thyroid	thyroid	0.23	0.597
SUP-B15	ALL	blood	lymphoblastic_leukemia	0.253	0.614
JURL-MK1	LCML	blood	chronic_myeloid_leukaemia	0.532	0.722
ST486	UNCLASSIFIED	blood	Burkitt_lymphoma	0.532	0.735
K-562	LCML	blood	chronic_myeloid_leukaemia	0.699	0.762
BE-13	ALL	blood	lymphoblastic_leukemia	0.802	0.785
NCI-H1436	SCLC	lung	lung_small_cell_carcinoma	1.26	0.811
NOS-1	UNCLASSIFIED	bone	osteosarcoma	1.28	0.803
LB2241-RCC	KIRC	kidney	kidney	2.42	0.875
SUP-T1	ALL	blood	lymphoblastic_T_cell_leukaemia	2.48	0.909
NCI-H1770	UNCLASSIFIED	lung	lung_NSCLC_not_specified	2.68	0.922
A498	KIRC	kidney	kidney	3.15	0.854
IMR-5	NB	nervous_system	neuroblastoma	3.32	0.945
LC4-1	ALL	blood	lymphoblastic_leukemia	3.6	0.906
TGBC24TKB	UNCLASSIFIED	digestive_system	biliary_tract	4.03	0.938
MC116	DLBC	blood	B_cell_lymphoma	4.26	0.997
NKM-1	LAML	blood	acute_myeloid_leukaemia	4.27	0.927
ALL-PO	ALL	blood	lymphoblastic_leukemia	4.51	0.926
ES3	UNCLASSIFIED	bone	ewings_sarcoma	4.92	0.932
RS4-11	ALL	blood	leukemia	4.96	0.952
TE-441-T	UNCLASSIFIED	soft_tissue	rhabdomyosarcoma	5.1	0.947
SU-DHL-1	UNCLASSIFIED	blood	anaplastic_large_cell_lymphoma	5.14	0.994
NB10	NB	nervous_system	neuroblastoma	5.41	0.947
NCI-H524	SCLC	lung	lung_small_cell_carcinoma	5.52	0.96
EW-18	UNCLASSIFIED	bone	ewings_sarcoma	5.55	0.936
ECC4	UNCLASSIFIED	digestive_system	digestive_system_other	5.94	0.894
UACC-812	BRCA	breast	breast	6.14	0.954
SNU-1	STAD	digestive_system	stomach	6.4	0.947
NTERA-2-cl-D1	UNCLASSIFIED	urogenital_system	testis	6.44	0.953
EW-22	UNCLASSIFIED	bone	ewings_sarcoma	6.82	0.958
SU-DHL-4	DLBC	blood	B_cell_lymphoma	6.98	0.997
MPP-89	MESO	lung	mesothelioma	7.05	0.923
SK-NEP-1	UNCLASSIFIED	kidney	kidney	7.08	0.963
SCC-3	DLBC	blood	B_cell_lymphoma	7.08	0.997
SU-DHL-16	DLBC	blood	B_cell_lymphoma	7.17	0.996
SHP-77	SCLC	lung	lung_small_cell_carcinoma	7.31	0.97
BB49-HNC	HNSC	aero_digestive_tract	head_and_neck	7.32	0.915
GA-10	UNCLASSIFIED	blood	Burkitt_lymphoma	7.5	0.979
NCI-H1395	LUAD	lung	lung_NSCLC_adenocarcinoma	7.53	0.923
EB2	UNCLASSIFIED	blood	Burkitt_lymphoma	7.54	0.97
OCI-AML5	LAML	blood	acute_myeloid_leukaemia	7.55	0.969
EoL-1-cell	UNCLASSIFIED	blood	haematopoietic_neoplasm_other	7.59	0.973
NCI-H2171	SCLC	lung	lung_small_cell_carcinoma	7.64	0.976
KP-N-RT-BM-1	NB	nervous_system	neuroblastoma	7.66	0.927
TE-11	ESCA	aero_digestive_tract	oesophagus	7.82	0.97
LNCaP-Clone-FGC	PRAD	urogenital_system	prostate	7.84	0.944
SIG-M5	LAML	blood	acute_myeloid_leukaemia	7.9	0.994
MRK-nu-1	BRCA	breast	breast	7.91	0.97
LB2518-MEL	SKCM	skin	melanoma	7.95	0.953
KARPAS-231	UNCLASSIFIED	blood	B_cell_leukemia	8.1	0.991
SU-DHL-6	DLBC	blood	B_cell_lymphoma	8.19	0.995
LB1047-RCC	KIRC	kidney	kidney	8.27	0.947
CTV-1	LAML	blood	acute_myeloid_leukaemia	8.27	0.987
YT	ALL	blood	lymphoid_neoplasm_other	8.38	0.981
REH	UNCLASSIFIED	blood	B_cell_leukemia	8.46	0.967
