Cell line	TCGA classification	Tissue	Tissue sub-type	IC50	AUC
HuTu-80	UNCLASSIFIED	digestive_system	digestive_system_other	0.456	0.484
MV-4-11	UNCLASSIFIED	blood	leukemia	0.74	0.568
H4	LGG	nervous_system	glioma	1.12	0.627
BV-173	LCML	blood	chronic_myeloid_leukaemia	1.15	0.638
SUP-B15	ALL	blood	lymphoblastic_leukemia	1.19	0.639
CRO-AP2	DLBC	blood	B_cell_lymphoma	1.25	0.653
NEC8	UNCLASSIFIED	urogenital_system	testis	1.27	0.658
CHP-212	NB	nervous_system	neuroblastoma	1.4	0.667
SR	UNCLASSIFIED	blood	lymphoid_neoplasm_other	1.4	0.669
RPMI-8866	LCML	blood	chronic_myeloid_leukaemia	1.46	0.673
K5	THCA	thyroid	thyroid	1.55	0.777
NKM-1	LAML	blood	acute_myeloid_leukaemia	1.67	0.685
OCI-LY-19	DLBC	blood	B_cell_lymphoma	1.71	0.698
CCK-81	COREAD	digestive_system	large_intestine	1.73	0.697
MZ2-MEL	SKCM	skin	melanoma	1.77	0.681
A375	SKCM	skin	melanoma	1.81	0.718
MSTO-211H	MESO	lung	mesothelioma	1.89	0.714
SK-N-SH	NB	nervous_system	neuroblastoma	1.89	0.705
MOLT-16	ALL	blood	lymphoblastic_T_cell_leukaemia	1.9	0.729
NALM-6	UNCLASSIFIED	blood	B_cell_leukemia	1.96	0.729
HA7-RCC	KIRC	kidney	kidney	2.02	0.704
RH-18	UNCLASSIFIED	soft_tissue	rhabdomyosarcoma	2.09	0.705
JVM-3	CLL	blood	lymphoid_neoplasm_other	2.09	0.717
Hs-633T	UNCLASSIFIED	soft_tissue	fibrosarcoma	2.09	0.742
AGS	STAD	digestive_system	stomach	2.09	0.731
697	UNCLASSIFIED	blood	lymphoblastic_leukemia	2.13	0.747
OCI-AML5	LAML	blood	acute_myeloid_leukaemia	2.15	0.733
PA-1	UNCLASSIFIED	urogenital_system	ovary	2.22	0.756
TOV-21G	OV	urogenital_system	ovary	2.22	0.718
RS4-11	ALL	blood	leukemia	2.23	0.738
EoL-1-cell	UNCLASSIFIED	blood	haematopoietic_neoplasm_other	2.29	0.746
RCH-ACV	UNCLASSIFIED	blood	B_cell_leukemia	2.32	0.757
ATN-1	ALL	blood	lymphoblastic_T_cell_leukaemia	2.44	0.748
WM35	SKCM	skin	melanoma	2.49	0.742
Hey	OV	urogenital_system	ovary	2.59	0.755
DBTRG-05MG	GBM	nervous_system	glioma	2.65	0.733
ES4	UNCLASSIFIED	bone	ewings_sarcoma	2.67	0.737
EMC-BAC-2	LUAD	lung	lung_NSCLC_adenocarcinoma	2.69	0.734
VA-ES-BJ	UNCLASSIFIED	soft_tissue	soft_tissue_other	2.7	0.747
A172	GBM	nervous_system	glioma	2.72	0.844
SW780	BLCA	urogenital_system	bladder	2.72	0.744
SU-DHL-5	DLBC	blood	B_cell_lymphoma	2.73	0.795
LNCaP-Clone-FGC	PRAD	urogenital_system	prostate	2.75	0.741
SUP-M2	UNCLASSIFIED	blood	anaplastic_large_cell_lymphoma	2.76	0.795
NCI-H2795	MESO	lung	mesothelioma	2.77	0.759
NB69	NB	nervous_system	neuroblastoma	2.78	0.773
HT-144	SKCM	skin	melanoma	2.81	0.746
MFH-ino	UNCLASSIFIED	soft_tissue	soft_tissue_other	2.86	0.743
DOHH-2	DLBC	blood	B_cell_lymphoma	2.88	0.765
MEL-JUSO	SKCM	skin	melanoma	2.92	0.751
SUP-HD1	UNCLASSIFIED	blood	Hodgkin_lymphoma	2.94	0.772
KS-1	GBM	nervous_system	glioma	3	0.742
CP50-MEL-B	SKCM	skin	melanoma	3.01	0.769
RKO	COREAD	digestive_system	large_intestine	3.01	0.778
D-283MED	MB	nervous_system	medulloblastoma	3.01	0.78
HCT-116	COREAD	digestive_system	large_intestine	3.13	0.78
IHH-4	THCA	thyroid	thyroid	3.19	0.808
NCI-H2591	MESO	lung	mesothelioma	3.21	0.817
NCI-H929	MM	blood	myeloma	3.24	0.8
A101D	SKCM	skin	melanoma	3.27	0.754
KGN	UNCLASSIFIED	urogenital_system	ovary	3.28	0.756
L-540	UNCLASSIFIED	blood	Hodgkin_lymphoma	3.31	0.797
SW954	UNCLASSIFIED	urogenital_system	urogenital_system_other	3.32	0.779
OVTOKO	OV	urogenital_system	ovary	3.35	0.753
MY-M12	ALL	blood	leukemia	3.36	0.767
QIMR-WIL	LAML	blood	acute_myeloid_leukaemia	3.44	0.789
SNG-M	UCEC	urogenital_system	endometrium	3.44	0.788
SJSA-1	UNCLASSIFIED	bone	bone_other	3.44	0.77
D-502MG	LGG	nervous_system	glioma	3.47	0.734
SK-HEP-1	LIHC	digestive_system	liver	3.47	0.796
RCC-JF	KIRC	kidney	kidney	3.48	0.771
NCI-H290	MESO	lung	mesothelioma	3.48	0.799
LOXIMVI	SKCM	skin	melanoma	3.54	0.805
OVK-18	OV	urogenital_system	ovary	3.57	0.775
OVISE	OV	urogenital_system	ovary	3.59	0.756
CCF-STTG1	GBM	nervous_system	glioma	3.69	0.792
C2BBe1	COREAD	digestive_system	large_intestine	3.74	0.849
OCUM-1	STAD	digestive_system	stomach	3.76	0.782
SW982	UNCLASSIFIED	soft_tissue	soft_tissue_other	3.81	0.793
MM1S	MM	blood	myeloma	3.83	0.806
CHP-134	NB	nervous_system	neuroblastoma	3.83	0.768
MHH-NB-11	NB	nervous_system	neuroblastoma	3.86	0.787
RCC-JW	KIRC	kidney	kidney	3.86	0.795
