Cell line	TCGA classification	Tissue	Tissue sub-type	IC50	AUC
COLO-800	SKCM	skin	melanoma	0.427	0.55
MHH-ES-1	UNCLASSIFIED	bone	ewings_sarcoma	0.868	0.66
NCI-H209	SCLC	lung	lung_small_cell_carcinoma	1.21	0.701
NTERA-2-cl-D1	UNCLASSIFIED	urogenital_system	testis	1.24	0.713
BV-173	LCML	blood	chronic_myeloid_leukaemia	1.44	0.747
SUP-B15	ALL	blood	lymphoblastic_leukemia	1.66	0.757
697	UNCLASSIFIED	blood	lymphoblastic_leukemia	2.24	0.825
TOV-21G	OV	urogenital_system	ovary	2.33	0.783
D-566MG	GBM	nervous_system	glioma	2.39	0.8
RPMI-8866	LCML	blood	chronic_myeloid_leukaemia	2.4	0.809
ES1	UNCLASSIFIED	bone	ewings_sarcoma	2.65	0.812
NBsusSR	UNCLASSIFIED	nervous_system	neuroblastoma	2.94	0.839
MV-4-11	UNCLASSIFIED	blood	leukemia	3.06	0.861
MC-IXC	NB	nervous_system	neuroblastoma	3.09	0.889
SU-DHL-5	DLBC	blood	B_cell_lymphoma	3.12	0.883
LU-139	SCLC	lung	lung_small_cell_carcinoma	3.16	0.797
NCI-H716	COREAD	digestive_system	large_intestine	3.22	0.8
RCH-ACV	UNCLASSIFIED	blood	B_cell_leukemia	3.27	0.868
IOSE-397	UNCLASSIFIED	urogenital_system	ovary	3.35	0.83
SUP-M2	UNCLASSIFIED	blood	anaplastic_large_cell_lymphoma	3.48	0.893
ES5	UNCLASSIFIED	bone	ewings_sarcoma	3.53	0.822
NCI-H1876	SCLC	lung	lung_small_cell_carcinoma	4.03	0.853
SK-ES-1	UNCLASSIFIED	bone	ewings_sarcoma	4.04	0.846
NKM-1	LAML	blood	acute_myeloid_leukaemia	4.08	0.853
H4	LGG	nervous_system	glioma	4.26	0.863
NCI-H2795	MESO	lung	mesothelioma	4.32	0.864
J-RT3-T3-5	UNCLASSIFIED	blood	lymphoblastic_T_cell_leukaemia	4.34	0.886
KOPN-8	UNCLASSIFIED	blood	B_cell_leukemia	4.41	0.892
HGC-27	STAD	digestive_system	stomach	4.47	0.895
MOLT-16	ALL	blood	lymphoblastic_T_cell_leukaemia	4.47	0.908
OCI-LY-19	DLBC	blood	B_cell_lymphoma	4.58	0.881
MOG-G-UVW	LGG	nervous_system	glioma	4.58	0.872
DOHH-2	DLBC	blood	B_cell_lymphoma	4.66	0.873
JVM-3	CLL	blood	lymphoid_neoplasm_other	4.8	0.87
EW-22	UNCLASSIFIED	bone	ewings_sarcoma	4.82	0.878
OVK-18	OV	urogenital_system	ovary	4.88	0.857
ALL-PO	ALL	blood	lymphoblastic_leukemia	4.95	0.866
PA-1	UNCLASSIFIED	urogenital_system	ovary	4.98	0.924
U251	GBM	nervous_system	glioma	5	0.884
MFH-ino	UNCLASSIFIED	soft_tissue	soft_tissue_other	5.05	0.853
ES7	UNCLASSIFIED	bone	ewings_sarcoma	5.05	0.873
SK-PN-DW	UNCLASSIFIED	bone	ewings_sarcoma	5.07	0.871
Hs-633T	UNCLASSIFIED	soft_tissue	fibrosarcoma	5.22	0.917
KARPAS-231	UNCLASSIFIED	blood	B_cell_leukemia	5.23	0.932
A375	SKCM	skin	melanoma	5.24	0.916
CML-T1	LCML	blood	chronic_myeloid_leukaemia	5.26	0.915
IOSE-364(-)	UNCLASSIFIED	urogenital_system	ovary	5.34	0.891
EW-11	UNCLASSIFIED	bone	ewings_sarcoma	5.44	0.845
SW982	UNCLASSIFIED	soft_tissue	soft_tissue_other	5.7	0.882
HT-1080	UNCLASSIFIED	soft_tissue	fibrosarcoma	5.79	0.908
MOLT-4	ALL	blood	lymphoblastic_leukemia	5.93	0.929
MY-M12	ALL	blood	leukemia	5.94	0.873
8-MG-BA	GBM	nervous_system	glioma	5.95	0.902
CCRF-CEM	ALL	blood	lymphoblastic_leukemia	5.97	0.923
SAT	HNSC	aero_digestive_tract	head_and_neck	5.97	0.83
NB69	NB	nervous_system	neuroblastoma	6	0.912
NCI-H1048	SCLC	lung	lung_small_cell_carcinoma	6.01	0.91
A101D	SKCM	skin	melanoma	6.05	0.862
IHH-4	THCA	thyroid	thyroid	6.13	0.935
ES4	UNCLASSIFIED	bone	ewings_sarcoma	6.2	0.873
OCI-AML2	LAML	blood	acute_myeloid_leukaemia	6.28	0.956
HuTu-80	UNCLASSIFIED	digestive_system	digestive_system_other	6.35	0.93
VA-ES-BJ	UNCLASSIFIED	soft_tissue	soft_tissue_other	6.45	0.888
5637	BLCA	urogenital_system	bladder	6.54	0.915
JURL-MK1	LCML	blood	chronic_myeloid_leukaemia	6.71	0.901
EoL-1-cell	UNCLASSIFIED	blood	haematopoietic_neoplasm_other	6.71	0.922
ONS-76	MB	nervous_system	medulloblastoma	6.77	0.889
EW-16	UNCLASSIFIED	bone	ewings_sarcoma	6.8	0.894
RCC-JF	KIRC	kidney	kidney	6.8	0.883
A2058	SKCM	skin	melanoma	6.81	0.92
HOS	UNCLASSIFIED	bone	osteosarcoma	6.92	0.934
KARPAS-1106P	DLBC	blood	B_cell_lymphoma	6.92	0.937
CHP-212	NB	nervous_system	neuroblastoma	7.03	0.917
NOMO-1	LAML	blood	acute_myeloid_leukaemia	7.1	0.885
IOSE-75-16SV40	UNCLASSIFIED	urogenital_system	ovary	7.18	0.903
ES8	UNCLASSIFIED	bone	ewings_sarcoma	7.19	0.918
Ramos-2G6-4C10	UNCLASSIFIED	blood	Burkitt_lymphoma	7.25	0.934
CAL-27	HNSC	aero_digestive_tract	head_and_neck	7.26	0.903
EW-1	UNCLASSIFIED	bone	ewings_sarcoma	7.31	0.921
HO-1-u-1	HNSC	aero_digestive_tract	head_and_neck	7.37	0.914
HD-MY-Z	UNCLASSIFIED	blood	Hodgkin_lymphoma	7.4	0.907
G-MEL	SKCM	skin	melanoma	7.47	0.91
NEC8	UNCLASSIFIED	urogenital_system	testis	7.48	0.937
NCI-H2023	LUAD	lung	lung_NSCLC_adenocarcinoma	7.54	0.877
LB647-SCLC	SCLC	lung	lung_small_cell_carcinoma	7.63	0.892
639-V	BLCA	urogenital_system	bladder	7.67	0.938
PCI-6A	HNSC	aero_digestive_tract	head_and_neck	7.74	0.913
SKN-3	HNSC	aero_digestive_tract	head_and_neck	7.77	0.887
MOLM-16	LAML	blood	acute_myeloid_leukaemia	7.8	0.933
NCI-H460	UNCLASSIFIED	lung	lung_NSCLC_large_cell	7.92	0.928
NALM-6	UNCLASSIFIED	blood	B_cell_leukemia	7.92	0.943
JVM-2	CLL	blood	lymphoid_neoplasm_other	7.92	0.883
SF539	LGG	nervous_system	glioma	8.07	0.931
DB	DLBC	blood	B_cell_lymphoma	8.1	0.897
NCI-H1417	SCLC	lung	lung_small_cell_carcinoma	8.2	0.89
SK-NEP-1	UNCLASSIFIED	kidney	kidney	8.26	0.924
NCI-H1105	SCLC	lung	lung_small_cell_carcinoma	8.27	0.949
PCI-4B	HNSC	aero_digestive_tract	head_and_neck	8.31	0.924
SU-DHL-16	DLBC	blood	B_cell_lymphoma	8.32	0.98
MZ2-MEL	SKCM	skin	melanoma	8.35	0.892
JHH-7	LIHC	digestive_system	liver	8.37	0.927
HAL-01	ALL	blood	lymphoblastic_leukemia	8.45	0.937
HCC1187	BRCA	breast	breast	8.58	0.926
RPMI-8226	MM	blood	myeloma	8.61	0.942
SBC-3	SCLC	lung	lung_small_cell_carcinoma	8.72	0.934
KYM-1	UNCLASSIFIED	soft_tissue	rhabdomyosarcoma	8.83	0.946
SNG-M	UCEC	urogenital_system	endometrium	8.84	0.923
CTV-1	LAML	blood	acute_myeloid_leukaemia	8.85	0.958
DoTc2-4510	CESC	urogenital_system	cervix	8.86	0.928
IOSE-523(-)	UNCLASSIFIED	urogenital_system	ovary	8.87	0.935
PFSK-1	MB	nervous_system	medulloblastoma	9.01	0.911
MOLT-13	ALL	blood	lymphoblastic_T_cell_leukaemia	9.02	0.942
D-283MED	MB	nervous_system	medulloblastoma	9.09	0.936
NCI-H211	SCLC	lung	lung_small_cell_carcinoma	9.15	0.927
NB10	NB	nervous_system	neuroblastoma	9.26	0.926
BB30-HNC	HNSC	aero_digestive_tract	head_and_neck	9.28	0.926
NB14	NB	nervous_system	neuroblastoma	9.3	0.932
HCC-44	LUAD	lung	lung_NSCLC_adenocarcinoma	9.36	0.927
NU-DUL-1	DLBC	blood	B_cell_lymphoma	9.4	0.961
NB(TU)1-10	NB	nervous_system	neuroblastoma	9.44	0.947
TI-73	UNCLASSIFIED	bone	osteosarcoma	9.57	0.911
GB-1	GBM	nervous_system	glioma	9.58	0.901
NCI-H1651	LUAD	lung	lung_NSCLC_adenocarcinoma	9.61	0.913
CRO-AP3	UNCLASSIFIED	blood	B_cell_lymphoma	9.62	0.953
PWR-1E	PRAD	urogenital_system	prostate	9.69	0.925
PCI-30	HNSC	aero_digestive_tract	head_and_neck	9.87	0.897
ETK-1	UNCLASSIFIED	digestive_system	biliary_tract	9.99	0.909
OV-7	OV	urogenital_system	ovary	10.1	0.871
YKG-1	GBM	nervous_system	glioma	10.3	0.927
LU-135	SCLC	lung	lung_small_cell_carcinoma	10.5	0.96
TASK1	UNCLASSIFIED	nervous_system	nervous_system_other	10.7	0.958
NB4	LAML	blood	acute_myeloid_leukaemia	10.8	0.964
BALL-1	UNCLASSIFIED	blood	B_cell_leukemia	10.8	0.988
MOLM-13	LAML	blood	acute_myeloid_leukaemia	10.8	0.942
CAL-51	BRCA	breast	breast	10.8	0.955
42-MG-BA	GBM	nervous_system	glioma	10.9	0.923
HCT-116	COREAD	digestive_system	large_intestine	11	0.941
OVCAR-8	OV	urogenital_system	ovary	11	0.95
8505C	THCA	thyroid	thyroid	11.1	0.925
WM35	SKCM	skin	melanoma	11.2	0.932
EW-3	UNCLASSIFIED	bone	ewings_sarcoma	11.2	0.915
HOP-62	LUAD	lung	lung_NSCLC_adenocarcinoma	11.2	0.935
ML-2	LAML	blood	acute_myeloid_leukaemia	11.5	0.953
A427	UNCLASSIFIED	lung	lung_NSCLC_not_specified	11.5	0.933
BE-13	ALL	blood	lymphoblastic_leukemia	11.6	0.946
SR	UNCLASSIFIED	blood	lymphoid_neoplasm_other	11.6	0.952
CRO-AP2	DLBC	blood	B_cell_lymphoma	11.6	0.958
OCUB-M	BRCA	breast	breast	11.7	0.958
MC116	DLBC	blood	B_cell_lymphoma	11.8	0.998
JM1	DLBC	blood	B_cell_lymphoma	11.8	0.96
P12-ICHIKAWA	ALL	blood	lymphoblastic_T_cell_leukaemia	11.8	0.978
GI-1	LGG	nervous_system	glioma	11.9	0.943
P31-FUJ	LAML	blood	acute_myeloid_leukaemia	11.9	0.981
CHSA0108	UNCLASSIFIED	bone	chondrosarcoma	11.9	0.917
KELLY	NB	nervous_system	neuroblastoma	11.9	0.951
NCI-H292	UNCLASSIFIED	lung	lung_NSCLC_adenocarcinoma	12.2	0.913
SKN	UNCLASSIFIED	urogenital_system	uterus	12.4	0.914
NCI-H146	SCLC	lung	lung_small_cell_carcinoma	12.5	0.975
L-363	MM	blood	myeloma	12.5	0.962
LAMA-84	LCML	blood	chronic_myeloid_leukaemia	12.6	0.938
D-247MG	GBM	nervous_system	glioma	12.6	0.898
LU-134-A	SCLC	lung	lung_small_cell_carcinoma	12.7	0.932
HEC-1	UCEC	urogenital_system	endometrium	12.7	0.945
BICR22	HNSC	aero_digestive_tract	head_and_neck	12.8	0.922
NCI-H1155	UNCLASSIFIED	lung	lung_NSCLC_large_cell	12.8	0.97
BHT-101	THCA	thyroid	thyroid	12.8	0.937
DAN-G	PAAD	pancreas	pancreas	12.9	0.961
JHU-011	HNSC	aero_digestive_tract	head_and_neck	12.9	0.944
CAKI-1	KIRC	kidney	kidney	13.1	0.889
MDST8	COREAD	digestive_system	large_intestine	13.2	0.943
A2780	UNCLASSIFIED	urogenital_system	ovary	13.3	0.938
NCI-H929	MM	blood	myeloma	13.3	0.966
HSC-39	STAD	digestive_system	stomach	13.4	0.965
DOK	HNSC	aero_digestive_tract	head_and_neck	13.4	0.89
A549	LUAD	lung	lung_NSCLC_adenocarcinoma	13.4	0.927
RH-41	UNCLASSIFIED	soft_tissue	rhabdomyosarcoma	13.5	0.969
G-401	UNCLASSIFIED	kidney	kidney	13.6	0.932
KMS-11	MM	blood	myeloma	13.7	0.967
OCI-AML3	LAML	blood	acute_myeloid_leukaemia	13.7	0.966
SBC-5	SCLC	lung	lung_small_cell_carcinoma	13.8	0.975
C-33-A	CESC	urogenital_system	cervix	13.9	0.945
MCC26	UNCLASSIFIED	skin	Merkel_cell_carcinoma	13.9	0.912
P30-OHK	ALL	blood	lymphoblastic_leukemia	14	0.972
QGP-1	UNCLASSIFIED	pancreas	pancreas	14.1	0.882
WIL2-NS	UNCLASSIFIED	blood	lymphoid_neoplasm_other	14.1	0.975
Jurkat	ALL	blood	T_cell_leukemia	14.2	0.974
NCI-H23	LUAD	lung	lung_NSCLC_adenocarcinoma	14.2	0.948
EW-7	UNCLASSIFIED	bone	ewings_sarcoma	14.3	0.964
HN	HNSC	aero_digestive_tract	head_and_neck	14.3	0.955
TYK-nu	UNCLASSIFIED	urogenital_system	ovary	14.4	0.937
IST-SL2	SCLC	lung	lung_small_cell_carcinoma	14.4	0.948
NCI-H1734	LUAD	lung	lung_NSCLC_adenocarcinoma	14.5	0.935
NCI-H524	SCLC	lung	lung_small_cell_carcinoma	14.8	0.963
KMRC-20	KIRC	kidney	kidney	14.9	0.945
IMR-5	NB	nervous_system	neuroblastoma	14.9	0.972
D-423MG	GBM	nervous_system	glioma	15	0.923
COR-L279	SCLC	lung	lung_small_cell_carcinoma	15	0.964
CS1	UNCLASSIFIED	bone	bone_other	15	0.934
OCI-AML5	LAML	blood	acute_myeloid_leukaemia	15.1	0.961
PSN1	PAAD	pancreas	pancreas	15.1	0.973
KU812	LCML	blood	chronic_myeloid_leukaemia	15.1	0.961
NOS-1	UNCLASSIFIED	bone	osteosarcoma	15.3	0.924
T98G	GBM	nervous_system	glioma	15.4	0.96
FU97	STAD	digestive_system	stomach	15.5	0.946
ESO51	ESCA	aero_digestive_tract	oesophagus	15.6	0.907
K5	THCA	thyroid	thyroid	15.6	0.956
G-402	UNCLASSIFIED	soft_tissue	soft_tissue_other	15.7	0.915
OCI-LY7	DLBC	blood	B_cell_lymphoma	15.9	0.997
MS751	CESC	urogenital_system	cervix	16.1	0.962
Set2	UNCLASSIFIED	-	-	16.1	0.983
SUP-T1	ALL	blood	lymphoblastic_T_cell_leukaemia	16.3	0.964
NCI-H1666	LUAD	lung	lung_NSCLC_adenocarcinoma	16.3	0.941
DJM-1	UNCLASSIFIED	skin	skin_other	16.3	0.954
MHH-CALL-2	UNCLASSIFIED	blood	B_cell_leukemia	16.5	0.994
MIA-PaCa-2	PAAD	pancreas	pancreas	16.5	0.941
JHU-029	HNSC	aero_digestive_tract	head_and_neck	16.6	0.927
Ca9-22	HNSC	aero_digestive_tract	head_and_neck	16.7	0.963
DMS-273	SCLC	lung	lung_small_cell_carcinoma	16.9	0.947
Hey	OV	urogenital_system	ovary	17	0.961
SK-UT-1	UNCLASSIFIED	soft_tissue	soft_tissue_other	17.2	0.966
NB5	NB	nervous_system	neuroblastoma	17.3	0.953
SAS	HNSC	aero_digestive_tract	head_and_neck	17.3	0.941
SU-DHL-4	DLBC	blood	B_cell_lymphoma	17.5	0.997
SK-N-SH	NB	nervous_system	neuroblastoma	17.5	0.956
KE-37	ALL	blood	lymphoblastic_leukemia	17.7	0.99
CMK	LAML	blood	acute_myeloid_leukaemia	17.8	0.977
HARA	LUSC	lung	lung_NSCLC_squamous_cell_carcinoma	17.9	0.937
BICR78	HNSC	aero_digestive_tract	head_and_neck	18	0.939
A3-KAW	DLBC	blood	B_cell_lymphoma	18.1	0.985
NCI-H1693	LUAD	lung	lung_NSCLC_adenocarcinoma	18.3	0.899
NCI-H1435	LUAD	lung	lung_NSCLC_adenocarcinoma	18.3	0.971
RXF393	KIRC	kidney	kidney	18.4	0.917
EW-18	UNCLASSIFIED	bone	ewings_sarcoma	18.4	0.949
KON	HNSC	aero_digestive_tract	head_and_neck	18.6	0.96
HCC1395	BRCA	breast	breast	18.6	0.935
LC-1-sq	LUSC	lung	lung_NSCLC_squamous_cell_carcinoma	18.7	0.938
IGR-1	SKCM	skin	melanoma	18.9	0.974
TC-YIK	UNCLASSIFIED	urogenital_system	cervix	18.9	0.975
GR-ST	ALL	blood	lymphoblastic_leukemia	19	0.936
SNU-16	STAD	digestive_system	stomach	19	0.973
ATN-1	ALL	blood	lymphoblastic_T_cell_leukaemia	19.1	0.966
AN3-CA	UCEC	urogenital_system	endometrium	19.2	0.948
HCC-15	LUSC	lung	lung_NSCLC_squamous_cell_carcinoma	19.2	0.929
OVISE	OV	urogenital_system	ovary	19.2	0.925
JIMT-1	BRCA	breast	breast	19.2	0.95
CAL-33	HNSC	aero_digestive_tract	head_and_neck	19.3	0.959
MRK-nu-1	BRCA	breast	breast	19.4	0.969
DU-4475	BRCA	breast	breast	19.5	0.984
JEKO-1	DLBC	blood	B_cell_lymphoma	19.6	0.965
T-T	ESCA	aero_digestive_tract	oesophagus	19.9	0.961
PF-382	ALL	blood	lymphoblastic_T_cell_leukaemia	20	0.976
KARPAS-45	ALL	blood	lymphoblastic_leukemia	20	0.982
LXF-289	LUAD	lung	lung_NSCLC_adenocarcinoma	20.1	0.962
COR-L23	UNCLASSIFIED	lung	lung_NSCLC_large_cell	20.1	0.963
LoVo	COREAD	digestive_system	large_intestine	20.1	0.959
Detroit562	HNSC	aero_digestive_tract	head_and_neck	20.2	0.965
LCLC-97TM1	UNCLASSIFIED	lung	lung_NSCLC_large_cell	20.2	0.95
EMC-BAC-2	LUAD	lung	lung_NSCLC_adenocarcinoma	20.2	0.941
NCI-H526	SCLC	lung	lung_small_cell_carcinoma	20.2	0.966
EW-13	UNCLASSIFIED	bone	ewings_sarcoma	20.3	0.949
MC-1010	UNCLASSIFIED	blood	acute_myeloid_leukaemia	20.3	0.947
BC-1	DLBC	blood	B_cell_lymphoma	20.3	0.98
