Cell line	TCGA classification	Tissue	Tissue sub-type	IC50	AUC
IGR-37	SKCM	skin	melanoma	0.00111	0.12
CHP-212	NB	nervous_system	neuroblastoma	0.00112	0.124
OCI-AML2	LAML	blood	acute_myeloid_leukaemia	0.00114	0.0775
G-361	SKCM	skin	melanoma	0.00141	0.153
OCUM-1	STAD	digestive_system	stomach	0.00238	0.234
NCI-H3118	UNCLASSIFIED	aero_digestive_tract	head_and_neck	0.0027	0.248
451Lu	SKCM	skin	melanoma	0.00293	0.243
KMOE-2	LAML	blood	acute_myeloid_leukaemia	0.00317	0.244
DU-4475	BRCA	breast	breast	0.00337	0.242
A375	SKCM	skin	melanoma	0.00373	0.259
SKM-1	UNCLASSIFIED	blood	haematopoietic_neoplasm_other	0.00383	0.295
NB4	LAML	blood	acute_myeloid_leukaemia	0.00389	0.265
CP66-MEL	SKCM	skin	melanoma	0.00412	0.307
NOMO-1	LAML	blood	acute_myeloid_leukaemia	0.00502	0.334
OV-90	OV	urogenital_system	ovary	0.00593	0.365
HL-60	LAML	blood	acute_myeloid_leukaemia	0.0062	0.348
CP50-MEL-B	SKCM	skin	melanoma	0.00645	0.361
C32	SKCM	skin	melanoma	0.00696	0.377
SK-MEL-28	SKCM	skin	melanoma	0.00775	0.121
K2	SKCM	skin	melanoma	0.00783	0.404
AGS	STAD	digestive_system	stomach	0.00801	0.389
BHT-101	THCA	thyroid	thyroid	0.00869	0.408
JURL-MK1	LCML	blood	chronic_myeloid_leukaemia	0.00876	0.408
KMH-2	THCA	thyroid	thyroid	0.00882	0.405
TT2609-C02	THCA	thyroid	thyroid	0.0089	0.414
OVCAR-5	OV	urogenital_system	ovary	0.00931	0.425
WM239A	UNCLASSIFIED	skin	melanoma	0.0096	0.419
MZ2-MEL	SKCM	skin	melanoma	0.00965	0.429
CL-11	COREAD	digestive_system	large_intestine	0.00976	0.43
H-EMC-SS	UNCLASSIFIED	bone	chondrosarcoma	0.00994	0.436
IHH-4	THCA	thyroid	thyroid	0.0101	0.423
Hs-939-T	SKCM	skin	melanoma	0.0101	0.434
639-V	BLCA	urogenital_system	bladder	0.0104	0.43
SK-CO-1	COREAD	digestive_system	large_intestine	0.0105	0.435
SK-MEL-1	SKCM	skin	melanoma	0.0106	0.434
MEL-HO	SKCM	skin	melanoma	0.011	0.444
BPH-1	UNCLASSIFIED	urogenital_system	prostate	0.011	0.172
HT-144	SKCM	skin	melanoma	0.0115	0.453
SH-4	SKCM	skin	melanoma	0.0115	0.461
MIA-PaCa-2	PAAD	pancreas	pancreas	0.0118	0.457
SW403	UNCLASSIFIED	digestive_system	large_intestine	0.0118	0.46
COLO-679	SKCM	skin	melanoma	0.0119	0.459
IPC-298	SKCM	skin	melanoma	0.0124	0.463
Hs-633T	UNCLASSIFIED	soft_tissue	fibrosarcoma	0.013	0.468
PANC-02-03	PAAD	pancreas	pancreas	0.0131	0.474
LB2518-MEL	SKCM	skin	melanoma	0.0134	0.476
ONS-76	MB	nervous_system	medulloblastoma	0.0134	0.477
DOK	HNSC	aero_digestive_tract	head_and_neck	0.0135	0.481
ACN	UNCLASSIFIED	nervous_system	neuroblastoma	0.0135	0.477
SK-MEL-5	SKCM	skin	melanoma	0.0136	0.48
SK-GT-4	ESCA	aero_digestive_tract	oesophagus	0.0137	0.481
LS-513	COREAD	digestive_system	large_intestine	0.0141	0.484
NCI-H1944	LUAD	lung	lung_NSCLC_adenocarcinoma	0.0145	0.489
TE-15	ESCA	aero_digestive_tract	oesophagus	0.0148	0.492
NCI-H1437	LUAD	lung	lung_NSCLC_adenocarcinoma	0.0149	0.493
Hs-578-T	BRCA	breast	breast	0.0159	0.503
SUIT-2	PAAD	pancreas	pancreas	0.016	0.503
OCI-AML3	LAML	blood	acute_myeloid_leukaemia	0.016	0.504
HuP-T4	PAAD	pancreas	pancreas	0.0161	0.504
HOP-62	LUAD	lung	lung_NSCLC_adenocarcinoma	0.0165	0.508
COLO-741	UNCLASSIFIED	digestive_system	large_intestine	0.0166	0.203
RVH-421	SKCM	skin	melanoma	0.0169	0.511
FADU	HNSC	aero_digestive_tract	head_and_neck	0.0173	0.516
UACC-257	SKCM	skin	melanoma	0.0173	0.515
TYK-nu	UNCLASSIFIED	urogenital_system	ovary	0.0174	0.517
SK-N-AS	NB	nervous_system	neuroblastoma	0.018	0.521
SNU-C1	COREAD	digestive_system	large_intestine	0.0182	0.52
SK-MEL-2	SKCM	skin	melanoma	0.0184	0.526
SW626	OV	urogenital_system	ovary	0.019	0.529
RCC-JF	KIRC	kidney	kidney	0.0192	0.531
KU812	LCML	blood	chronic_myeloid_leukaemia	0.0194	0.536
MEL-JUSO	SKCM	skin	melanoma	0.0197	0.535
A549	LUAD	lung	lung_NSCLC_adenocarcinoma	0.0198	0.536
TMK-1	STAD	digestive_system	stomach	0.0199	0.538
COLO-205	COREAD	digestive_system	large_intestine	0.0202	0.541
HCC-44	LUAD	lung	lung_NSCLC_adenocarcinoma	0.0203	0.226
MFH-ino	UNCLASSIFIED	soft_tissue	soft_tissue_other	0.0212	0.545
OVK-18	OV	urogenital_system	ovary	0.0214	0.548
SNU-387	LIHC	digestive_system	liver	0.022	0.551
MOLT-13	ALL	blood	lymphoblastic_T_cell_leukaemia	0.0223	0.56
ES-2	UNCLASSIFIED	urogenital_system	ovary	0.0227	0.563
LAMA-84	LCML	blood	chronic_myeloid_leukaemia	0.023	0.561
BB30-HNC	HNSC	aero_digestive_tract	head_and_neck	0.0237	0.567
MZ7-mel	SKCM	skin	melanoma	0.0241	0.567
A101D	SKCM	skin	melanoma	0.0241	0.562
HuP-T3	PAAD	pancreas	pancreas	0.0242	0.563
HT-29	COREAD	digestive_system	large_intestine	0.0244	0.57
SW620	COREAD	digestive_system	large_intestine	0.0248	0.578
DOV13	OV	urogenital_system	ovary	0.0257	0.573
BICR78	HNSC	aero_digestive_tract	head_and_neck	0.0258	0.575
CL-34	COREAD	digestive_system	large_intestine	0.0259	0.576
EM-2	LCML	blood	chronic_myeloid_leukaemia	0.0266	0.58
SIMA	NB	nervous_system	neuroblastoma	0.027	0.582
HCC-15	LUSC	lung	lung_NSCLC_squamous_cell_carcinoma	0.0273	0.579
HCC-56	COREAD	digestive_system	large_intestine	0.0275	0.589
C2BBe1	COREAD	digestive_system	large_intestine	0.0282	0.588
KY821	LAML	blood	leukemia	0.0296	0.608
JHU-011	HNSC	aero_digestive_tract	head_and_neck	0.0298	0.603
COLO-783	SKCM	skin	melanoma	0.0302	0.606
CAL-33	HNSC	aero_digestive_tract	head_and_neck	0.031	0.608
Caov-4	OV	urogenital_system	ovary	0.0321	0.595
OVCA420	OV	urogenital_system	ovary	0.0324	0.6
JHU-022	HNSC	aero_digestive_tract	head_and_neck	0.0324	0.603
RKO	COREAD	digestive_system	large_intestine	0.0328	0.621
RCC-MF	KIRC	kidney	kidney	0.033	0.604
LOXIMVI	SKCM	skin	melanoma	0.0341	0.629
WM35	SKCM	skin	melanoma	0.0342	0.623
OVCA433	OV	urogenital_system	ovary	0.0352	0.621
JHH-1	LIHC	digestive_system	liver	0.0355	0.624
JHOS-2	OV	urogenital_system	ovary	0.0357	0.621
KP-2	PAAD	pancreas	pancreas	0.0365	0.629
C-4-I	CESC	urogenital_system	cervix	0.0372	0.631
NCI-H747	COREAD	digestive_system	large_intestine	0.0373	0.624
NCI-H2291	LUAD	lung	lung_NSCLC_adenocarcinoma	0.0378	0.618
SW756	CESC	urogenital_system	cervix	0.0386	0.63
SCaBER	UNCLASSIFIED	urogenital_system	bladder	0.0387	0.633
AsPC-1	PAAD	pancreas	pancreas	0.0389	0.61
CAL-39	CESC	urogenital_system	cervix	0.0389	0.641
NCI-H2009	LUAD	lung	lung_NSCLC_adenocarcinoma	0.0393	0.641
SNU-C5	COREAD	digestive_system	large_intestine	0.0399	0.64
RCM-1	COREAD	digestive_system	large_intestine	0.0403	0.635
FLO-1	ESCA	aero_digestive_tract	oesophagus	0.0406	0.626
ASH-3	THCA	thyroid	thyroid	0.0407	0.65
LB373-MEL-D	SKCM	skin	melanoma	0.0409	0.651
NCI-H1355	LUAD	lung	lung_NSCLC_adenocarcinoma	0.0409	0.626
PSN1	PAAD	pancreas	pancreas	0.0425	0.67
KON	HNSC	aero_digestive_tract	head_and_neck	0.0434	0.661
WM-115	SKCM	skin	melanoma	0.0439	0.646
EMC-BAC-2	LUAD	lung	lung_NSCLC_adenocarcinoma	0.0439	0.649
Hs-766T	PAAD	pancreas	pancreas	0.0443	0.642
PE-CA-PJ15	HNSC	aero_digestive_tract	head_and_neck	0.0447	0.658
LS-180	COREAD	digestive_system	large_intestine	0.0453	0.655
SCC90	HNSC	aero_digestive_tract	head_and_neck	0.0463	0.643
PCI-4B	HNSC	aero_digestive_tract	head_and_neck	0.0467	0.675
MV-4-11	UNCLASSIFIED	blood	leukemia	0.0472	0.689
LoVo	COREAD	digestive_system	large_intestine	0.051	0.682
LB1047-RCC	KIRC	kidney	kidney	0.0513	0.674
SK-MEL-3	SKCM	skin	melanoma	0.0514	0.672
NCI-H290	MESO	lung	mesothelioma	0.0516	0.693
SW1271	SCLC	lung	lung_small_cell_carcinoma	0.0517	0.674
EBC-1	LUSC	lung	lung_NSCLC_squamous_cell_carcinoma	0.0524	0.677
SNU-407	COREAD	digestive_system	large_intestine	0.0546	0.68
PL4	PAAD	pancreas	pancreas	0.055	0.691
BICR22	HNSC	aero_digestive_tract	head_and_neck	0.0581	0.69
EC-GI-10	ESCA	aero_digestive_tract	oesophagus	0.0585	0.704
JHU-029	HNSC	aero_digestive_tract	head_and_neck	0.0585	0.684
CAPAN-1	PAAD	pancreas	pancreas	0.0615	0.7
