Cell line	TCGA classification	Tissue	Tissue sub-type	IC50	AUC
SNU-5	STAD	digestive_system	stomach	0.05	0.357
NB1	NB	nervous_system	neuroblastoma	0.105	0.473
SR	UNCLASSIFIED	blood	lymphoid_neoplasm_other	0.135	0.513
SF539	LGG	nervous_system	glioma	0.195	0.574
DEL	UNCLASSIFIED	blood	lymphoid_neoplasm_other	0.264	0.631
SCC-3	DLBC	blood	B_cell_lymphoma	0.278	0.643
SU-DHL-1	UNCLASSIFIED	blood	anaplastic_large_cell_lymphoma	0.288	0.65
ALL-SIL	ALL	blood	T_cell_leukemia	0.341	0.668
KINGS-1	LGG	nervous_system	glioma	0.347	0.637
SUP-M2	UNCLASSIFIED	blood	anaplastic_large_cell_lymphoma	0.374	0.693
CTV-1	LAML	blood	acute_myeloid_leukaemia	0.495	0.735
KARPAS-299	UNCLASSIFIED	blood	anaplastic_large_cell_lymphoma	0.573	0.754
EM-2	LCML	blood	chronic_myeloid_leukaemia	0.579	0.72
KM12	COREAD	digestive_system	large_intestine	0.605	0.73
LAMA-84	LCML	blood	chronic_myeloid_leukaemia	0.696	0.756
MEG-01	LCML	blood	chronic_myeloid_leukaemia	0.8	0.784
GDM-1	LAML	blood	acute_myeloid_leukaemia	0.8	0.782
SK-LMS-1	UNCLASSIFIED	soft_tissue	soft_tissue_other	1.09	0.821
BV-173	LCML	blood	chronic_myeloid_leukaemia	1.2	0.845
KP-N-RT-BM-1	NB	nervous_system	neuroblastoma	1.36	0.801
SUP-B15	ALL	blood	lymphoblastic_leukemia	1.45	0.852
KCL-22	LCML	blood	chronic_myeloid_leukaemia	1.49	0.879
ST486	UNCLASSIFIED	blood	Burkitt_lymphoma	1.53	0.871
NALM-6	UNCLASSIFIED	blood	B_cell_leukemia	1.7	0.892
LC-2-ad	LUAD	lung	lung_NSCLC_adenocarcinoma	1.82	0.864
CMK	LAML	blood	acute_myeloid_leukaemia	1.87	0.9
697	UNCLASSIFIED	blood	lymphoblastic_leukemia	2.04	0.92
ES8	UNCLASSIFIED	bone	ewings_sarcoma	2.05	0.891
ALL-PO	ALL	blood	lymphoblastic_leukemia	2.1	0.871
GI-1	LGG	nervous_system	glioma	2.13	0.888
PSN1	PAAD	pancreas	pancreas	2.14	0.913
MOLP-8	MM	blood	myeloma	2.14	0.888
MOLT-4	ALL	blood	lymphoblastic_leukemia	2.21	0.923
KARPAS-620	MM	blood	haematopoietic_neoplasm_other	2.25	0.914
RL95-2	UNCLASSIFIED	urogenital_system	endometrium	2.3	0.889
MY-M12	ALL	blood	leukemia	2.32	0.871
BE-13	ALL	blood	lymphoblastic_leukemia	2.39	0.902
MOLM-13	LAML	blood	acute_myeloid_leukaemia	2.4	0.903
Becker	GBM	nervous_system	glioma	2.43	0.874
GA-10	UNCLASSIFIED	blood	Burkitt_lymphoma	2.49	0.925
KS-1	GBM	nervous_system	glioma	2.5	0.863
KARPAS-45	ALL	blood	lymphoblastic_leukemia	2.53	0.929
K052	UNCLASSIFIED	blood	acute_myeloid_leukaemia	2.64	0.939
P32-ISH	UNCLASSIFIED	blood	Burkitt_lymphoma	2.86	0.962
ATN-1	ALL	blood	lymphoblastic_T_cell_leukaemia	3.03	0.92
MC116	DLBC	blood	B_cell_lymphoma	3.09	0.992
OCI-AML5	LAML	blood	acute_myeloid_leukaemia	3.09	0.926
HuTu-80	UNCLASSIFIED	digestive_system	digestive_system_other	3.14	0.945
A4-Fuk	DLBC	blood	B_cell_lymphoma	3.15	0.906
MV-4-11	UNCLASSIFIED	blood	leukemia	3.18	0.948
NB14	NB	nervous_system	neuroblastoma	3.18	0.922
NKM-1	LAML	blood	acute_myeloid_leukaemia	3.32	0.911
BL-70	UNCLASSIFIED	blood	Burkitt_lymphoma	3.36	0.95
SUP-HD1	UNCLASSIFIED	blood	Hodgkin_lymphoma	3.47	0.926
BL-41	UNCLASSIFIED	blood	Burkitt_lymphoma	3.5	0.969
NOS-1	UNCLASSIFIED	bone	osteosarcoma	3.61	0.892
