Cell line	TCGA classification	Tissue	Tissue sub-type	IC50	AUC
SNU-5	STAD	digestive_system	stomach	0.0528	0.366
LB2241-RCC	KIRC	kidney	kidney	0.162	0.539
KINGS-1	LGG	nervous_system	glioma	0.203	0.566
ALL-PO	ALL	blood	lymphoblastic_leukemia	0.494	0.705
SK-LMS-1	UNCLASSIFIED	soft_tissue	soft_tissue_other	0.582	0.74
EW-22	UNCLASSIFIED	bone	ewings_sarcoma	1.22	0.832
ES1	UNCLASSIFIED	bone	ewings_sarcoma	1.27	0.833
MV-4-11	UNCLASSIFIED	blood	leukemia	1.35	0.872
BL-41	UNCLASSIFIED	blood	Burkitt_lymphoma	1.43	0.896
TE-441-T	UNCLASSIFIED	soft_tissue	rhabdomyosarcoma	1.89	0.878
GDM-1	LAML	blood	acute_myeloid_leukaemia	1.98	0.882
SUP-T1	ALL	blood	lymphoblastic_T_cell_leukaemia	2.1	0.895
NCI-H1770	UNCLASSIFIED	lung	lung_NSCLC_not_specified	2.18	0.906
DOHH-2	DLBC	blood	B_cell_lymphoma	2.35	0.893
BE-13	ALL	blood	lymphoblastic_leukemia	2.51	0.906
MRK-nu-1	BRCA	breast	breast	2.58	0.911
NCI-H1666	LUAD	lung	lung_NSCLC_adenocarcinoma	2.69	0.887
KYM-1	UNCLASSIFIED	soft_tissue	rhabdomyosarcoma	2.82	0.931
PSN1	PAAD	pancreas	pancreas	2.83	0.935
IMR-5	NB	nervous_system	neuroblastoma	3	0.939
ALL-SIL	ALL	blood	T_cell_leukemia	3.06	0.936
NAMALWA	UNCLASSIFIED	blood	Burkitt_lymphoma	3.15	0.942
A498	KIRC	kidney	kidney	3.21	0.855
NOS-1	UNCLASSIFIED	bone	osteosarcoma	3.22	0.884
Becker	GBM	nervous_system	glioma	3.22	0.896
MOLM-13	LAML	blood	acute_myeloid_leukaemia	3.63	0.932
NCI-H2171	SCLC	lung	lung_small_cell_carcinoma	3.65	0.945
KARPAS-45	ALL	blood	lymphoblastic_leukemia	3.69	0.953
GI-1	LGG	nervous_system	glioma	3.86	0.932
ES6	UNCLASSIFIED	bone	ewings_sarcoma	3.92	0.896
RS4-11	ALL	blood	leukemia	4.11	0.943
NCI-H720	UNCLASSIFIED	lung	lung_NSCLC_carcinoid	4.29	0.944
