Cell line	TCGA classification	Tissue	Tissue sub-type	IC50	AUC
LC-2-ad	LUAD	lung	lung_NSCLC_adenocarcinoma	0.00125	0.256
TE-15	ESCA	aero_digestive_tract	oesophagus	0.00126	0.268
PSN1	PAAD	pancreas	pancreas	0.00132	0.24
TE-11	ESCA	aero_digestive_tract	oesophagus	0.00137	0.255
MZ1-PC	PAAD	pancreas	pancreas	0.00165	0.312
SW954	UNCLASSIFIED	urogenital_system	urogenital_system_other	0.00192	0.315
TE-8	ESCA	aero_digestive_tract	oesophagus	0.00194	0.321
697	UNCLASSIFIED	blood	lymphoblastic_leukemia	0.0022	0.315
NTERA-2-cl-D1	UNCLASSIFIED	urogenital_system	testis	0.00229	0.339
ETK-1	UNCLASSIFIED	digestive_system	biliary_tract	0.00232	0.351
HuTu-80	UNCLASSIFIED	digestive_system	digestive_system_other	0.00238	0.332
LXF-289	LUAD	lung	lung_NSCLC_adenocarcinoma	0.0025	0.352
TE-10	ESCA	aero_digestive_tract	oesophagus	0.00254	0.354
GA-10	UNCLASSIFIED	blood	Burkitt_lymphoma	0.00255	0.344
MFH-ino	UNCLASSIFIED	soft_tissue	soft_tissue_other	0.00273	0.376
SU-DHL-6	DLBC	blood	B_cell_lymphoma	0.00285	0.355
VA-ES-BJ	UNCLASSIFIED	soft_tissue	soft_tissue_other	0.00296	0.382
RL95-2	UNCLASSIFIED	urogenital_system	endometrium	0.00298	0.379
OCI-LY-19	DLBC	blood	B_cell_lymphoma	0.00304	0.378
BB30-HNC	HNSC	aero_digestive_tract	head_and_neck	0.00311	0.385
OCUB-M	BRCA	breast	breast	0.00312	0.379
GI-1	LGG	nervous_system	glioma	0.00328	0.393
KALS-1	LGG	nervous_system	glioma	0.00329	0.409
ACN	UNCLASSIFIED	nervous_system	neuroblastoma	0.00335	0.397
RKO	COREAD	digestive_system	large_intestine	0.00336	0.395
MRK-nu-1	BRCA	breast	breast	0.0034	0.396
IA-LM	UNCLASSIFIED	lung	lung_NSCLC_large_cell	0.00348	0.409
SK-UT-1	UNCLASSIFIED	soft_tissue	soft_tissue_other	0.00368	0.408
NAMALWA	UNCLASSIFIED	blood	Burkitt_lymphoma	0.00379	0.41
IMR-5	NB	nervous_system	neuroblastoma	0.00397	0.418
EW-1	UNCLASSIFIED	bone	ewings_sarcoma	0.0041	0.427
A4-Fuk	DLBC	blood	B_cell_lymphoma	0.0042	0.434
SUP-M2	UNCLASSIFIED	blood	anaplastic_large_cell_lymphoma	0.00421	0.426
MC116	DLBC	blood	B_cell_lymphoma	0.00423	0.426
no-10	LGG	nervous_system	glioma	0.00433	0.444
BL-41	UNCLASSIFIED	blood	Burkitt_lymphoma	0.00439	0.433
KARPAS-620	MM	blood	haematopoietic_neoplasm_other	0.00443	0.437
ALL-SIL	ALL	blood	T_cell_leukemia	0.00466	0.446
SIG-M5	LAML	blood	acute_myeloid_leukaemia	0.00466	0.444
SK-LMS-1	UNCLASSIFIED	soft_tissue	soft_tissue_other	0.00468	0.449
NBsusSR	UNCLASSIFIED	nervous_system	neuroblastoma	0.00481	0.452
ES4	UNCLASSIFIED	bone	ewings_sarcoma	0.00483	0.458
NB13	NB	nervous_system	neuroblastoma	0.00483	0.453
TE-9	ESCA	aero_digestive_tract	oesophagus	0.00484	0.456
HCE-4	ESCA	aero_digestive_tract	oesophagus	0.00494	0.456
MOLT-4	ALL	blood	lymphoblastic_leukemia	0.00501	0.457
NCI-H1648	LUAD	lung	lung_NSCLC_adenocarcinoma	0.00504	0.463
MV-4-11	UNCLASSIFIED	blood	leukemia	0.00506	0.459
WIL2-NS	UNCLASSIFIED	blood	lymphoid_neoplasm_other	0.00516	0.463
H9	UNCLASSIFIED	blood	lymphoid_neoplasm_other	0.00527	0.466
NCI-H510A	SCLC	lung	lung_small_cell_carcinoma	0.00535	0.47
KS-1	GBM	nervous_system	glioma	0.00551	0.478
SNU-16	STAD	digestive_system	stomach	0.00551	0.475
8-MG-BA	GBM	nervous_system	glioma	0.00554	0.476
JSC-1	DLBC	blood	B_cell_lymphoma	0.00556	0.477
EW-16	UNCLASSIFIED	bone	ewings_sarcoma	0.00557	0.478
RPMI-8226	MM	blood	myeloma	0.00574	0.482
ATN-1	ALL	blood	lymphoblastic_T_cell_leukaemia	0.00583	0.485
LS-411N	COREAD	digestive_system	large_intestine	0.00591	0.489
TE-1	ESCA	aero_digestive_tract	oesophagus	0.00612	0.494
KMS-12-BM	MM	blood	myeloma	0.00615	0.493
MOLM-13	LAML	blood	acute_myeloid_leukaemia	0.00628	0.497
KARPAS-231	UNCLASSIFIED	blood	B_cell_leukemia	0.00633	0.498
NOS-1	UNCLASSIFIED	bone	osteosarcoma	0.00636	0.499
ES8	UNCLASSIFIED	bone	ewings_sarcoma	0.00637	0.499
SR	UNCLASSIFIED	blood	lymphoid_neoplasm_other	0.00642	0.501
TE-6	ESCA	aero_digestive_tract	oesophagus	0.00642	0.501
BL-70	UNCLASSIFIED	blood	Burkitt_lymphoma	0.00686	0.512
LOUCY	ALL	blood	lymphoblastic_T_cell_leukaemia	0.00689	0.513
BE-13	ALL	blood	lymphoblastic_leukemia	0.0069	0.512
SK-PN-DW	UNCLASSIFIED	bone	ewings_sarcoma	0.007	0.514
KM12	COREAD	digestive_system	large_intestine	0.00732	0.521
ALL-PO	ALL	blood	lymphoblastic_leukemia	0.00734	0.521
NCI-H211	SCLC	lung	lung_small_cell_carcinoma	0.00736	0.523
HL-60	LAML	blood	acute_myeloid_leukaemia	0.00757	0.528
A388	UNCLASSIFIED	skin	skin_other	0.00762	0.526
RS4-11	ALL	blood	leukemia	0.00765	0.53
KGN	UNCLASSIFIED	urogenital_system	ovary	0.00767	0.526
AMO-1	MM	blood	haematopoietic_neoplasm_other	0.0077	0.532
HC-1	UNCLASSIFIED	blood	hairy_cell_leukaemia	0.00778	0.532
SH-4	SKCM	skin	melanoma	0.00778	0.525
OCI-AML2	LAML	blood	acute_myeloid_leukaemia	0.00785	0.536
SW962	UNCLASSIFIED	urogenital_system	urogenital_system_other	0.00788	0.53
DOHH-2	DLBC	blood	B_cell_lymphoma	0.0079	0.534
DJM-1	UNCLASSIFIED	skin	skin_other	0.008	0.536
MY-M12	ALL	blood	leukemia	0.00803	0.534
NCI-H847	SCLC	lung	lung_small_cell_carcinoma	0.00804	0.54
RPMI-6666	UNCLASSIFIED	blood	Hodgkin_lymphoma	0.00812	0.535
SW982	UNCLASSIFIED	soft_tissue	soft_tissue_other	0.00854	0.545
SU-DHL-4	DLBC	blood	B_cell_lymphoma	0.00862	0.554
KOPN-8	UNCLASSIFIED	blood	B_cell_leukemia	0.00875	0.553
TGBC24TKB	UNCLASSIFIED	digestive_system	biliary_tract	0.00881	0.552
BV-173	LCML	blood	chronic_myeloid_leukaemia	0.00886	0.555
SF268	GBM	nervous_system	glioma	0.0089	0.551
NALM-6	UNCLASSIFIED	blood	B_cell_leukemia	0.00891	0.557
L-363	MM	blood	myeloma	0.00908	0.559
Becker	GBM	nervous_system	glioma	0.00911	0.553
CCRF-CEM	ALL	blood	lymphoblastic_leukemia	0.00937	0.565
NCI-H524	SCLC	lung	lung_small_cell_carcinoma	0.00937	0.564
NCI-H1355	LUAD	lung	lung_NSCLC_adenocarcinoma	0.00938	0.551
DEL	UNCLASSIFIED	blood	lymphoid_neoplasm_other	0.00941	0.568
CESS	LAML	blood	acute_myeloid_leukaemia	0.00946	0.567
KURAMOCHI	UNCLASSIFIED	urogenital_system	ovary	0.0097	0.562
JJN-3	MM	blood	haematopoietic_neoplasm_other	0.00972	0.572
NU-DUL-1	DLBC	blood	B_cell_lymphoma	0.00991	0.576
A101D	SKCM	skin	melanoma	0.0102	0.567
HT-144	SKCM	skin	melanoma	0.0103	0.571
KCL-22	LCML	blood	chronic_myeloid_leukaemia	0.0103	0.582
OCI-AML3	LAML	blood	acute_myeloid_leukaemia	0.0106	0.586
Calu-6	LUAD	lung	lung_NSCLC_adenocarcinoma	0.0106	0.575
Farage	DLBC	blood	B_cell_lymphoma	0.0106	0.588
OVCAR-4	OV	urogenital_system	ovary	0.0107	0.567
KNS-42	LGG	nervous_system	glioma	0.0109	0.577
J-RT3-T3-5	UNCLASSIFIED	blood	lymphoblastic_T_cell_leukaemia	0.0109	0.59
PL-21	LAML	blood	acute_myeloid_leukaemia	0.0112	0.582
ML-2	LAML	blood	acute_myeloid_leukaemia	0.0112	0.593
ST486	UNCLASSIFIED	blood	Burkitt_lymphoma	0.0113	0.595
HOP-62	LUAD	lung	lung_NSCLC_adenocarcinoma	0.0113	0.59
COR-L279	SCLC	lung	lung_small_cell_carcinoma	0.0116	0.6
SU-DHL-16	DLBC	blood	B_cell_lymphoma	0.0118	0.61
MHH-PREB-1	UNCLASSIFIED	blood	B_cell_leukemia	0.0118	0.602
QIMR-WIL	LAML	blood	acute_myeloid_leukaemia	0.0121	0.602
NCI-H1975	LUAD	lung	lung_NSCLC_adenocarcinoma	0.0124	0.598
MKL-1-subclone-2	UNCLASSIFIED	skin	Merkel_cell_carcinoma	0.0124	0.6
P3HR-1	UNCLASSIFIED	blood	Burkitt_lymphoma	0.0127	0.614
EoL-1-cell	UNCLASSIFIED	blood	haematopoietic_neoplasm_other	0.0128	0.616
SCC-3	DLBC	blood	B_cell_lymphoma	0.0128	0.625
MOLT-13	ALL	blood	lymphoblastic_T_cell_leukaemia	0.0131	0.619
KE-37	ALL	blood	lymphoblastic_leukemia	0.0133	0.63
OCI-AML5	LAML	blood	acute_myeloid_leukaemia	0.0136	0.624
TGBC1TKB	UNCLASSIFIED	digestive_system	biliary_tract	0.0136	0.619
MKL-2	UNCLASSIFIED	skin	Merkel_cell_carcinoma	0.0137	0.604
RF-48	STAD	digestive_system	stomach	0.0139	0.615
HA7-RCC	KIRC	kidney	kidney	0.0139	0.616
GDM-1	LAML	blood	acute_myeloid_leukaemia	0.0139	0.625
RXF393	KIRC	kidney	kidney	0.014	0.605
KARPAS-45	ALL	blood	lymphoblastic_leukemia	0.014	0.634
Ramos-2G6-4C10	UNCLASSIFIED	blood	Burkitt_lymphoma	0.014	0.633
NCI-H1436	SCLC	lung	lung_small_cell_carcinoma	0.0141	0.616
BC-3	DLBC	blood	B_cell_lymphoma	0.0141	0.631
ONS-76	MB	nervous_system	medulloblastoma	0.0144	0.623
SUP-B15	ALL	blood	lymphoblastic_leukemia	0.0144	0.631
LB647-SCLC	SCLC	lung	lung_small_cell_carcinoma	0.0144	0.621
SK-ES-1	UNCLASSIFIED	bone	ewings_sarcoma	0.0145	0.625
TE-5	ESCA	aero_digestive_tract	oesophagus	0.0146	0.621
SNU-C2B	COREAD	digestive_system	large_intestine	0.0146	0.614
JAR	UNCLASSIFIED	urogenital_system	urogenital_system_other	0.0147	0.632
RPMI-8402	ALL	blood	lymphoblastic_T_cell_leukaemia	0.0148	0.642
ES1	UNCLASSIFIED	bone	ewings_sarcoma	0.0151	0.635
HD-MY-Z	UNCLASSIFIED	blood	Hodgkin_lymphoma	0.0151	0.634
HCC1187	BRCA	breast	breast	0.0153	0.64
Daudi	UNCLASSIFIED	blood	Burkitt_lymphoma	0.0154	0.647
CTV-1	LAML	blood	acute_myeloid_leukaemia	0.0155	0.653
NOMO-1	LAML	blood	acute_myeloid_leukaemia	0.0158	0.633
MOLP-8	MM	blood	myeloma	0.0161	0.647
SNB75	GBM	nervous_system	glioma	0.0164	0.623
K-562	LCML	blood	chronic_myeloid_leukaemia	0.0167	0.652
LB831-BLC	BLCA	urogenital_system	bladder	0.0171	0.652
VCaP	PRAD	urogenital_system	prostate	0.0174	0.654
SU-DHL-8	DLBC	blood	B_cell_lymphoma	0.0174	0.662
IST-MEL1	SKCM	skin	melanoma	0.0175	0.645
A253	UNCLASSIFIED	aero_digestive_tract	head_and_neck	0.0179	0.663
Hs-445	UNCLASSIFIED	blood	Hodgkin_lymphoma	0.0181	0.668
PF-382	ALL	blood	lymphoblastic_T_cell_leukaemia	0.0185	0.676
NCI-H747	COREAD	digestive_system	large_intestine	0.0187	0.652
SNU-5	STAD	digestive_system	stomach	0.0188	0.666
NCI-H64	SCLC	lung	lung_small_cell_carcinoma	0.019	0.694
MZ7-mel	SKCM	skin	melanoma	0.0201	0.675
SLVL	DLBC	blood	B_cell_lymphoma	0.0202	0.673
SJSA-1	UNCLASSIFIED	bone	bone_other	0.0205	0.671
NCI-H446	SCLC	lung	lung_small_cell_carcinoma	0.0209	0.677
LS-123	COREAD	digestive_system	large_intestine	0.021	0.661
KU812	LCML	blood	chronic_myeloid_leukaemia	0.0213	0.695
KINGS-1	LGG	nervous_system	glioma	0.0216	0.662
JiyoyeP-2003	UNCLASSIFIED	blood	Burkitt_lymphoma	0.0217	0.701
NCI-H69	SCLC	lung	lung_small_cell_carcinoma	0.0223	0.683
NCI-H1963	SCLC	lung	lung_small_cell_carcinoma	0.0228	0.709
TE-12	ESCA	aero_digestive_tract	oesophagus	0.0231	0.68
NB1	NB	nervous_system	neuroblastoma	0.0233	0.69
Tera-1	UNCLASSIFIED	urogenital_system	testis	0.0233	0.69
IST-SL1	SCLC	lung	lung_small_cell_carcinoma	0.024	0.701
MEC-1	UNCLASSIFIED	blood	B_cell_leukemia	0.0244	0.702
HCC1599	BRCA	breast	breast	0.0245	0.694
OCI-M1	LAML	blood	acute_myeloid_leukaemia	0.0251	0.738
LB771-HNC	HNSC	aero_digestive_tract	head_and_neck	0.0251	0.689
NMC-G1	LGG	nervous_system	glioma	0.0258	0.694
MC-CAR	MM	blood	haematopoietic_neoplasm_other	0.0261	0.727
LB1047-RCC	KIRC	kidney	kidney	0.0264	0.705
SF539	LGG	nervous_system	glioma	0.0268	0.731
BB65-RCC	KIRC	kidney	kidney	0.0271	0.706
HDLM-2	UNCLASSIFIED	blood	Hodgkin_lymphoma	0.0272	0.723
MONO-MAC-6	LAML	blood	acute_myeloid_leukaemia	0.0273	0.716
GRANTA-519	DLBC	blood	B_cell_lymphoma	0.0276	0.735
CPC-N	SCLC	lung	lung_small_cell_carcinoma	0.0281	0.717
ARH-77	MM	blood	myeloma	0.0281	0.73
TK10	KIRC	kidney	kidney	0.0286	0.709
NCI-H2126	UNCLASSIFIED	lung	lung_NSCLC_adenocarcinoma	0.0287	0.703
NCI-H526	SCLC	lung	lung_small_cell_carcinoma	0.0293	0.736
no-11	LGG	nervous_system	glioma	0.0293	0.709
