Cell line	TCGA classification	Tissue	Tissue sub-type	IC50	AUC
697	UNCLASSIFIED	blood	lymphoblastic_leukemia	0.0606	0.258
NCI-H1417	SCLC	lung	lung_small_cell_carcinoma	0.0631	0.305
MOLT-4	ALL	blood	lymphoblastic_leukemia	0.0686	0.28
KELLY	NB	nervous_system	neuroblastoma	0.112	0.368
MOLT-13	ALL	blood	lymphoblastic_T_cell_leukaemia	0.117	0.373
CCRF-CEM	ALL	blood	lymphoblastic_leukemia	0.135	0.395
MZ2-MEL	SKCM	skin	melanoma	0.151	0.426
SU-DHL-6	DLBC	blood	B_cell_lymphoma	0.155	0.415
RPMI-8402	ALL	blood	lymphoblastic_T_cell_leukaemia	0.162	0.425
MHH-NB-11	NB	nervous_system	neuroblastoma	0.163	0.435
J-RT3-T3-5	UNCLASSIFIED	blood	lymphoblastic_T_cell_leukaemia	0.164	0.429
NB69	NB	nervous_system	neuroblastoma	0.171	0.436
Mo-T	UNCLASSIFIED	blood	hairy_cell_leukaemia	0.184	0.452
JHU-011	HNSC	aero_digestive_tract	head_and_neck	0.212	0.474
AsPC-1	PAAD	pancreas	pancreas	0.214	0.565
BHT-101	THCA	thyroid	thyroid	0.215	0.476
NB4	LAML	blood	acute_myeloid_leukaemia	0.23	0.485
MOLM-13	LAML	blood	acute_myeloid_leukaemia	0.23	0.486
MOLT-16	ALL	blood	lymphoblastic_T_cell_leukaemia	0.234	0.488
CHP-212	NB	nervous_system	neuroblastoma	0.248	0.499
JURL-MK1	LCML	blood	chronic_myeloid_leukaemia	0.256	0.504
NB14	NB	nervous_system	neuroblastoma	0.261	0.507
ES7	UNCLASSIFIED	bone	ewings_sarcoma	0.266	0.51
ES1	UNCLASSIFIED	bone	ewings_sarcoma	0.271	0.513
KE-37	ALL	blood	lymphoblastic_leukemia	0.276	0.518
NCI-H2591	MESO	lung	mesothelioma	0.281	0.612
LAMA-84	LCML	blood	chronic_myeloid_leukaemia	0.302	0.53
MHH-PREB-1	UNCLASSIFIED	blood	B_cell_leukemia	0.31	0.536
BB30-HNC	HNSC	aero_digestive_tract	head_and_neck	0.312	0.536
ES3	UNCLASSIFIED	bone	ewings_sarcoma	0.345	0.655
BE-13	ALL	blood	lymphoblastic_leukemia	0.349	0.555
RCH-ACV	UNCLASSIFIED	blood	B_cell_leukemia	0.358	0.562
RS4-11	ALL	blood	leukemia	0.364	0.562
CML-T1	LCML	blood	chronic_myeloid_leukaemia	0.388	0.576
ES-2	UNCLASSIFIED	urogenital_system	ovary	0.392	0.576
ONS-76	MB	nervous_system	medulloblastoma	0.392	0.569
BV-173	LCML	blood	chronic_myeloid_leukaemia	0.393	0.576
OCI-LY7	DLBC	blood	B_cell_lymphoma	0.399	0.584
KARPAS-45	ALL	blood	lymphoblastic_leukemia	0.405	0.583
Hey	OV	urogenital_system	ovary	0.419	0.584
RCC-JF	KIRC	kidney	kidney	0.42	0.578
PCI-4B	HNSC	aero_digestive_tract	head_and_neck	0.427	0.587
TUR	DLBC	blood	B_cell_lymphoma	0.427	0.588
EW-16	UNCLASSIFIED	bone	ewings_sarcoma	0.428	0.584
D-263MG	GBM	nervous_system	glioma	0.435	0.58
MHH-ES-1	UNCLASSIFIED	bone	ewings_sarcoma	0.453	0.595
TT2609-C02	THCA	thyroid	thyroid	0.458	0.593
EoL-1-cell	UNCLASSIFIED	blood	haematopoietic_neoplasm_other	0.463	0.603
NCI-H290	MESO	lung	mesothelioma	0.464	0.602
SKM-1	UNCLASSIFIED	blood	haematopoietic_neoplasm_other	0.474	0.597
DOV13	OV	urogenital_system	ovary	0.479	0.596
REH	UNCLASSIFIED	blood	B_cell_leukemia	0.489	0.608
SKN	UNCLASSIFIED	urogenital_system	uterus	0.502	0.601
KON	HNSC	aero_digestive_tract	head_and_neck	0.505	0.612
HGC-27	STAD	digestive_system	stomach	0.509	0.621
SUIT-2	PAAD	pancreas	pancreas	0.53	0.716
SIMA	NB	nervous_system	neuroblastoma	0.543	0.615
CGTH-W-1	THCA	thyroid	thyroid	0.556	0.626
SCaBER	UNCLASSIFIED	urogenital_system	bladder	0.556	0.618
ES8	UNCLASSIFIED	bone	ewings_sarcoma	0.558	0.631
NCI-H520	LUSC	lung	lung_NSCLC_squamous_cell_carcinoma	0.56	0.625
DG-75	UNCLASSIFIED	blood	Burkitt_lymphoma	0.563	0.627
CAL-29	BLCA	urogenital_system	bladder	0.57	0.625
OVTOKO	OV	urogenital_system	ovary	0.57	0.616
OS-RC-2	KIRC	kidney	kidney	0.582	0.611
VA-ES-BJ	UNCLASSIFIED	soft_tissue	soft_tissue_other	0.602	0.634
EM-2	LCML	blood	chronic_myeloid_leukaemia	0.61	0.632
SW962	UNCLASSIFIED	urogenital_system	urogenital_system_other	0.611	0.627
OVCAR-5	OV	urogenital_system	ovary	0.622	0.631
ES5	UNCLASSIFIED	bone	ewings_sarcoma	0.624	0.634
LB1047-RCC	KIRC	kidney	kidney	0.64	0.639
CAL-39	CESC	urogenital_system	cervix	0.647	0.646
SW954	UNCLASSIFIED	urogenital_system	urogenital_system_other	0.655	0.65
A375	SKCM	skin	melanoma	0.656	0.665
COLO-800	SKCM	skin	melanoma	0.673	0.657
KOPN-8	UNCLASSIFIED	blood	B_cell_leukemia	0.675	0.667
A549	LUAD	lung	lung_NSCLC_adenocarcinoma	0.678	0.647
PC-3	PRAD	urogenital_system	prostate	0.69	0.735
TYK-nu	UNCLASSIFIED	urogenital_system	ovary	0.695	0.654
CRO-AP2	DLBC	blood	B_cell_lymphoma	0.699	0.672
SK-LU-1	LUAD	lung	lung_NSCLC_adenocarcinoma	0.707	0.645
RPMI-8226	MM	blood	myeloma	0.708	0.674
CAL-33	HNSC	aero_digestive_tract	head_and_neck	0.709	0.662
MV-4-11	UNCLASSIFIED	blood	leukemia	0.723	0.682
MEL-JUSO	SKCM	skin	melanoma	0.732	0.659
MOG-G-UVW	LGG	nervous_system	glioma	0.736	0.67
P30-OHK	ALL	blood	lymphoblastic_leukemia	0.742	0.684
NCI-H2369	MESO	lung	mesothelioma	0.742	0.666
BE2-M17	NB	nervous_system	neuroblastoma	0.743	0.667
NCI-H3118	UNCLASSIFIED	aero_digestive_tract	head_and_neck	0.748	0.664
CHP-134	NB	nervous_system	neuroblastoma	0.757	0.654
CTB-1	DLBC	blood	B_cell_lymphoma	0.758	0.649
DB	DLBC	blood	B_cell_lymphoma	0.761	0.664
NCI-H838	LUAD	lung	lung_NSCLC_adenocarcinoma	0.784	0.674
RPMI-8866	LCML	blood	chronic_myeloid_leukaemia	0.789	0.685
SF268	GBM	nervous_system	glioma	0.809	0.676
EBC-1	LUSC	lung	lung_NSCLC_squamous_cell_carcinoma	0.824	0.675
NCI-H3122	LUAD	lung	lung_NSCLC_adenocarcinoma	0.828	0.683
HAL-01	ALL	blood	lymphoblastic_leukemia	0.841	0.699
CRO-AP3	UNCLASSIFIED	blood	B_cell_lymphoma	0.849	0.705
KYSE-410	ESCA	aero_digestive_tract	oesophagus	0.867	0.686
S-117	UNCLASSIFIED	thyroid	thyroid	0.869	0.667
YH-13	GBM	nervous_system	glioma	0.886	0.69
