Cell line	TCGA classification	Tissue	Tissue sub-type	IC50	AUC
MHH-ES-1	UNCLASSIFIED	bone	ewings_sarcoma	0.536	0.586
COLO-800	SKCM	skin	melanoma	0.689	0.626
NB69	NB	nervous_system	neuroblastoma	1.1	0.706
NCI-H209	SCLC	lung	lung_small_cell_carcinoma	1.3	0.711
RXF393	KIRC	kidney	kidney	1.48	0.703
697	UNCLASSIFIED	blood	lymphoblastic_leukemia	1.57	0.773
A2780	UNCLASSIFIED	urogenital_system	ovary	1.8	0.758
ES1	UNCLASSIFIED	bone	ewings_sarcoma	1.81	0.765
HGC-27	STAD	digestive_system	stomach	2.15	0.81
NCI-H1651	LUAD	lung	lung_NSCLC_adenocarcinoma	2.18	0.776
SUP-B15	ALL	blood	lymphoblastic_leukemia	2.23	0.796
KELLY	NB	nervous_system	neuroblastoma	2.27	0.805
NCI-H460	UNCLASSIFIED	lung	lung_NSCLC_large_cell	2.39	0.813
EW-11	UNCLASSIFIED	bone	ewings_sarcoma	2.65	0.776
CAL-51	BRCA	breast	breast	2.72	0.836
KYM-1	UNCLASSIFIED	soft_tissue	rhabdomyosarcoma	2.74	0.839
PA-1	UNCLASSIFIED	urogenital_system	ovary	2.87	0.863
MC-IXC	NB	nervous_system	neuroblastoma	2.91	0.881
U-118-MG	GBM	nervous_system	glioma	3.02	0.805
NCI-H1048	SCLC	lung	lung_small_cell_carcinoma	3.03	0.843
ES8	UNCLASSIFIED	bone	ewings_sarcoma	3.07	0.839
SK-ES-1	UNCLASSIFIED	bone	ewings_sarcoma	3.2	0.822
BV-173	LCML	blood	chronic_myeloid_leukaemia	3.36	0.858
U251	GBM	nervous_system	glioma	3.38	0.845
NTERA-2-cl-D1	UNCLASSIFIED	urogenital_system	testis	3.6	0.845
NB5	NB	nervous_system	neuroblastoma	3.7	0.845
NBsusSR	UNCLASSIFIED	nervous_system	neuroblastoma	3.71	0.865
H4	LGG	nervous_system	glioma	3.81	0.852
OVCAR-8	OV	urogenital_system	ovary	4.04	0.875
ES7	UNCLASSIFIED	bone	ewings_sarcoma	4.31	0.858
RH-1	UNCLASSIFIED	soft_tissue	rhabdomyosarcoma	4.33	0.895
8-MG-BA	GBM	nervous_system	glioma	4.34	0.874
MOLT-16	ALL	blood	lymphoblastic_T_cell_leukaemia	4.58	0.911
HT-1080	UNCLASSIFIED	soft_tissue	fibrosarcoma	4.63	0.888
HuTu-80	UNCLASSIFIED	digestive_system	digestive_system_other	4.67	0.904
EW-22	UNCLASSIFIED	bone	ewings_sarcoma	4.8	0.878
A673	UNCLASSIFIED	soft_tissue	rhabdomyosarcoma	4.86	0.892
DSH1	BLCA	urogenital_system	bladder	4.86	0.881
SW954	UNCLASSIFIED	urogenital_system	urogenital_system_other	4.97	0.873
LU-99A	UNCLASSIFIED	lung	lung_NSCLC_large_cell	5.01	0.878
BHT-101	THCA	thyroid	thyroid	5.18	0.874
GCT	UNCLASSIFIED	soft_tissue	soft_tissue_other	5.34	0.894
ES5	UNCLASSIFIED	bone	ewings_sarcoma	5.41	0.862
MV-4-11	UNCLASSIFIED	blood	leukemia	5.41	0.919
ALL-PO	ALL	blood	lymphoblastic_leukemia	5.48	0.875
SR	UNCLASSIFIED	blood	lymphoid_neoplasm_other	5.69	0.905
ONS-76	MB	nervous_system	medulloblastoma	5.79	0.877
IOSE-364(-)	UNCLASSIFIED	urogenital_system	ovary	5.93	0.9
MOLM-13	LAML	blood	acute_myeloid_leukaemia	6.01	0.903
MY-M12	ALL	blood	leukemia	6.06	0.874
NCI-H1395	LUAD	lung	lung_NSCLC_adenocarcinoma	6.12	0.852
HAL-01	ALL	blood	lymphoblastic_leukemia	6.2	0.916
HCT-116	COREAD	digestive_system	large_intestine	6.22	0.903
LB996-RCC	KIRC	kidney	kidney	6.3	0.872
KU-19-19	BLCA	urogenital_system	bladder	6.35	0.896
SW982	UNCLASSIFIED	soft_tissue	soft_tissue_other	6.39	0.892
LK-2	LUSC	lung	lung_NSCLC_squamous_cell_carcinoma	6.49	0.907
NKM-1	LAML	blood	acute_myeloid_leukaemia	6.51	0.894
LU-135	SCLC	lung	lung_small_cell_carcinoma	6.52	0.932
G-402	UNCLASSIFIED	soft_tissue	soft_tissue_other	6.62	0.858
PCI-4B	HNSC	aero_digestive_tract	head_and_neck	6.65	0.908
LB2241-RCC	KIRC	kidney	kidney	6.72	0.883
NCI-H2030	LUAD	lung	lung_NSCLC_adenocarcinoma	6.74	0.881
MCF7	BRCA	breast	breast	6.78	0.895
FADU	HNSC	aero_digestive_tract	head_and_neck	6.87	0.907
BPH-1	UNCLASSIFIED	urogenital_system	prostate	6.88	0.887
HuO-3N1	UNCLASSIFIED	bone	osteosarcoma	7.03	0.864
SUP-M2	UNCLASSIFIED	blood	anaplastic_large_cell_lymphoma	7.22	0.958
LCLC-103H	UNCLASSIFIED	lung	lung_NSCLC_large_cell	7.28	0.923
SK-UT-1	UNCLASSIFIED	soft_tissue	soft_tissue_other	7.45	0.923
GAMG	LGG	nervous_system	glioma	7.67	0.903
KON	HNSC	aero_digestive_tract	head_and_neck	7.74	0.914
NB17	NB	nervous_system	neuroblastoma	7.76	0.89
NB10	NB	nervous_system	neuroblastoma	7.83	0.915
KOSC-2	HNSC	aero_digestive_tract	head_and_neck	7.83	0.905
PL18	PAAD	pancreas	pancreas	7.97	0.914
TE-8	ESCA	aero_digestive_tract	oesophagus	8.08	0.903
A375	SKCM	skin	melanoma	8.09	0.948
Hs-633T	UNCLASSIFIED	soft_tissue	fibrosarcoma	8.1	0.949
LU-134-A	SCLC	lung	lung_small_cell_carcinoma	8.15	0.905
HuO9	UNCLASSIFIED	bone	osteosarcoma	8.19	0.899
Hey	OV	urogenital_system	ovary	8.25	0.924
EoL-1-cell	UNCLASSIFIED	blood	haematopoietic_neoplasm_other	8.29	0.936
A2058	SKCM	skin	melanoma	8.29	0.934
WM278	SKCM	skin	melanoma	8.32	0.898
HEC-1	UCEC	urogenital_system	endometrium	8.33	0.921
