Cell line	TCGA classification	Tissue	Tissue sub-type	IC50	AUC
MOLM-13	LAML	blood	acute_myeloid_leukaemia	0.00478	0.0391
MV-4-11	UNCLASSIFIED	blood	leukemia	0.00485	0.0217
NKM-1	LAML	blood	acute_myeloid_leukaemia	0.0254	0.177
MONO-MAC-6	LAML	blood	acute_myeloid_leukaemia	0.0288	0.195
GDM-1	LAML	blood	acute_myeloid_leukaemia	0.0409	0.224
ALL-PO	ALL	blood	lymphoblastic_leukemia	0.0493	0.261
CGTH-W-1	THCA	thyroid	thyroid	0.204	0.467
NOS-1	UNCLASSIFIED	bone	osteosarcoma	0.373	0.558
WIL2-NS	UNCLASSIFIED	blood	lymphoid_neoplasm_other	0.474	0.611
SH-4	SKCM	skin	melanoma	0.6	0.611
BB65-RCC	KIRC	kidney	kidney	0.834	0.674
HOP-62	LUAD	lung	lung_NSCLC_adenocarcinoma	0.838	0.688
OCI-AML5	LAML	blood	acute_myeloid_leukaemia	0.897	0.706
KM12	COREAD	digestive_system	large_intestine	0.905	0.691
OCI-AML2	LAML	blood	acute_myeloid_leukaemia	0.987	0.742
697	UNCLASSIFIED	blood	lymphoblastic_leukemia	1.17	0.761
LB2518-MEL	SKCM	skin	melanoma	1.22	0.734
BE-13	ALL	blood	lymphoblastic_leukemia	1.24	0.75
SU-DHL-8	DLBC	blood	B_cell_lymphoma	1.24	0.751
ALL-SIL	ALL	blood	T_cell_leukemia	1.32	0.769
NB14	NB	nervous_system	neuroblastoma	1.42	0.768
BV-173	LCML	blood	chronic_myeloid_leukaemia	1.46	0.782
NCI-H1436	SCLC	lung	lung_small_cell_carcinoma	1.51	0.752
LAMA-84	LCML	blood	chronic_myeloid_leukaemia	1.54	0.769
EM-2	LCML	blood	chronic_myeloid_leukaemia	1.57	0.758
A3-KAW	DLBC	blood	B_cell_lymphoma	1.59	0.808
KG-1	LAML	blood	acute_myeloid_leukaemia	1.65	0.796
SF126	GBM	nervous_system	glioma	1.67	0.774
GA-10	UNCLASSIFIED	blood	Burkitt_lymphoma	1.68	0.807
MEG-01	LCML	blood	chronic_myeloid_leukaemia	1.68	0.79
BC-1	DLBC	blood	B_cell_lymphoma	1.68	0.806
SF539	LGG	nervous_system	glioma	1.87	0.811
MRK-nu-1	BRCA	breast	breast	1.89	0.809
A388	UNCLASSIFIED	skin	skin_other	1.9	0.779
8-MG-BA	GBM	nervous_system	glioma	1.91	0.808
SIG-M5	LAML	blood	acute_myeloid_leukaemia	1.94	0.849
