Cell line	TCGA classification	Tissue	Tissue sub-type	IC50	AUC
MV-4-11	UNCLASSIFIED	blood	leukemia	0.021	0.427
MOLM-13	LAML	blood	acute_myeloid_leukaemia	0.0228	0.444
Hs-940-T	SKCM	skin	melanoma	0.024	0.458
ML-1	THCA	thyroid	thyroid	0.0255	0.467
KG-1-C	UNCLASSIFIED	nervous_system	glioma	0.0312	0.496
NKM-1	LAML	blood	acute_myeloid_leukaemia	0.0396	0.533
SW982	UNCLASSIFIED	soft_tissue	soft_tissue_other	0.0418	0.542
CGTH-W-1	THCA	thyroid	thyroid	0.0424	0.545
Hs-633T	UNCLASSIFIED	soft_tissue	fibrosarcoma	0.0454	0.561
G-292-Clone-A141B1	UNCLASSIFIED	bone	osteosarcoma	0.0475	0.55
EoL-1-cell	UNCLASSIFIED	blood	haematopoietic_neoplasm_other	0.0483	0.569
NCI-H1755	LUAD	lung	lung_NSCLC_adenocarcinoma	0.0552	0.581
KASUMI-1	LAML	blood	acute_myeloid_leukaemia	0.0575	0.593
KMRC-20	KIRC	kidney	kidney	0.0743	0.631
A427	UNCLASSIFIED	lung	lung_NSCLC_not_specified	0.0894	0.659
MES-SA	UNCLASSIFIED	urogenital_system	uterus	0.093	0.679
TCCSUP	BLCA	urogenital_system	bladder	0.0939	0.658
LC-2-ad	LUAD	lung	lung_NSCLC_adenocarcinoma	0.0959	0.669
CHSA8926	UNCLASSIFIED	bone	chondrosarcoma	0.0967	0.645
CAL-51	BRCA	breast	breast	0.0994	0.689
MONO-MAC-6	LAML	blood	acute_myeloid_leukaemia	0.102	0.675
A204	UNCLASSIFIED	soft_tissue	rhabdomyosarcoma	0.102	0.66
NB69	NB	nervous_system	neuroblastoma	0.103	0.692
SNU-398	LIHC	digestive_system	liver	0.109	0.686
NCI-H2342	LUAD	lung	lung_NSCLC_adenocarcinoma	0.11	0.682
KM12	COREAD	digestive_system	large_intestine	0.113	0.687
NALM-6	UNCLASSIFIED	blood	B_cell_leukemia	0.114	0.713
CHSA0108	UNCLASSIFIED	bone	chondrosarcoma	0.117	0.686
TT2609-C02	THCA	thyroid	thyroid	0.119	0.696
HuTu-80	UNCLASSIFIED	digestive_system	digestive_system_other	0.123	0.726
A431	UNCLASSIFIED	skin	skin_other	0.125	0.714
MOLP-8	MM	blood	myeloma	0.126	0.714
TOV-112D	OV	urogenital_system	ovary	0.126	0.71
SNU-387	LIHC	digestive_system	liver	0.127	0.699
KGN	UNCLASSIFIED	urogenital_system	ovary	0.129	0.696
CHP-212	NB	nervous_system	neuroblastoma	0.131	0.724
D-336MG	LGG	nervous_system	glioma	0.133	0.694
SW1271	SCLC	lung	lung_small_cell_carcinoma	0.135	0.706
SNU-449	LIHC	digestive_system	liver	0.135	0.711
SW1710	BLCA	urogenital_system	bladder	0.135	0.717
MCC13	UNCLASSIFIED	skin	Merkel_cell_carcinoma	0.135	0.733
MC-IXC	NB	nervous_system	neuroblastoma	0.137	0.758
KS-1	GBM	nervous_system	glioma	0.138	0.702
NY	UNCLASSIFIED	bone	osteosarcoma	0.14	0.727
HuO-3N1	UNCLASSIFIED	bone	osteosarcoma	0.143	0.701
JHH-4	LIHC	digestive_system	liver	0.145	0.73
LU-135	SCLC	lung	lung_small_cell_carcinoma	0.146	0.753
EFM-19	BRCA	breast	breast	0.147	0.691
LB1047-RCC	KIRC	kidney	kidney	0.149	0.721
769-P	KIRC	kidney	kidney	0.149	0.724
EFO-21	OV	urogenital_system	ovary	0.149	0.698
NCI-H2818	MESO	lung	mesothelioma	0.149	0.731
SW48	COREAD	digestive_system	large_intestine	0.15	0.735
NCI-H2030	LUAD	lung	lung_NSCLC_adenocarcinoma	0.152	0.723
DMS-273	SCLC	lung	lung_small_cell_carcinoma	0.153	0.732
HCC-44	LUAD	lung	lung_NSCLC_adenocarcinoma	0.153	0.741
ALL-PO	ALL	blood	lymphoblastic_leukemia	0.154	0.732
IHH-4	THCA	thyroid	thyroid	0.155	0.767
COLO-205	COREAD	digestive_system	large_intestine	0.157	0.743
H4	LGG	nervous_system	glioma	0.158	0.744
NK-92MI	UNCLASSIFIED	blood	lymphoid_neoplasm_other	0.159	0.752
42-MG-BA	GBM	nervous_system	glioma	0.159	0.735
GDM-1	LAML	blood	acute_myeloid_leukaemia	0.16	0.749
201T	LUAD	lung	lung_NSCLC_adenocarcinoma	0.16	0.72
G-401	UNCLASSIFIED	kidney	kidney	0.162	0.735
697	UNCLASSIFIED	blood	lymphoblastic_leukemia	0.162	0.774
HOP-62	LUAD	lung	lung_NSCLC_adenocarcinoma	0.167	0.75
PANC-03-27	PAAD	pancreas	pancreas	0.174	0.763
NTERA-2-cl-D1	UNCLASSIFIED	urogenital_system	testis	0.174	0.756
SKN	UNCLASSIFIED	urogenital_system	uterus	0.176	0.735
Hs-683	LGG	nervous_system	glioma	0.177	0.755
KYSE-270	ESCA	aero_digestive_tract	oesophagus	0.178	0.779
SK-N-SH	NB	nervous_system	neuroblastoma	0.178	0.758
8-MG-BA	GBM	nervous_system	glioma	0.179	0.767
HT-1080	UNCLASSIFIED	soft_tissue	fibrosarcoma	0.181	0.775
OVTOKO	OV	urogenital_system	ovary	0.182	0.733
AGS	STAD	digestive_system	stomach	0.185	0.777
GI-ME-N	NB	nervous_system	neuroblastoma	0.185	0.728
LXF-289	LUAD	lung	lung_NSCLC_adenocarcinoma	0.186	0.766
PA-1	UNCLASSIFIED	urogenital_system	ovary	0.187	0.799
CAS-1	GBM	nervous_system	glioma	0.191	0.731
MG-63	UNCLASSIFIED	bone	osteosarcoma	0.191	0.749
SIG-M5	LAML	blood	acute_myeloid_leukaemia	0.192	0.81
MKN45	STAD	digestive_system	stomach	0.192	0.741
A498	KIRC	kidney	kidney	0.197	0.724
SU-DHL-16	DLBC	blood	B_cell_lymphoma	0.199	0.822
SBC-3	SCLC	lung	lung_small_cell_carcinoma	0.2	0.786
SU-DHL-10	DLBC	blood	B_cell_lymphoma	0.201	0.827
NCI-H1975	LUAD	lung	lung_NSCLC_adenocarcinoma	0.201	0.757
NCI-H1299	UNCLASSIFIED	lung	lung_NSCLC_large_cell	0.203	0.75
NCI-H2286	UNCLASSIFIED	lung	lung_small_cell_carcinoma	0.204	0.772
HuCCT1	UNCLASSIFIED	digestive_system	biliary_tract	0.208	0.764
MFH-ino	UNCLASSIFIED	soft_tissue	soft_tissue_other	0.209	0.758
LB831-BLC	BLCA	urogenital_system	bladder	0.21	0.776
T98G	GBM	nervous_system	glioma	0.21	0.79
T-T	ESCA	aero_digestive_tract	oesophagus	0.211	0.781
G-402	UNCLASSIFIED	soft_tissue	soft_tissue_other	0.212	0.747
LCLC-103H	UNCLASSIFIED	lung	lung_NSCLC_large_cell	0.212	0.794
IGR-37	SKCM	skin	melanoma	0.217	0.796
G-361	SKCM	skin	melanoma	0.217	0.789
PL18	PAAD	pancreas	pancreas	0.218	0.785
SF126	GBM	nervous_system	glioma	0.223	0.78
ABC-1	LUAD	lung	lung_NSCLC_adenocarcinoma	0.223	0.763
SNU-423	LIHC	digestive_system	liver	0.224	0.768
ALL-SIL	ALL	blood	T_cell_leukemia	0.228	0.812
KYSE-510	ESCA	aero_digestive_tract	oesophagus	0.231	0.819
HGC-27	STAD	digestive_system	stomach	0.233	0.817
HSC-2	HNSC	aero_digestive_tract	head_and_neck	0.234	0.804
OCI-LY-19	DLBC	blood	B_cell_lymphoma	0.234	0.804
KYSE-30	UNCLASSIFIED	aero_digestive_tract	oesophagus	0.236	0.828
HCT-116	COREAD	digestive_system	large_intestine	0.237	0.801
KE-37	ALL	blood	lymphoblastic_leukemia	0.237	0.839
MHH-ES-1	UNCLASSIFIED	bone	ewings_sarcoma	0.237	0.796
U031	KIRC	kidney	kidney	0.238	0.79
CAKI-1	KIRC	kidney	kidney	0.239	0.746
SW1088	GBM	nervous_system	glioma	0.239	0.763
LN-18	GBM	nervous_system	glioma	0.24	0.83
JHU-011	HNSC	aero_digestive_tract	head_and_neck	0.243	0.8
TE-11	ESCA	aero_digestive_tract	oesophagus	0.243	0.811
CAL-120	BRCA	breast	breast	0.244	0.766
YKG-1	GBM	nervous_system	glioma	0.244	0.796
CAL-54	KIRC	kidney	kidney	0.245	0.781
MOG-G-CCM	LGG	nervous_system	glioma	0.245	0.778
NCI-H647	UNCLASSIFIED	lung	lung_NSCLC_not_specified	0.248	0.794
MDA-MB-231	BRCA	breast	breast	0.249	0.792
KON	HNSC	aero_digestive_tract	head_and_neck	0.252	0.804
K052	UNCLASSIFIED	blood	acute_myeloid_leukaemia	0.255	0.838
LK-2	LUSC	lung	lung_NSCLC_squamous_cell_carcinoma	0.26	0.814
MDA-MB-157	BRCA	breast	breast	0.262	0.803
P32-ISH	UNCLASSIFIED	blood	Burkitt_lymphoma	0.262	0.857
B-CPAP	THCA	thyroid	thyroid	0.262	0.822
KYSE-150	ESCA	aero_digestive_tract	oesophagus	0.263	0.812
KYSE-50	ESCA	aero_digestive_tract	oesophagus	0.263	0.82
GCIY	STAD	digestive_system	stomach	0.263	0.79
CCF-STTG1	GBM	nervous_system	glioma	0.266	0.806
P30-OHK	ALL	blood	lymphoblastic_leukemia	0.266	0.837
D-392MG	GBM	nervous_system	glioma	0.269	0.769
HCC1395	BRCA	breast	breast	0.269	0.784
COLO-792	SKCM	skin	melanoma	0.271	0.813
OSA-80	UNCLASSIFIED	bone	osteosarcoma	0.272	0.757
OSC-20	HNSC	aero_digestive_tract	head_and_neck	0.272	0.788
SU-DHL-5	DLBC	blood	B_cell_lymphoma	0.277	0.864
NCI-H358	LUAD	lung	lung_NSCLC_adenocarcinoma	0.277	0.798
SF295	GBM	nervous_system	glioma	0.277	0.802
D-247MG	GBM	nervous_system	glioma	0.277	0.772
VA-ES-BJ	UNCLASSIFIED	soft_tissue	soft_tissue_other	0.277	0.805
NCI-H2009	LUAD	lung	lung_NSCLC_adenocarcinoma	0.28	0.806
MZ1-PC	PAAD	pancreas	pancreas	0.282	0.786
NCI-H810	UNCLASSIFIED	lung	lung_NSCLC_large_cell	0.282	0.821
RS4-11	ALL	blood	leukemia	0.288	0.831
AN3-CA	UCEC	urogenital_system	endometrium	0.288	0.805
8505C	THCA	thyroid	thyroid	0.288	0.809
MDA-MB-468	BRCA	breast	breast	0.289	0.823
GI-1	LGG	nervous_system	glioma	0.289	0.824
KP-4	PAAD	pancreas	pancreas	0.292	0.825
HLE	LIHC	digestive_system	liver	0.295	0.829
EFM-192A	BRCA	breast	breast	0.295	0.805
786-0	KIRC	kidney	kidney	0.297	0.834
BFTC-905	BLCA	urogenital_system	bladder	0.298	0.846
A172	GBM	nervous_system	glioma	0.3	0.828
K5	THCA	thyroid	thyroid	0.302	0.829
ONS-76	MB	nervous_system	medulloblastoma	0.303	0.812
Calu-3	LUAD	lung	lung_NSCLC_adenocarcinoma	0.303	0.791
GA-10	UNCLASSIFIED	blood	Burkitt_lymphoma	0.305	0.852
YT	ALL	blood	lymphoid_neoplasm_other	0.308	0.852
NCI-H2795	MESO	lung	mesothelioma	0.309	0.827
SK-UT-1	UNCLASSIFIED	soft_tissue	soft_tissue_other	0.309	0.84
RT-112	BLCA	urogenital_system	bladder	0.31	0.815
KYSE-410	ESCA	aero_digestive_tract	oesophagus	0.311	0.816
SF268	GBM	nervous_system	glioma	0.313	0.816
SU-DHL-6	DLBC	blood	B_cell_lymphoma	0.314	0.885
DoTc2-4510	CESC	urogenital_system	cervix	0.316	0.836
EW-16	UNCLASSIFIED	bone	ewings_sarcoma	0.323	0.823
NCI-H1770	UNCLASSIFIED	lung	lung_NSCLC_not_specified	0.325	0.852
SCC-4	HNSC	aero_digestive_tract	head_and_neck	0.325	0.806
SK-MES-1	LUSC	lung	lung_NSCLC_squamous_cell_carcinoma	0.325	0.818
CAL-12T	UNCLASSIFIED	lung	lung_NSCLC_not_specified	0.326	0.815
BFTC-909	KIRC	kidney	kidney	0.328	0.835
PCI-4B	HNSC	aero_digestive_tract	head_and_neck	0.331	0.841
NMC-G1	LGG	nervous_system	glioma	0.332	0.804
NCI-H1792	LUAD	lung	lung_NSCLC_adenocarcinoma	0.333	0.85
DU-145	PRAD	urogenital_system	prostate	0.334	0.817
NCI-H28	MESO	lung	mesothelioma	0.334	0.796
Toledo	UNCLASSIFIED	blood	B_cell_lymphoma	0.334	0.813
OCI-AML2	LAML	blood	acute_myeloid_leukaemia	0.338	0.892
KG-1	LAML	blood	acute_myeloid_leukaemia	0.339	0.854
COR-L105	LUAD	lung	lung_NSCLC_adenocarcinoma	0.341	0.808
H9	UNCLASSIFIED	blood	lymphoid_neoplasm_other	0.342	0.87
OE21	ESCA	aero_digestive_tract	oesophagus	0.345	0.794
MEL-JUSO	SKCM	skin	melanoma	0.346	0.821
SW872	UNCLASSIFIED	soft_tissue	soft_tissue_other	0.346	0.853
KYSE-450	ESCA	aero_digestive_tract	oesophagus	0.347	0.847
M059J	GBM	nervous_system	glioma	0.351	0.827
TK10	KIRC	kidney	kidney	0.354	0.813
TUR	DLBC	blood	B_cell_lymphoma	0.354	0.853
JHH-7	LIHC	digestive_system	liver	0.354	0.85
NCI-H2803	MESO	lung	mesothelioma	0.355	0.817
IM-95	STAD	digestive_system	stomach	0.356	0.83
ST486	UNCLASSIFIED	blood	Burkitt_lymphoma	0.356	0.861
HCE-4	ESCA	aero_digestive_tract	oesophagus	0.358	0.867
BC-1	DLBC	blood	B_cell_lymphoma	0.361	0.87
MOLT-4	ALL	blood	lymphoblastic_leukemia	0.363	0.88
SBC-5	SCLC	lung	lung_small_cell_carcinoma	0.363	0.879
KARPAS-620	MM	blood	haematopoietic_neoplasm_other	0.363	0.869
5637	BLCA	urogenital_system	bladder	0.363	0.859
NCI-H2122	LUAD	lung	lung_NSCLC_adenocarcinoma	0.367	0.854
NCI-H2085	LUAD	lung	lung_NSCLC_adenocarcinoma	0.368	0.832
CCRF-CEM	ALL	blood	lymphoblastic_leukemia	0.368	0.875
HCT-15	COREAD	digestive_system	large_intestine	0.369	0.835
KMH-2	THCA	thyroid	thyroid	0.37	0.863
KARPAS-231	UNCLASSIFIED	blood	B_cell_leukemia	0.37	0.895
PC-14	LUAD	lung	lung_NSCLC_adenocarcinoma	0.371	0.864
ACN	UNCLASSIFIED	nervous_system	neuroblastoma	0.377	0.847
L-540	UNCLASSIFIED	blood	Hodgkin_lymphoma	0.378	0.866
NCI-H1563	LUAD	lung	lung_NSCLC_adenocarcinoma	0.378	0.822
CAL-39	CESC	urogenital_system	cervix	0.378	0.841
A2780	UNCLASSIFIED	urogenital_system	ovary	0.378	0.841
ATN-1	ALL	blood	lymphoblastic_T_cell_leukaemia	0.379	0.858
NCI-H2170	LUSC	lung	lung_NSCLC_squamous_cell_carcinoma	0.379	0.84
NUGC-4	STAD	digestive_system	stomach	0.381	0.847
LCLC-97TM1	UNCLASSIFIED	lung	lung_NSCLC_large_cell	0.381	0.834
SISO	CESC	urogenital_system	cervix	0.383	0.855
SK-LMS-1	UNCLASSIFIED	soft_tissue	soft_tissue_other	0.385	0.857
A3-KAW	DLBC	blood	B_cell_lymphoma	0.386	0.891
CMK	LAML	blood	acute_myeloid_leukaemia	0.388	0.879
LU-99A	UNCLASSIFIED	lung	lung_NSCLC_large_cell	0.388	0.851
P12-ICHIKAWA	ALL	blood	lymphoblastic_T_cell_leukaemia	0.39	0.9
SK-CO-1	COREAD	digestive_system	large_intestine	0.391	0.859
SR	UNCLASSIFIED	blood	lymphoid_neoplasm_other	0.392	0.868
IGR-1	SKCM	skin	melanoma	0.395	0.873
KP-1N	PAAD	pancreas	pancreas	0.397	0.845
