Cell line	TCGA classification	Tissue	Tissue sub-type	IC50	AUC
COLO-800	SKCM	skin	melanoma	0.0106	0.0398
MHH-ES-1	UNCLASSIFIED	bone	ewings_sarcoma	0.0204	0.0734
MC-IXC	NB	nervous_system	neuroblastoma	0.0241	0.0242
ES8	UNCLASSIFIED	bone	ewings_sarcoma	0.026	0.079
NTERA-2-cl-D1	UNCLASSIFIED	urogenital_system	testis	0.0275	0.0939
SUP-M2	UNCLASSIFIED	blood	anaplastic_large_cell_lymphoma	0.0275	0.0426
EW-3	UNCLASSIFIED	bone	ewings_sarcoma	0.0311	0.125
ES7	UNCLASSIFIED	bone	ewings_sarcoma	0.0311	0.109
EW-22	UNCLASSIFIED	bone	ewings_sarcoma	0.0324	0.102
ES4	UNCLASSIFIED	bone	ewings_sarcoma	0.0347	0.135
HGC-27	STAD	digestive_system	stomach	0.0368	0.0894
MSTO-211H	MESO	lung	mesothelioma	0.0408	0.112
IHH-4	THCA	thyroid	thyroid	0.0445	0.0948
A2058	SKCM	skin	melanoma	0.0535	0.136
ES1	UNCLASSIFIED	bone	ewings_sarcoma	0.0544	0.154
697	UNCLASSIFIED	blood	lymphoblastic_leukemia	0.0551	0.117
NB10	NB	nervous_system	neuroblastoma	0.0585	0.161
EW-7	UNCLASSIFIED	bone	ewings_sarcoma	0.0601	0.145
A673	UNCLASSIFIED	soft_tissue	rhabdomyosarcoma	0.0655	0.159
BV-173	LCML	blood	chronic_myeloid_leukaemia	0.0659	0.156
NCI-H1876	SCLC	lung	lung_small_cell_carcinoma	0.0662	0.179
TC-71	UNCLASSIFIED	bone	ewings_sarcoma	0.0668	0.148
CML-T1	LCML	blood	chronic_myeloid_leukaemia	0.0818	0.173
SK-CO-1	COREAD	digestive_system	large_intestine	0.0823	0.195
8-MG-BA	GBM	nervous_system	glioma	0.0879	0.202
NCI-H209	SCLC	lung	lung_small_cell_carcinoma	0.092	0.225
RH-1	UNCLASSIFIED	soft_tissue	rhabdomyosarcoma	0.101	0.202
SK-ES-1	UNCLASSIFIED	bone	ewings_sarcoma	0.103	0.238
CAL-51	BRCA	breast	breast	0.104	0.213
NCI-H1417	SCLC	lung	lung_small_cell_carcinoma	0.106	0.255
ES3	UNCLASSIFIED	bone	ewings_sarcoma	0.11	0.245
EW-1	UNCLASSIFIED	bone	ewings_sarcoma	0.112	0.231
NCI-H1781	LUAD	lung	lung_NSCLC_adenocarcinoma	0.114	0.244
GOTO	NB	nervous_system	neuroblastoma	0.114	0.259
CHP-212	NB	nervous_system	neuroblastoma	0.131	0.254
Daoy	MB	nervous_system	medulloblastoma	0.137	0.258
NCI-H460	UNCLASSIFIED	lung	lung_NSCLC_large_cell	0.141	0.262
MOLT-16	ALL	blood	lymphoblastic_T_cell_leukaemia	0.156	0.263
IOSE-397	UNCLASSIFIED	urogenital_system	ovary	0.165	0.299
IOSE-523(-)	UNCLASSIFIED	urogenital_system	ovary	0.167	0.288
GI-1	LGG	nervous_system	glioma	0.172	0.297
NCI-H1651	LUAD	lung	lung_NSCLC_adenocarcinoma	0.187	0.32
SK-N-SH	NB	nervous_system	neuroblastoma	0.188	0.314
HuTu-80	UNCLASSIFIED	digestive_system	digestive_system_other	0.19	0.299
NCI-H1048	SCLC	lung	lung_small_cell_carcinoma	0.214	0.324
P30-OHK	ALL	blood	lymphoblastic_leukemia	0.218	0.321
CAL-62	THCA	thyroid	thyroid	0.23	0.34
TOV-21G	OV	urogenital_system	ovary	0.238	0.355
GR-ST	ALL	blood	lymphoblastic_leukemia	0.246	0.366
