Cell line	TCGA classification	Tissue	Tissue sub-type	IC50	AUC
MFH-ino	UNCLASSIFIED	soft_tissue	soft_tissue_other	0.00716	0.14
697	UNCLASSIFIED	blood	lymphoblastic_leukemia	0.0162	0.165
ALL-SIL	ALL	blood	T_cell_leukemia	0.0185	0.196
ES8	UNCLASSIFIED	bone	ewings_sarcoma	0.0198	0.215
NTERA-2-cl-D1	UNCLASSIFIED	urogenital_system	testis	0.0217	0.237
GA-10	UNCLASSIFIED	blood	Burkitt_lymphoma	0.0234	0.225
HuTu-80	UNCLASSIFIED	digestive_system	digestive_system_other	0.0262	0.24
MOLM-13	LAML	blood	acute_myeloid_leukaemia	0.0327	0.287
P32-ISH	UNCLASSIFIED	blood	Burkitt_lymphoma	0.0363	0.281
RS4-11	ALL	blood	leukemia	0.037	0.303
OCI-LY-19	DLBC	blood	B_cell_lymphoma	0.0414	0.321
KE-37	ALL	blood	lymphoblastic_leukemia	0.0485	0.333
SUP-M2	UNCLASSIFIED	blood	anaplastic_large_cell_lymphoma	0.0537	0.351
LC-2-ad	LUAD	lung	lung_NSCLC_adenocarcinoma	0.0538	0.369
SR	UNCLASSIFIED	blood	lymphoid_neoplasm_other	0.0551	0.365
MOLT-4	ALL	blood	lymphoblastic_leukemia	0.0553	0.359
KOPN-8	UNCLASSIFIED	blood	B_cell_leukemia	0.056	0.364
BE-13	ALL	blood	lymphoblastic_leukemia	0.0567	0.372
GDM-1	LAML	blood	acute_myeloid_leukaemia	0.0605	0.383
NALM-6	UNCLASSIFIED	blood	B_cell_leukemia	0.062	0.38
OCUB-M	BRCA	breast	breast	0.0669	0.395
MV-4-11	UNCLASSIFIED	blood	leukemia	0.0704	0.401
MY-M12	ALL	blood	leukemia	0.0705	0.414
SU-DHL-8	DLBC	blood	B_cell_lymphoma	0.0729	0.412
H9	UNCLASSIFIED	blood	lymphoid_neoplasm_other	0.0756	0.413
NCI-H847	SCLC	lung	lung_small_cell_carcinoma	0.0811	0.425
SK-UT-1	UNCLASSIFIED	soft_tissue	soft_tissue_other	0.0832	0.433
K052	UNCLASSIFIED	blood	acute_myeloid_leukaemia	0.0842	0.431
MKL-1-subclone-2	UNCLASSIFIED	skin	Merkel_cell_carcinoma	0.085	0.441
BV-173	LCML	blood	chronic_myeloid_leukaemia	0.0869	0.439
SU-DHL-16	DLBC	blood	B_cell_lymphoma	0.0869	0.435
MONO-MAC-6	LAML	blood	acute_myeloid_leukaemia	0.088	0.446
EW-16	UNCLASSIFIED	bone	ewings_sarcoma	0.0894	0.448
MKL-2	UNCLASSIFIED	skin	Merkel_cell_carcinoma	0.0915	0.457
SK-ES-1	UNCLASSIFIED	bone	ewings_sarcoma	0.0931	0.454
KARPAS-231	UNCLASSIFIED	blood	B_cell_leukemia	0.0939	0.449
IMR-5	NB	nervous_system	neuroblastoma	0.097	0.456
SW982	UNCLASSIFIED	soft_tissue	soft_tissue_other	0.109	0.479
SW954	UNCLASSIFIED	urogenital_system	urogenital_system_other	0.11	0.479
LB647-SCLC	SCLC	lung	lung_small_cell_carcinoma	0.11	0.481
SUP-B15	ALL	blood	lymphoblastic_leukemia	0.111	0.481
TE-11	ESCA	aero_digestive_tract	oesophagus	0.112	0.482
BL-41	UNCLASSIFIED	blood	Burkitt_lymphoma	0.118	0.49
PSN1	PAAD	pancreas	pancreas	0.119	0.491
