Cell line	TCGA classification	Tissue	Tissue sub-type	IC50	AUC
SNU-81	COREAD	digestive_system	large_intestine	2.22	0.752
NCI-H716	COREAD	digestive_system	large_intestine	3.48	0.808
DU-145	PRAD	urogenital_system	prostate	4.34	0.845
RPMI-8866	LCML	blood	chronic_myeloid_leukaemia	4.59	0.881
PCI-15A	HNSC	aero_digestive_tract	head_and_neck	4.98	0.874
A101D	SKCM	skin	melanoma	5.45	0.853
OS-RC-2	KIRC	kidney	kidney	5.7	0.835
ALL-PO	ALL	blood	lymphoblastic_leukemia	6.74	0.892
LB771-HNC	HNSC	aero_digestive_tract	head_and_neck	7.03	0.871
SNG-M	UCEC	urogenital_system	endometrium	8.08	0.917
COLO-668	SCLC	lung	lung_small_cell_carcinoma	8.39	0.916
HEC-1	UCEC	urogenital_system	endometrium	8.46	0.922
Daoy	MB	nervous_system	medulloblastoma	8.83	0.936
MV-4-11	UNCLASSIFIED	blood	leukemia	8.88	0.954
JVM-3	CLL	blood	lymphoid_neoplasm_other	9.22	0.92
SU-DHL-16	DLBC	blood	B_cell_lymphoma	9.46	0.985
NKM-1	LAML	blood	acute_myeloid_leukaemia	9.56	0.921
NOMO-1	LAML	blood	acute_myeloid_leukaemia	9.66	0.907
MOLT-13	ALL	blood	lymphoblastic_T_cell_leukaemia	9.75	0.947
Ramos-2G6-4C10	UNCLASSIFIED	blood	Burkitt_lymphoma	9.94	0.953
MHH-ES-1	UNCLASSIFIED	bone	ewings_sarcoma	9.97	0.929
PFSK-1	MB	nervous_system	medulloblastoma	10.1	0.919
JVM-2	CLL	blood	lymphoid_neoplasm_other	10.1	0.899
RPMI-8226	MM	blood	myeloma	10.3	0.952
639-V	BLCA	urogenital_system	bladder	10.6	0.956
G-MEL	SKCM	skin	melanoma	10.6	0.932
CHP-212	NB	nervous_system	neuroblastoma	10.6	0.943
LAMA-84	LCML	blood	chronic_myeloid_leukaemia	10.7	0.929
CRO-AP3	UNCLASSIFIED	blood	B_cell_lymphoma	10.7	0.958
LU-139	SCLC	lung	lung_small_cell_carcinoma	10.8	0.898
BV-173	LCML	blood	chronic_myeloid_leukaemia	10.9	0.952
NCI-H2029	SCLC	lung	lung_small_cell_carcinoma	11.2	0.949
A375	SKCM	skin	melanoma	11.3	0.965
KYSE-150	ESCA	aero_digestive_tract	oesophagus	11.7	0.942
T98G	GBM	nervous_system	glioma	11.7	0.948
SK-PN-DW	UNCLASSIFIED	bone	ewings_sarcoma	12.1	0.933
JURL-MK1	LCML	blood	chronic_myeloid_leukaemia	12.3	0.939
MC116	DLBC	blood	B_cell_lymphoma	12.5	0.999
ATN-1	ALL	blood	lymphoblastic_T_cell_leukaemia	12.5	0.949
SAT	HNSC	aero_digestive_tract	head_and_neck	12.5	0.882
EW-3	UNCLASSIFIED	bone	ewings_sarcoma	13	0.924
MOLM-16	LAML	blood	acute_myeloid_leukaemia	13	0.961
BB30-HNC	HNSC	aero_digestive_tract	head_and_neck	13.2	0.946
LCLC-103H	UNCLASSIFIED	lung	lung_NSCLC_large_cell	13.3	0.957
KYM-1	UNCLASSIFIED	soft_tissue	rhabdomyosarcoma	13.5	0.966
IMR-5	NB	nervous_system	neuroblastoma	13.6	0.969
MOLT-4	ALL	blood	lymphoblastic_leukemia	13.6	0.974
H4	LGG	nervous_system	glioma	13.9	0.947
HARA	LUSC	lung	lung_NSCLC_squamous_cell_carcinoma	14.2	0.926
ES8	UNCLASSIFIED	bone	ewings_sarcoma	14.4	0.957
OCI-LY7	DLBC	blood	B_cell_lymphoma	14.5	0.996
OVCAR-8	OV	urogenital_system	ovary	14.5	0.962
CTV-1	LAML	blood	acute_myeloid_leukaemia	14.9	0.979
A2058	SKCM	skin	melanoma	15	0.964
IHH-4	THCA	thyroid	thyroid	15	0.979
Hs-683	LGG	nervous_system	glioma	15.2	0.947
NEC8	UNCLASSIFIED	urogenital_system	testis	15.7	0.973
WIL2-NS	UNCLASSIFIED	blood	lymphoid_neoplasm_other	15.7	0.978
MHH-CALL-2	UNCLASSIFIED	blood	B_cell_leukemia	15.9	0.993
PE-CA-PJ15	HNSC	aero_digestive_tract	head_and_neck	15.9	0.941
TOV-21G	OV	urogenital_system	ovary	16	0.94
