ccle	outlier	tissue	ic50
HuTu_80	1204	STOMACH	0.456
H4	1205	CENTRAL_NERVOUS_SYSTEM	1.12
BV_173	15061	LCLL	1.15
SUP_B15	1488	LCLL	1.19
OCI_LY_19	2930	DLBC	1.71
MSTO_211H	837	LUNG	1.89
MOLT_16	1156	LCLL	1.9
NALM_6	1744	LCLL	1.96
RH_18	1701	BONE_AND_SOFT_TISSUE	2.09
JVM_3	1222	LCLL	2.09
697	663	LCLL	2.13
OCI_AML5	1092	LCLL	2.15
TOV_21G	1409	OVARY	2.22
RS4_11	2625	LCLL	2.23
RCH_ACV	881	LCLL	2.32
DBTRG_05MG	982	CENTRAL_NERVOUS_SYSTEM	2.65
A172	764	CENTRAL_NERVOUS_SYSTEM	2.72
SU_DHL_5	4405	DLBC	2.73
HT_144	630	SKIN	2.81
DOHH_2	1217	DLBC	2.88
MEL_JUSO	1072	SKIN	2.92
KS_1	700	CENTRAL_NERVOUS_SYSTEM	3
NCI_H929	2298	MM	3.24
A101D	829	SKIN	3.27
L_540	1641	DLBC	3.31
OVTOKO	959	OVARY	3.35
SNG_M	1737	CERVICAL	3.44
SJSA_1	1112	BONE_AND_SOFT_TISSUE	3.44
SK_HEP_1	615	BILIARY	3.47
CCF_STTG1	982	CENTRAL_NERVOUS_SYSTEM	3.69
OCUM_1	1054	STOMACH	3.76
MHH_NB_11	38432	CENTRAL_NERVOUS_SYSTEM	3.86
DK_MG	1922	CENTRAL_NERVOUS_SYSTEM	3.96
OCI_AML2	1729	LCLL	4.07
KOPN_8	1544	LCLL	4.08
ONS_76	2314	CENTRAL_NERVOUS_SYSTEM	4.18
CAL_54	867	KIDNEY	4.26
HT_1080	1025	BONE_AND_SOFT_TISSUE	4.51
KYM_1	1284	BONE_AND_SOFT_TISSUE	4.56
AM_38	1235	CENTRAL_NERVOUS_SYSTEM	4.64
SHP_77	2657	LUNG	4.73
G_402	1831	KIDNEY	4.76
CHP_126	2950	CENTRAL_NERVOUS_SYSTEM	4.81
C32	1202	SKIN	4.99
AMO_1	1228	MM	5.23
GRANTA_519	3337	DLBC	5.26
CML_T1	1886	LCLL	5.39
NCI_H28	1513	LUNG	5.55
WM_115	1606	SKIN	5.6
OS_RC_2	1390	KIDNEY	5.64
MEL_HO	974	SKIN	5.83
A3_KAW	1977	DLBC	5.84
NCI_H358	3052	LUNG	6.06
