ccle	outlier	tissue	ic50
COLO_800	879	SKIN	0.427
MHH_ES_1	2971	BONE_AND_SOFT_TISSUE	0.868
NCI_H209	1778	LUNG	1.21
BV_173	15061	LCLL	1.44
SUP_B15	1488	LCLL	1.66
697	663	LCLL	2.24
TOV_21G	1409	OVARY	2.33
SU_DHL_5	4405	DLBC	3.12
NCI_H716	1647	LARGE_INTESTINE	3.22
RCH_ACV	881	LCLL	3.27
NCI_H1876	5253	LUNG	4.03
SK_ES_1	1705	BONE_AND_SOFT_TISSUE	4.04
H4	1205	CENTRAL_NERVOUS_SYSTEM	4.26
KOPN_8	1544	LCLL	4.41
MOLT_16	1156	LCLL	4.47
OCI_LY_19	2930	DLBC	4.58
DOHH_2	1217	DLBC	4.66
JVM_3	1222	LCLL	4.8
CML_T1	1886	LCLL	5.26
HT_1080	1025	BONE_AND_SOFT_TISSUE	5.79
NCI_H1048	1439	LUNG	6.01
A101D	829	SKIN	6.05
OCI_AML2	1729	LCLL	6.28
HuTu_80	1204	STOMACH	6.35
JURL_MK1	3640	LCLL	6.71
ONS_76	2314	CENTRAL_NERVOUS_SYSTEM	6.77
A2058	721	SKIN	6.81
HOS	2032	BONE_AND_SOFT_TISSUE	6.92
NOMO_1	1356	LCLL	7.1
NCI_H2023	772	LUNG	7.54
639_V	1004	URINARY_TRACT	7.67
MOLM_16	1628	LCLL	7.8
NALM_6	1744	LCLL	7.92
JVM_2	2169	LCLL	7.92
SF539	714	CENTRAL_NERVOUS_SYSTEM	8.07
NCI_H1105	5366	LUNG	8.27
JHH_7	1372	BILIARY	8.37
HCC1187	1592	BREAST	8.58
RPMI_8226	904	MM	8.61
KYM_1	1284	BONE_AND_SOFT_TISSUE	8.83
SNG_M	1737	CERVICAL	8.84
MOLT_13	3118	LCLL	9.02
NCI_H211	1679	LUNG	9.15
NU_DUL_1	1282	DLBC	9.4
GB_1	1201	CENTRAL_NERVOUS_SYSTEM	9.58
NCI_H1651	1194	LUNG	9.61
CAL_51	2001	BREAST	10.8
42_MG_BA	1205	CENTRAL_NERVOUS_SYSTEM	10.9
OVCAR_8	798	OVARY	11
8505C	596	THYROID	11.1
