drug:tissue_type	spearman p-value	spearman corr val	adjusted spearman p-value	pearson p-value	pearson corr val	adjusted pearson p-value
PD-0325901_BILIARY	0.2969041156887641	0.32867132867132864	0.7398826963681333	0.5705581463715106	0.18234974206882287	0.9739183447695912
PD-0325901_BONE_AND_SOFT_TISSUE	0.11588783814878352	0.4088235294117647	0.6999415188455232	0.7401815735939985	0.09003834160066741	0.9739183447695912
PD-0325901_BREAST	0.9746369346789796	-0.0062953333010502465	0.9746369346789796	0.9019167403811895	-0.02439924667187784	0.9739183447695912
PD-0325901_CENTRAL_NERVOUS_SYSTEM	0.9531507698107247	-0.01081576553462192	0.9746369346789796	0.9619579500805783	-0.008780877564545535	0.9739183447695912
PD-0325901_DLBC	0.5504830824887003	-0.11347202206159923	0.9651724697077897	0.33460474245366856	-0.18242972404756985	0.9739183447695912
PD-0325901_LARGE_INTESTINE	0.8978832031610189	-0.031578947368421054	0.9746369346789796	0.8042044899128886	-0.060960069019314424	0.9739183447695912
PD-0325901_LCLL	0.6670171719922171	0.07016885553470921	0.9746369346789796	0.9739183447695912	0.005338686575724345	0.9739183447695912
PD-0325901_LUNG	0.1489556018331098	0.1598186455174444	0.6999415188455232	0.1449879638846031	0.16137436363357188	0.8699277833076187
PD-0325901_MM	0.7495085962341482	-0.10909090909090911	0.9746369346789796	0.6003687089782762	-0.17808126774747024	0.9739183447695912
PD-0325901_OESOPHAGUS	0.30828445682005556	-0.2821428571428571	0.7398826963681333	0.6158012354571336	-0.14116109539596985	0.9739183447695912
PD-0325901_OVARY	0.5630172739962107	-0.16923076923076924	0.9651724697077897	0.870146911505704	-0.04815440515836453	0.9739183447695912
PD-0325901_SKIN	0.1749853797113808	0.32470384872234864	0.6999415188455232	0.04586672310224154	0.463067598965528	0.5504006772268986
