ccle	outlier	tissue	ic50
OCI_AML2	1729	LCLL	0.00114
OCUM_1	1054	STOMACH	0.00238
SKM_1	731	LCLL	0.00383
NOMO_1	1356	LCLL	0.00502
OV_90	1691	OVARY	0.00593
HL_60	3831	LCLL	0.0062
C32	1202	SKIN	0.00696
SK_MEL_28	875	SKIN	0.00775
BHT_101	1423	THYROID	0.00869
JURL_MK1	3640	LCLL	0.00876
TT2609_C02	2378	THYROID	0.0089
CL_11	1045	LARGE_INTESTINE	0.00976
Hs_939_T	671	SKIN	0.0101
639_V	1004	URINARY_TRACT	0.0104
SK_CO_1	1072	LARGE_INTESTINE	0.0105
SK_MEL_1	2259	SKIN	0.0106
MEL_HO	974	SKIN	0.011
HT_144	630	SKIN	0.0115
SH_4	1508	SKIN	0.0115
MIA_PaCa_2	1830	PANCREAS	0.0118
SW403	3673	LARGE_INTESTINE	0.0118
COLO_679	1165	SKIN	0.0119
ONS_76	2314	CENTRAL_NERVOUS_SYSTEM	0.0134
NCI_H1944	3978	LUNG	0.0145
TE_15	826	OESOPHAGUS	0.0148
NCI_H1437	3682	LUNG	0.0149
SUIT_2	3490	PANCREAS	0.016
OCI_AML3	1069	LCLL	0.016
HOP_62	780	LUNG	0.0165
UACC_257	1719	SKIN	0.0173
TYK_nu	1305	OVARY	0.0174
SK_N_AS	975	CENTRAL_NERVOUS_SYSTEM	0.018
KU812	1136	LCLL	0.0194
MEL_JUSO	1072	SKIN	0.0197
SNU_387	1024	BILIARY	0.022
MOLT_13	3118	LCLL	0.0223
ES_2	873	OVARY	0.0227
LAMA_84	994	LCLL	0.023
A101D	829	SKIN	0.0241
CL_34	906	LARGE_INTESTINE	0.0259
EM_2	1246	LCLL	0.0266
SIMA	2852	CENTRAL_NERVOUS_SYSTEM	0.027
HCC_56	1097	LARGE_INTESTINE	0.0275
COLO_783	865	SKIN	0.0302
CAL_33	2283	UPPER_AERODIGESTIVE_TRACT	0.031
Caov_4	2799	OVARY	0.0321
JHH_1	739	BILIARY	0.0355
KP_2	1391	PANCREAS	0.0365
NCI_H747	1364	LARGE_INTESTINE	0.0373
NCI_H2291	1761	LUNG	0.0378
SCaBER	1092	URINARY_TRACT	0.0387
AsPC_1	1134	PANCREAS	0.0389
SNU_C5	5185	LARGE_INTESTINE	0.0399
RCM_1	3166	LARGE_INTESTINE	0.0403
NCI_H1355	1337	LUNG	0.0409
WM_115	1606	SKIN	0.0439
