ccle	outlier	tissue	ic50
SNU_5	822	STOMACH	0.0528
SK_LMS_1	755	BONE_AND_SOFT_TISSUE	0.582
BL_41	1094	DLBC	1.43
TE_441_T	3689	BONE_AND_SOFT_TISSUE	1.89
GDM_1	2907	LCLL	1.98
SUP_T1	3005	DLBC	2.1
DOHH_2	1217	DLBC	2.35
NCI_H1666	1473	LUNG	2.69
KYM_1	1284	BONE_AND_SOFT_TISSUE	2.82
ALL_SIL	714	LCLL	3.06
NAMALWA	1025	DLBC	3.15
NCI_H2171	3025	LUNG	3.65
GI_1	866	CENTRAL_NERVOUS_SYSTEM	3.86
RS4_11	2625	LCLL	4.11
KM12	7295	LARGE_INTESTINE	4.32
SU_DHL_4	1771	DLBC	4.82
MOLT_13	3118	LCLL	4.87
MC116	1002	DLBC	4.98
KE_37	1453	LCLL	5.19
697	663	LCLL	5.24
OCI_AML5	1092	LCLL	5.33
SU_DHL_1	6985	DLBC	5.5
HT_144	630	SKIN	5.68
NCI_H1395	1857	LUNG	5.82
SF539	714	CENTRAL_NERVOUS_SYSTEM	6.07
TE_15	826	OESOPHAGUS	6.14
OCI_AML2	1729	LCLL	6.28
LXF_289	3464	LUNG	6.48
TE_11	615	OESOPHAGUS	6.49
A101D	829	SKIN	6.6
SUP_B15	1488	LCLL	6.68
KP_N_YN	4239	CENTRAL_NERVOUS_SYSTEM	6.81
A3_KAW	1977	DLBC	6.84
KS_1	700	CENTRAL_NERVOUS_SYSTEM	6.88
BL_70	1142	DLBC	6.98
NALM_6	1744	LCLL	7.29
SIG_M5	1411	LCLL	7.9
SU_DHL_6	2255	DLBC	8.19
NCI_H524	3023	LUNG	8.22
RPMI_8402	829	LCLL	8.31
HCC1187	1592	BREAST	8.6
U_87_MG	1236	CENTRAL_NERVOUS_SYSTEM	9.64
COLO_800	879	SKIN	9.85
MONO_MAC_6	1201	LCLL	10.2
K_562	1415	LCLL	10.2
RL95_2	901	CERVICAL	10.3
SIMA	2852	CENTRAL_NERVOUS_SYSTEM	11
KU812	1136	LCLL	11
UACC_812	9782	BREAST	11.2
TE_10	4325	OESOPHAGUS	11.5
KOPN_8	1544	LCLL	11.7
P31_FUJ	1081	LCLL	11.7
DEL	2137	DLBC	11.8
KARPAS_620	2147	MM	12.2
JM1	1764	LCLL	12.4
NU_DUL_1	1282	DLBC	12.6
GB_1	1201	CENTRAL_NERVOUS_SYSTEM	12.9
JURL_MK1	3640	LCLL	13.1
KCL_22	1135	LCLL	13.1
ST486	5790	DLBC	13.2
SK_N_DZ	1709	CENTRAL_NERVOUS_SYSTEM	13.2
KMS_12_BM	1114	MM	13.2
JJN_3	922	MM	13.4
CW_2	1588	LARGE_INTESTINE	13.6
SU_DHL_8	1571	DLBC	13.7
MOLP_8	534	MM	13.9
RPMI_8226	904	MM	13.9
LP_1	1486	MM	13.9
HuTu_80	1204	STOMACH	14
NOMO_1	1356	LCLL	14
L_540	1641	DLBC	14.3
PF_382	6404	LCLL	14.4
BV_173	15061	LCLL	14.4
HEL	1063	LCLL	14.6
EJM	858	MM	14.9
TC_71	1189	BONE_AND_SOFT_TISSUE	15
NCI_H211	1679	LUNG	15.1
KARPAS_299	1434	DLBC	15.2
OPM_2	1301	MM	15.2
GA_10	1309	DLBC	15.3
CMK	1212	LCLL	15.4
NCI_H1155	1694	LUNG	15.5
WSU_DLCL2	4181	DLBC	15.6
NCI_H23	2264	LUNG	15.8
L_1236	1702	DLBC	15.8
L_363	3865	MM	16
KG_1	804	LCLL	16.1
OCI_AML3	1069	LCLL	16.5
AMO_1	1228	MM	16.7
P3HR_1	1165	DLBC	17
SKM_1	731	LCLL	17
ES_2	873	OVARY	17
