drug:tissue_type	spearman p-value	spearman corr val	adjusted spearman p-value	pearson p-value	pearson corr val	adjusted pearson p-value
Palbociclib_BILIARY	0.680597508	-0.132867133	0.81671701	0.393210952	-0.271558544	0.586672132
Palbociclib_BONE_AND_SOFT_TISSUE	0.782274751	0.081318681	0.831716405	0.546751123	0.17622225	0.610728403
Palbociclib_BREAST	0.47997266	-0.141963061	0.639963546	0.650235718	-0.09140568	0.650235718
Palbociclib_CENTRAL_NERVOUS_SYSTEM	0.032190173	-0.379468384	0.312653586	0.039539985	-0.365734059	0.262250581
Palbociclib_DLBC	0.321531295	0.187340083	0.639963546	0.559834369	0.110837517	0.610728403
Palbociclib_LARGE_INTESTINE	0.058056754	-0.442105263	0.312653586	0.04370843	-0.467211578	0.262250581
Palbociclib_LCLL	0.470443119	-0.117448405	0.639963546	0.336542719	-0.155963452	0.576930375
Palbociclib_LUNG	0.078163396	0.200649991	0.312653586	0.120576188	0.177236912	0.361728563
Palbociclib_MM	0.831716405	-0.072727273	0.831716405	0.440004099	-0.260021813	0.586672132
Palbociclib_OESOPHAGUS	0.435392674	-0.217857143	0.639963546	0.288419819	-0.293468135	0.576839639
Palbociclib_OVARY	0.25987362	0.323076923	0.623696687	0.110817675	0.445024881	0.361728563
Palbociclib_SKIN	0.104496653	0.395252838	0.313489958	0.153197214	0.351035876	0.367673313
