ccle	outlier	tissue	ic50
697	663	LCLL	0.0606
KELLY	3202	CENTRAL_NERVOUS_SYSTEM	0.112
MOLT_13	3118	LCLL	0.117
SU_DHL_6	2255	DLBC	0.155
RPMI_8402	829	LCLL	0.162
MHH_NB_11	38432	CENTRAL_NERVOUS_SYSTEM	0.163
AsPC_1	1134	PANCREAS	0.214
BHT_101	1423	THYROID	0.215
MOLT_16	1156	LCLL	0.234
JURL_MK1	3640	LCLL	0.256
KE_37	1453	LCLL	0.276
LAMA_84	994	LCLL	0.302
RCH_ACV	881	LCLL	0.358
RS4_11	2625	LCLL	0.364
CML_T1	1886	LCLL	0.388
ES_2	873	OVARY	0.392
ONS_76	2314	CENTRAL_NERVOUS_SYSTEM	0.392
BV_173	15061	LCLL	0.393
MHH_ES_1	2971	BONE_AND_SOFT_TISSUE	0.453
TT2609_C02	2378	THYROID	0.458
SKM_1	731	LCLL	0.474
SUIT_2	3490	PANCREAS	0.53
SIMA	2852	CENTRAL_NERVOUS_SYSTEM	0.543
SCaBER	1092	URINARY_TRACT	0.556
NCI_H520	2006	LUNG	0.56
CAL_29	1297	URINARY_TRACT	0.57
OVTOKO	959	OVARY	0.57
OS_RC_2	1390	KIDNEY	0.582
EM_2	1246	LCLL	0.61
COLO_800	879	SKIN	0.673
KOPN_8	1544	LCLL	0.675
PC_3	0	PROSTATE	0.69
TYK_nu	1305	OVARY	0.695
SK_LU_1	1873	LUNG	0.707
RPMI_8226	904	MM	0.708
CAL_33	2283	UPPER_AERODIGESTIVE_TRACT	0.709
MEL_JUSO	1072	SKIN	0.732
NCI_H838	5203	LUNG	0.784
SF268	1239	CENTRAL_NERVOUS_SYSTEM	0.809
EBC_1	1266	LUNG	0.824
S_117	832	THYROID	0.869
YH_13	4922	CENTRAL_NERVOUS_SYSTEM	0.886
HH	1110	DLBC	0.914
OE21	1310	OESOPHAGUS	0.92
SU_DHL_10	1487	DLBC	0.938
MIA_PaCa_2	1830	PANCREAS	0.961
huH_1	2674	BILIARY	0.989
MG_63	1766	BONE_AND_SOFT_TISSUE	1.02
NOMO_1	1356	LCLL	1.04
BHY	6406	UPPER_AERODIGESTIVE_TRACT	1.05
TE_8	3840	OESOPHAGUS	1.06
BFTC_905	1377	URINARY_TRACT	1.07
NCI_H209	1778	LUNG	1.07
NCI_H747	1364	LARGE_INTESTINE	1.08
MOLM_16	1628	LCLL	1.08
SJSA_1	1112	BONE_AND_SOFT_TISSUE	1.1
HOS	2032	BONE_AND_SOFT_TISSUE	1.11
B_CPAP	1328	THYROID	1.13
MSTO_211H	837	LUNG	1.13
NCI_H1355	1337	LUNG	1.18
NCI_H1703	944	LUNG	1.18
HT_1080	1025	BONE_AND_SOFT_TISSUE	1.21
KM12	7295	LARGE_INTESTINE	1.22
DBTRG_05MG	982	CENTRAL_NERVOUS_SYSTEM	1.23
RPMI_7951	1662	SKIN	1.24
LXF_289	3464	LUNG	1.24
NUGC_3	1147	STOMACH	1.24
HL_60	3831	LCLL	1.38
H4	1205	CENTRAL_NERVOUS_SYSTEM	1.38
CAL_51	2001	BREAST	1.4
T98G	554	CENTRAL_NERVOUS_SYSTEM	1.4
NCI_H2023	772	LUNG	1.41
VMRC_RCZ	1493	KIDNEY	1.43
CHP_126	2950	CENTRAL_NERVOUS_SYSTEM	1.44
SK_MES_1	995	LUNG	1.57
NU_DUL_1	1282	DLBC	1.58
GA_10	1309	DLBC	1.6
GAMG	928	CENTRAL_NERVOUS_SYSTEM	1.63
JM1	1764	LCLL	1.64
NCI_H2087	903	LUNG	1.65
SK_HEP_1	615	BILIARY	1.68
TOV_21G	1409	OVARY	1.69
RKN	1119	BONE_AND_SOFT_TISSUE	1.74
CAL_54	867	KIDNEY	1.75
G_402	1831	KIDNEY	1.75
LCLC_97TM1	1166	LUNG	1.78
DK_MG	1922	CENTRAL_NERVOUS_SYSTEM	1.81
A101D	829	SKIN	1.85
P12_ICHIKAWA	2434	LCLL	1.89
SK_LMS_1	755	BONE_AND_SOFT_TISSUE	1.91
OCI_AML5	1092	LCLL	1.96
HCC_78	5007	LUNG	1.97
OCI_LY_19	2930	DLBC	1.99
KYSE_520	1157	OESOPHAGUS	2
NALM_6	1744	LCLL	2
KP_2	1391	PANCREAS	2.02
SU_DHL_5	4405	DLBC	2.08
MDA_MB_231	2029	BREAST	2.08
GB_1	1201	CENTRAL_NERVOUS_SYSTEM	2.23
OE33	664	OESOPHAGUS	2.27
NCI_H1792	1020	LUNG	2.3
NCI_H2085	1649	LUNG	2.33
C32	1202	SKIN	2.37
KS_1	700	CENTRAL_NERVOUS_SYSTEM	2.38
SK_N_AS	975	CENTRAL_NERVOUS_SYSTEM	2.39
TOV_112D	1079	OVARY	2.44
SHP_77	2657	LUNG	2.61
CFPAC_1	1512	PANCREAS	2.63
NCI_H661	2000	LUNG	2.65
BL_41	1094	DLBC	2.65
LN_229	758	CENTRAL_NERVOUS_SYSTEM	2.65
RERF_LC_Sq1	1006	LUNG	2.69
KNS_42	1188	CENTRAL_NERVOUS_SYSTEM	2.69
KU_19_19	1875	URINARY_TRACT	2.73
EC_GI_10	4318	OESOPHAGUS	2.75
JHH_4	639	BILIARY	2.83
SNU_387	1024	BILIARY	2.87
KARPAS_299	1434	DLBC	2.88
CCF_STTG1	982	CENTRAL_NERVOUS_SYSTEM	2.88
SK_CO_1	1072	LARGE_INTESTINE	2.93
LN_18	1230	CENTRAL_NERVOUS_SYSTEM	2.94
NCI_H28	1513	LUNG	2.96
MFE_296	897	CERVICAL	2.98
NCI_H1437	3682	LUNG	3.04
CAL_85_1	917	BREAST	3.08
KP_3	1273	PANCREAS	3.1
HT_144	630	SKIN	3.1
ALL_SIL	714	LCLL	3.14
GMS_10	935	CENTRAL_NERVOUS_SYSTEM	3.28
SUP_B15	1488	LCLL	3.34
NCI_H23	2264	LUNG	3.35
L_363	3865	MM	3.37
LoVo	1500	LARGE_INTESTINE	3.38
PF_382	6404	LCLL	3.4
A4_Fuk	1293	DLBC	3.42
BxPC_3	889	PANCREAS	3.47
8305C	299	THYROID	3.49
NCI_H1693	4166	LUNG	3.49
8505C	596	THYROID	3.5
HuH_7	1031	BILIARY	3.52
KMRC_20	1262	KIDNEY	3.55
JVM_3	1222	LCLL	3.57
U_118_MG	1502	CENTRAL_NERVOUS_SYSTEM	3.74
DOHH_2	1217	DLBC	3.74
NCI_H1755	853	LUNG	4.03
KMRC_1	1022	KIDNEY	4.15
TE_15	826	OESOPHAGUS	4.17
HOP_62	780	LUNG	4.17
HCC1806	1902	BREAST	4.2
KU812	1136	LCLL	4.27
OCI_AML2	1729	LCLL	4.31
SNU_81	5721	LARGE_INTESTINE	4.32
SK_OV_3	814	OVARY	4.32
TE_11	615	OESOPHAGUS	4.37
AM_38	1235	CENTRAL_NERVOUS_SYSTEM	4.4
NCI_H1975	874	LUNG	4.41
JVM_2	2169	LCLL	4.47
NCI_H650	2428	LUNG	4.47
SK_ES_1	1705	BONE_AND_SOFT_TISSUE	4.59
Hs_683	659	CENTRAL_NERVOUS_SYSTEM	4.59
KCL_22	1135	LCLL	4.64
SH_4	1508	SKIN	4.64
SNU_C5	5185	LARGE_INTESTINE	4.69
IGR_1	2684	SKIN	4.8
Hs_939_T	671	SKIN	4.82
COLO_783	865	SKIN	4.96
Hs_766T	882	PANCREAS	5
HSC_2	1018	UPPER_AERODIGESTIVE_TRACT	5.07
HuCCT1	3868	BILIARY	5.08
CL_11	1045	LARGE_INTESTINE	5.09
SK_N_FI	2223	CENTRAL_NERVOUS_SYSTEM	5.12
MONO_MAC_6	1201	LCLL	5.28
PE_CA_PJ15	1088	UPPER_AERODIGESTIVE_TRACT	5.35
SNU_449	976	BILIARY	5.46
SCC_15	569	UPPER_AERODIGESTIVE_TRACT	5.56
CAL_120	1098	BREAST	5.66
MDST8	1313	LARGE_INTESTINE	5.66
TE_10	4325	OESOPHAGUS	5.74
CAL_12T	1125	LUNG	6.01
NCI_H1563	895	LUNG	6.03
