drug:tissue_type	spearman p-value	spearman corr val	adjusted spearman p-value	pearson p-value	pearson corr val	adjusted pearson p-value
Rucaparib_BILIARY	0.6175234895401425	0.16083916083916086	0.9558552298161688	0.5294103429164099	0.20178480435026744	0.7941155143746148
Rucaparib_BONE_AND_SOFT_TISSUE	0.8700037043301221	0.03909774436090225	0.9558552298161688	0.8089373731837225	-0.05774035311630843	0.866718614125417
Rucaparib_BREAST	0.20657533061628913	-0.23328964731925958	0.9558552298161688	0.08519519435806915	-0.31418335979575046	0.5158727691194112
Rucaparib_CENTRAL_NERVOUS_SYSTEM	0.6370138449970966	-0.08670944233688421	0.9558552298161688	0.5153137694091201	-0.11934451346638375	0.7941155143746148
Rucaparib_DLBC	0.5078931884210848	-0.12807881773399013	0.9558552298161688	0.2849498144834492	-0.2054674955298586	0.7941155143746148
Rucaparib_LARGE_INTESTINE	0.7284539754064998	-0.07848673066064371	0.9558552298161688	0.8786824109086855	-0.034550053671064555	0.8786824109086855
Rucaparib_LCLL	0.8921315478284242	0.022140913879219615	0.9558552298161688	0.1375660717651763	-0.23894667156546578	0.5158727691194112
Rucaparib_LUNG	0.8115944186842263	0.024261652312644502	0.9558552298161688	0.7638636689296457	0.030573675602270374	0.866718614125417
Rucaparib_MM	0.09717377477992865	-0.5008764248619176	0.9558552298161688	0.019594748281980906	-0.6596756347021013	0.2939212242297136
Rucaparib_OESOPHAGUS	0.800774094340852	-0.06617647058823531	0.9558552298161688	0.4205098701485763	-0.2091258682633678	0.7941155143746148
Rucaparib_OVARY	1.0	0.0	1.0	0.6465754943261992	0.13452881283186321	0.866718614125417
Rucaparib_PANCREAS	0.5739131682855215	-0.19090909090909092	0.9558552298161688	0.3538867182149513	-0.30978839143293985	0.7941155143746148
Rucaparib_SKIN	0.6202391147661477	-0.10654490358414569	0.9558552298161688	0.4459582518776065	-0.1632438880161046	0.7941155143746148
Rucaparib_STOMACH	0.7763340602409095	0.10334394242561099	0.9558552298161688	0.7463569266504011	0.11756251464536173	0.866718614125417
Rucaparib_URINARY_TRACT	0.2798818688931399	-0.32417582417582413	0.9558552298161688	0.12079521367792953	-0.45220544409441205	0.5158727691194112
