ccle	outlier	tissue	ic50
MHH_ES_1	2971	BONE_AND_SOFT_TISSUE	0.536
COLO_800	879	SKIN	0.689
NCI_H209	1778	LUNG	1.3
697	663	LCLL	1.57
NCI_H1651	1194	LUNG	2.18
SUP_B15	1488	LCLL	2.23
KELLY	3202	CENTRAL_NERVOUS_SYSTEM	2.27
CAL_51	2001	BREAST	2.72
KYM_1	1284	BONE_AND_SOFT_TISSUE	2.74
U_118_MG	1502	CENTRAL_NERVOUS_SYSTEM	3.02
NCI_H1048	1439	LUNG	3.03
SK_ES_1	1705	BONE_AND_SOFT_TISSUE	3.2
BV_173	15061	LCLL	3.36
H4	1205	CENTRAL_NERVOUS_SYSTEM	3.81
OVCAR_8	798	OVARY	4.04
MOLT_16	1156	LCLL	4.58
HT_1080	1025	BONE_AND_SOFT_TISSUE	4.63
HuTu_80	1204	STOMACH	4.67
BHT_101	1423	THYROID	5.18
GCT	1148	BONE_AND_SOFT_TISSUE	5.34
ONS_76	2314	CENTRAL_NERVOUS_SYSTEM	5.79
NCI_H1395	1857	LUNG	6.12
KU_19_19	1875	URINARY_TRACT	6.35
LK_2	1133	LUNG	6.49
G_402	1831	KIDNEY	6.62
NCI_H2030	1804	LUNG	6.74
LCLC_103H	891	LUNG	7.28
SK_UT_1	2106	BONE_AND_SOFT_TISSUE	7.45
GAMG	928	CENTRAL_NERVOUS_SYSTEM	7.67
TE_8	3840	OESOPHAGUS	8.08
A2058	721	SKIN	8.29
TC_71	1189	BONE_AND_SOFT_TISSUE	8.38
NCI_H661	2000	LUNG	8.56
SF539	714	CENTRAL_NERVOUS_SYSTEM	8.56
NCI_H292	2046	LUNG	8.6
RCH_ACV	881	LCLL	8.66
HOS	2032	BONE_AND_SOFT_TISSUE	8.87
NCI_H1876	5253	LUNG	8.89
UACC_257	1719	SKIN	9.23
SU_DHL_5	4405	DLBC	9.5
MG_63	1766	BONE_AND_SOFT_TISSUE	9.51
NUGC_3	1147	STOMACH	9.56
KYSE_270	1354	OESOPHAGUS	9.59
A172	764	CENTRAL_NERVOUS_SYSTEM	9.61
8305C	299	THYROID	9.68
U_2_OS	1627	BONE_AND_SOFT_TISSUE	10
TE_1	996	OESOPHAGUS	10.1
MDA_MB_231	2029	BREAST	10.2
NCI_H1915	10508	LUNG	10.2
CAL_54	867	KIDNEY	10.2
42_MG_BA	1205	CENTRAL_NERVOUS_SYSTEM	10.4
SCC_15	569	UPPER_AERODIGESTIVE_TRACT	10.5
TE_10	4325	OESOPHAGUS	10.5
NCI_H1155	1694	LUNG	10.6
OCI_LY_19	2930	DLBC	10.7
SF268	1239	CENTRAL_NERVOUS_SYSTEM	10.7
AU565	1063	BREAST	10.9
NCI_H647	670	LUNG	11
NCI_H2405	1041	LUNG	11.1
HCC1187	1592	BREAST	11.3
SKM_1	731	LCLL	11.7
NCI_H1792	1020	LUNG	11.9
SU_DHL_10	1487	DLBC	11.9
BFTC_905	1377	URINARY_TRACT	12.1
ECC10	2758	STOMACH	12.3
TE_9	962	OESOPHAGUS	12.3
MC116	1002	DLBC	12.5
HSC_4	2212	UPPER_AERODIGESTIVE_TRACT	12.5
PC_14	1015	LUNG	12.5
UACC_62	3210	SKIN	12.5
KMRC_1	1022	KIDNEY	12.6
LN_229	758	CENTRAL_NERVOUS_SYSTEM	12.6
SBC_5	1111	LUNG	12.7
LCLC_97TM1	1166	LUNG	12.7
HT_1197	1014	URINARY_TRACT	12.9
TT2609_C02	2378	THYROID	13
NCI_H1755	853	LUNG	13.2
8505C	596	THYROID	13.4
GMS_10	935	CENTRAL_NERVOUS_SYSTEM	13.6
MFE_319	1767	CERVICAL	13.6
B_CPAP	1328	THYROID	13.7
NCI_H524	3023	LUNG	13.8
RS4_11	2625	LCLL	14
TE_11	615	OESOPHAGUS	14
DK_MG	1922	CENTRAL_NERVOUS_SYSTEM	14
OCI_AML3	1069	LCLL	14.1
SNU_5	822	STOMACH	14.2
SCC_4	1603	UPPER_AERODIGESTIVE_TRACT	14.3
VMRC_RCZ	1493	KIDNEY	14.3
SK_MES_1	995	LUNG	14.4
NCI_H23	2264	LUNG	14.6
BEN	2683	LUNG	14.7
COR_L105	1361	LUNG	14.8
J82	976	URINARY_TRACT	14.8
LXF_289	3464	LUNG	15
KS_1	700	CENTRAL_NERVOUS_SYSTEM	15.1
JVM_3	1222	LCLL	15.4
NCI_H28	1513	LUNG	15.4
CHP_126	2950	CENTRAL_NERVOUS_SYSTEM	15.6
L_363	3865	MM	15.9
BT_474	945	BREAST	16.1
NCI_H1693	4166	LUNG	16.1
P31_FUJ	1081	LCLL	16.2
GDM_1	2907	LCLL	16.2
HCC1569	2098	BREAST	16.2
NCI_H1648	1958	LUNG	16.3
KE_37	1453	LCLL	16.4
NCI_H2227	3241	LUNG	16.5
MEL_JUSO	1072	SKIN	16.6
Calu_3	1066	LUNG	16.8
HCC1806	1902	BREAST	16.9
TOV_21G	1409	OVARY	16.9
SU_DHL_4	1771	DLBC	17.5
FTC_133	695	THYROID	17.5
GB_1	1201	CENTRAL_NERVOUS_SYSTEM	17.5
CAL_29	1297	URINARY_TRACT	17.6
CAL_33	2283	UPPER_AERODIGESTIVE_TRACT	17.7
JHH_4	639	BILIARY	17.7
BFTC_909	4704	KIDNEY	17.7
MHH_CALL_2	1094	LCLL	17.9
GI_1	866	CENTRAL_NERVOUS_SYSTEM	18
MOLT_13	3118	LCLL	18.1
NCI_H526	1480	LUNG	18.1
T24	700	URINARY_TRACT	18.1
MOLM_16	1628	LCLL	18.3
T98G	554	CENTRAL_NERVOUS_SYSTEM	18.6
647_V	804	URINARY_TRACT	19
SK_MEL_1	2259	SKIN	19.3
NU_DUL_1	1282	DLBC	19.4
KASUMI_1	1921	LCLL	19.4
NCI_H1437	3682	LUNG	19.5
NCI_H146	2113	LUNG	19.5
MDA_MB_157	2006	BREAST	19.6
NCI_H1299	1098	LUNG	19.8
ACHN	507	KIDNEY	19.8
OCI_AML2	1729	LCLL	20.1
RD	1357	BONE_AND_SOFT_TISSUE	20.2
SU_DHL_6	2255	DLBC	20.5
IGR_1	2684	SKIN	20.5
LP_1	1486	MM	20.6
JHH_7	1372	BILIARY	20.8
RH_18	1701	BONE_AND_SOFT_TISSUE	21.2
TOV_112D	1079	OVARY	21.2
TYK_nu	1305	OVARY	21.2
CFPAC_1	1512	PANCREAS	21.7
UM_UC_3	1396	URINARY_TRACT	22.2
NCI_H520	2006	LUNG	22.2
KM_H2	1605	DLBC	22.9
CML_T1	1886	LCLL	22.9
KURAMOCHI	1804	OVARY	23
HPAC	8112	PANCREAS	23.1
RERF_LC_MS	871	LUNG	23.2
NCI_H508	2628	LARGE_INTESTINE	23.5
BxPC_3	889	PANCREAS	23.6
CMK	1212	LCLL	23.7
HT_144	630	SKIN	24.1
BL_41	1094	DLBC	24.1
WM_115	1606	SKIN	24.2
NALM_6	1744	LCLL	24.3
HCC_56	1097	LARGE_INTESTINE	24.5
NCI_H810	2808	LUNG	24.5
KYSE_450	912	OESOPHAGUS	25.1
NCI_H196	1458	LUNG	25.1
SK_LU_1	1873	LUNG	25.6
AM_38	1235	CENTRAL_NERVOUS_SYSTEM	25.7
ST486	5790	DLBC	25.7
HPAF_II	862	PANCREAS	25.8
