ccle	outlier	tissue	ic50
Hs_940_T	971	SKIN	0.024
ML_1	767	THYROID	0.0255
KG_1_C	2229	CENTRAL_NERVOUS_SYSTEM	0.0312
NCI_H1755	853	LUNG	0.0552
KASUMI_1	1921	LCLL	0.0575
KMRC_20	1262	KIDNEY	0.0743
MES_SA	1704	BONE_AND_SOFT_TISSUE	0.093
TCCSUP	1235	URINARY_TRACT	0.0939
CAL_51	2001	BREAST	0.0994
MONO_MAC_6	1201	LCLL	0.102
SNU_398	1911	BILIARY	0.109
KM12	7295	LARGE_INTESTINE	0.113
NALM_6	1744	LCLL	0.114
TT2609_C02	2378	THYROID	0.119
HuTu_80	1204	STOMACH	0.123
MOLP_8	534	MM	0.126
TOV_112D	1079	OVARY	0.126
SNU_387	1024	BILIARY	0.127
SNU_449	976	BILIARY	0.135
KS_1	700	CENTRAL_NERVOUS_SYSTEM	0.138
JHH_4	639	BILIARY	0.145
EFM_19	1148	BREAST	0.147
769_P	558	KIDNEY	0.149
EFO_21	3455	OVARY	0.149
NCI_H2030	1804	LUNG	0.152
H4	1205	CENTRAL_NERVOUS_SYSTEM	0.158
42_MG_BA	1205	CENTRAL_NERVOUS_SYSTEM	0.159
GDM_1	2907	LCLL	0.16
697	663	LCLL	0.162
HOP_62	780	LUNG	0.167
Hs_683	659	CENTRAL_NERVOUS_SYSTEM	0.177
KYSE_270	1354	OESOPHAGUS	0.178
HT_1080	1025	BONE_AND_SOFT_TISSUE	0.181
OVTOKO	959	OVARY	0.182
LXF_289	3464	LUNG	0.186
CAS_1	1586	CENTRAL_NERVOUS_SYSTEM	0.191
MG_63	1766	BONE_AND_SOFT_TISSUE	0.191
SIG_M5	1411	LCLL	0.192
SU_DHL_10	1487	DLBC	0.201
NCI_H1975	874	LUNG	0.201
NCI_H1299	1098	LUNG	0.203
NCI_H2286	1162	LUNG	0.204
HuCCT1	3868	BILIARY	0.208
T98G	554	CENTRAL_NERVOUS_SYSTEM	0.21
G_402	1831	KIDNEY	0.212
LCLC_103H	891	LUNG	0.212
SF126	698	CENTRAL_NERVOUS_SYSTEM	0.223
SNU_423	867	BILIARY	0.224
ALL_SIL	714	LCLL	0.228
HSC_2	1018	UPPER_AERODIGESTIVE_TRACT	0.234
OCI_LY_19	2930	DLBC	0.234
KE_37	1453	LCLL	0.237
MHH_ES_1	2971	BONE_AND_SOFT_TISSUE	0.237
LN_18	1230	CENTRAL_NERVOUS_SYSTEM	0.24
TE_11	615	OESOPHAGUS	0.243
CAL_120	1098	BREAST	0.244
CAL_54	867	KIDNEY	0.245
NCI_H647	670	LUNG	0.248
MDA_MB_231	2029	BREAST	0.249
LK_2	1133	LUNG	0.26
MDA_MB_157	2006	BREAST	0.262
B_CPAP	1328	THYROID	0.262
CCF_STTG1	982	CENTRAL_NERVOUS_SYSTEM	0.266
HCC1395	2290	BREAST	0.269
COLO_792	1455	SKIN	0.271
SU_DHL_5	4405	DLBC	0.277
NCI_H358	3052	LUNG	0.277
NCI_H810	2808	LUNG	0.282
RS4_11	2625	LCLL	0.288
AN3_CA	2364	CERVICAL	0.288
8505C	596	THYROID	0.288
MDA_MB_468	1145	BREAST	0.289
GI_1	866	CENTRAL_NERVOUS_SYSTEM	0.289
EFM_192A	909	BREAST	0.295
BFTC_905	1377	URINARY_TRACT	0.298
A172	764	CENTRAL_NERVOUS_SYSTEM	0.3
ONS_76	2314	CENTRAL_NERVOUS_SYSTEM	0.303
Calu_3	1066	LUNG	0.303
GA_10	1309	DLBC	0.305
SK_UT_1	2106	BONE_AND_SOFT_TISSUE	0.309
RT_112	799	URINARY_TRACT	0.31
SF268	1239	CENTRAL_NERVOUS_SYSTEM	0.313
SU_DHL_6	2255	DLBC	0.314
SCC_4	1603	UPPER_AERODIGESTIVE_TRACT	0.325
SK_MES_1	995	LUNG	0.325
CAL_12T	1125	LUNG	0.326
BFTC_909	4704	KIDNEY	0.328
NCI_H1792	1020	LUNG	0.333
NCI_H28	1513	LUNG	0.334
Toledo	3385	DLBC	0.334
OCI_AML2	1729	LCLL	0.338
KG_1	804	LCLL	0.339
COR_L105	1361	LUNG	0.341
OE21	1310	OESOPHAGUS	0.345
MEL_JUSO	1072	SKIN	0.346
KYSE_450	912	OESOPHAGUS	0.347
JHH_7	1372	BILIARY	0.354
ST486	5790	DLBC	0.356
SBC_5	1111	LUNG	0.363
KARPAS_620	2147	MM	0.363
NCI_H2085	1649	LUNG	0.368
PC_14	1015	LUNG	0.371
L_540	1641	DLBC	0.378
NCI_H1563	895	LUNG	0.378
NCI_H2170	1601	LUNG	0.379
LCLC_97TM1	1166	LUNG	0.381
SK_LMS_1	755	BONE_AND_SOFT_TISSUE	0.385
A3_KAW	1977	DLBC	0.386
CMK	1212	LCLL	0.388
P12_ICHIKAWA	2434	LCLL	0.39
SK_CO_1	1072	LARGE_INTESTINE	0.391
IGR_1	2684	SKIN	0.395
OCI_AML5	1092	LCLL	0.399
HOS	2032	BONE_AND_SOFT_TISSUE	0.405
BL_41	1094	DLBC	0.405
NCI_H2052	1463	LUNG	0.409
OS_RC_2	1390	KIDNEY	0.425
A2058	721	SKIN	0.425
SK_MEL_30	971	SKIN	0.427
JM1	1764	LCLL	0.429
ACHN	507	KIDNEY	0.429
LOU_NH91	858	LUNG	0.432
A4_Fuk	1293	DLBC	0.434
DEL	2137	DLBC	0.435
