ccle	outlier	tissue	ic50
COLO_800	879	SKIN	0.0106
MHH_ES_1	2971	BONE_AND_SOFT_TISSUE	0.0204
MSTO_211H	837	LUNG	0.0408
A2058	721	SKIN	0.0535
697	663	LCLL	0.0551
BV_173	15061	LCLL	0.0659
NCI_H1876	5253	LUNG	0.0662
TC_71	1189	BONE_AND_SOFT_TISSUE	0.0668
CML_T1	1886	LCLL	0.0818
SK_CO_1	1072	LARGE_INTESTINE	0.0823
NCI_H209	1778	LUNG	0.092
SK_ES_1	1705	BONE_AND_SOFT_TISSUE	0.103
CAL_51	2001	BREAST	0.104
NCI_H1781	1021	LUNG	0.114
MOLT_16	1156	LCLL	0.156
GI_1	866	CENTRAL_NERVOUS_SYSTEM	0.172
NCI_H1651	1194	LUNG	0.187
HuTu_80	1204	STOMACH	0.19
NCI_H1048	1439	LUNG	0.214
TOV_21G	1409	OVARY	0.238
NCI_H292	2046	LUNG	0.271
H4	1205	CENTRAL_NERVOUS_SYSTEM	0.282
HT_1080	1025	BONE_AND_SOFT_TISSUE	0.34
KELLY	3202	CENTRAL_NERVOUS_SYSTEM	0.369
NCI_H1623	2306	LUNG	0.405
NUGC_3	1147	STOMACH	0.431
RCH_ACV	881	LCLL	0.436
SNG_M	1737	CERVICAL	0.449
L_540	1641	DLBC	0.486
647_V	804	URINARY_TRACT	0.489
OCI_AML2	1729	LCLL	0.495
OVCAR_8	798	OVARY	0.512
TYK_nu	1305	OVARY	0.514
T24	700	URINARY_TRACT	0.515
KOPN_8	1544	LCLL	0.515
HSC_4	2212	UPPER_AERODIGESTIVE_TRACT	0.533
NCI_H2023	772	LUNG	0.556
BL_41	1094	DLBC	0.579
DEL	2137	DLBC	0.61
CHP_126	2950	CENTRAL_NERVOUS_SYSTEM	0.631
GB_1	1201	CENTRAL_NERVOUS_SYSTEM	0.652
SU_DHL_5	4405	DLBC	0.713
SIMA	2852	CENTRAL_NERVOUS_SYSTEM	0.744
HOP_62	780	LUNG	0.816
HEL	1063	LCLL	0.826
NCI_H1792	1020	LUNG	0.892
NCI_H1694	2639	LUNG	0.897
LK_2	1133	LUNG	0.9
JM1	1764	LCLL	0.908
CAL_33	2283	UPPER_AERODIGESTIVE_TRACT	0.911
HCC_78	5007	LUNG	0.936
KU_19_19	1875	URINARY_TRACT	0.958
RPMI_8402	829	LCLL	1.02
HSC_2	1018	UPPER_AERODIGESTIVE_TRACT	1.04
MIA_PaCa_2	1830	PANCREAS	1.08
Raji	899	DLBC	1.19
CADO_ES1	2276	BONE_AND_SOFT_TISSUE	1.19
NAMALWA	1025	DLBC	1.21
HOS	2032	BONE_AND_SOFT_TISSUE	1.29
JVM_2	2169	LCLL	1.34
NCI_H1395	1857	LUNG	1.37
KYM_1	1284	BONE_AND_SOFT_TISSUE	1.41
769_P	558	KIDNEY	1.42
639_V	1004	URINARY_TRACT	1.42
RKN	1119	BONE_AND_SOFT_TISSUE	1.52
MFE_296	897	CERVICAL	1.53
Daudi	1459	DLBC	1.54
RS4_11	2625	LCLL	1.54
JVM_3	1222	LCLL	1.56
SK_UT_1	2106	BONE_AND_SOFT_TISSUE	1.59
CMK	1212	LCLL	1.7
SBC_5	1111	LUNG	1.71
GCT	1148	BONE_AND_SOFT_TISSUE	1.71
SF268	1239	CENTRAL_NERVOUS_SYSTEM	1.72
NCI_H23	2264	LUNG	1.76
ES_2	873	OVARY	1.78
MOLP_8	534	MM	1.8
SK_LU_1	1873	LUNG	1.89
G_402	1831	KIDNEY	2.01
TOV_112D	1079	OVARY	2.01
JURL_MK1	3640	LCLL	2.02
BFTC_909	4704	KIDNEY	2.07
KYSE_270	1354	OESOPHAGUS	2.16
A3_KAW	1977	DLBC	2.22
TE_8	3840	OESOPHAGUS	2.23
