drug:tissue_type	spearman p-value	spearman corr val	adjusted spearman p-value	pearson p-value	pearson corr val	adjusted pearson p-value
Talozapraib_BILIARY	0.6540679569539336	-0.13755171197018237	0.9070828390046616	0.5988325739215424	-0.16118989155399166	0.8445625603859771
Talozapraib_BONE_AND_SOFT_TISSUE	0.8473003277281558	-0.04736842105263158	0.9070828390046616	0.6639472609734223	-0.10662809554185165	0.8445625603859771
Talozapraib_BREAST	0.8472738624586063	0.03671153654934094	0.9070828390046616	0.9528106068047378	0.011283444051265957	0.9528106068047378
Talozapraib_CENTRAL_NERVOUS_SYSTEM	0.3584224512285977	0.16513455019226367	0.846300244868237	0.4144819998664323	0.1469452977031481	0.8445625603859771
Talozapraib_DLBC	0.2056944800012495	0.23781979977753054	0.846300244868237	0.4268339685663626	0.15064774573965248	0.8445625603859771
Talozapraib_LARGE_INTESTINE	0.19441438634024152	0.274407486373861	0.846300244868237	0.7292211554646955	0.07454082542999471	0.8445625603859771
Talozapraib_LCLL	0.8285880331077924	-0.03443805202171624	0.9070828390046616	0.19099227862849263	-0.2058177654686334	0.8445625603859771
Talozapraib_LUNG	0.39494011427184395	0.08780580443639587	0.846300244868237	0.7882583896935786	-0.02776958610870351	0.8445625603859771
Talozapraib_MM	0.5926152128455	0.18181818181818182	0.9070828390046616	0.7640845262325557	0.10257850615243082	0.8445625603859771
Talozapraib_OESOPHAGUS	0.2893498290632739	-0.2823529411764706	0.846300244868237	0.15514437346607865	-0.3726728585123392	0.8445625603859771
Talozapraib_OVARY	0.35486036365060913	0.2571428571428571	0.846300244868237	0.3757398122094198	0.2465339652725352	0.8445625603859771
Talozapraib_PANCREAS	0.09840117666963498	-0.5515151515151515	0.846300244868237	0.08885805451774495	-0.5648864799834143	0.8445625603859771
Talozapraib_SKIN	0.8781322008565718	-0.03231390711823506	0.9070828390046616	0.4572321705940541	0.15574509222373312	0.8445625603859771
Talozapraib_STOMACH	0.9070828390046616	-0.04255338805760452	0.9070828390046616	0.3913979323367619	0.30505652559598845	0.8445625603859771
Talozapraib_URINARY_TRACT	0.7343037452877026	-0.1043956043956044	0.9070828390046616	0.5827018819844866	-0.16824718097735747	0.8445625603859771
