ccle	outlier	tissue	ic50
697	663	LCLL	0.0162
ALL_SIL	714	LCLL	0.0185
GA_10	1309	DLBC	0.0234
HuTu_80	1204	STOMACH	0.0262
RS4_11	2625	LCLL	0.037
OCI_LY_19	2930	DLBC	0.0414
KE_37	1453	LCLL	0.0485
KOPN_8	1544	LCLL	0.056
GDM_1	2907	LCLL	0.0605
NALM_6	1744	LCLL	0.062
SU_DHL_8	1571	DLBC	0.0729
SK_UT_1	2106	BONE_AND_SOFT_TISSUE	0.0832
BV_173	15061	LCLL	0.0869
MONO_MAC_6	1201	LCLL	0.088
SK_ES_1	1705	BONE_AND_SOFT_TISSUE	0.0931
SUP_B15	1488	LCLL	0.111
TE_11	615	OESOPHAGUS	0.112
BL_41	1094	DLBC	0.118
SIG_M5	1411	LCLL	0.13
KS_1	700	CENTRAL_NERVOUS_SYSTEM	0.135
RL95_2	901	CERVICAL	0.144
A4_Fuk	1293	DLBC	0.144
NCI_H524	3023	LUNG	0.178
LXF_289	3464	LUNG	0.182
NAMALWA	1025	DLBC	0.205
BL_70	1142	DLBC	0.215
ST486	5790	DLBC	0.221
KM12	7295	LARGE_INTESTINE	0.225
NCI_H211	1679	LUNG	0.234
DOHH_2	1217	DLBC	0.243
HL_60	3831	LCLL	0.261
KCL_22	1135	LCLL	0.269
EM_2	1246	LCLL	0.305
ONS_76	2314	CENTRAL_NERVOUS_SYSTEM	0.33
OCI_AML2	1729	LCLL	0.33
LAMA_84	994	LCLL	0.368
HT_144	630	SKIN	0.42
HCC1599	6658	BREAST	0.46
K_562	1415	LCLL	0.472
HOP_62	780	LUNG	0.56
JM1	1764	LCLL	0.633
TE_8	3840	OESOPHAGUS	0.64
TE_15	826	OESOPHAGUS	0.666
KARPAS_620	2147	MM	0.685
NCI_H1963	2030	LUNG	0.702
KURAMOCHI	1804	OVARY	0.812
NCI_H1876	5253	LUNG	0.833
SF126	698	CENTRAL_NERVOUS_SYSTEM	0.834
SK_LMS_1	755	BONE_AND_SOFT_TISSUE	0.89
HCC1187	1592	BREAST	0.908
NU_DUL_1	1282	DLBC	0.926
SU_DHL_6	2255	DLBC	0.936
CMK	1212	LCLL	0.945
OVCAR_4	736	OVARY	0.961
A101D	829	SKIN	0.964
SH_4	1508	SKIN	0.968
SCLC_21H	14354	LUNG	1
TE_10	4325	OESOPHAGUS	1.01
SK_N_DZ	1709	CENTRAL_NERVOUS_SYSTEM	1.04
NCI_H1648	1958	LUNG	1.06
