drug:tissue_type	spearman p-value	spearman corr val	adjusted spearman p-value	pearson p-value	pearson corr val	adjusted pearson p-value
Veliparib_BILIARY	0.5868236643627043	0.17482517482517487	0.7824315524836057	0.8013522798920992	-0.08143615515480883	0.9605872589502747
Veliparib_BONE_AND_SOFT_TISSUE	0.947890881823222	0.01715686274509804	0.947890881823222	0.953391823192905	0.015343726015954597	0.9605872589502747
Veliparib_BREAST	0.8312101096749172	-0.04138440726057578	0.9067746650999097	0.9605872589502747	0.009598463515239757	0.9605872589502747
Veliparib_CENTRAL_NERVOUS_SYSTEM	0.37715465595868336	0.16151801332871674	0.6301570303614525	0.14382788890730733	-0.2642865401508067	0.5753115556292293
Veliparib_DLBC	0.7502983541903334	0.06295333301050245	0.9003580250284	0.8673450320747428	0.03306497575897103	0.9605872589502747
Veliparib_LARGE_INTESTINE	0.18782145580900952	-0.31578947368421056	0.6075101260228691	0.24829742647339975	-0.2784842173521858	0.6051951635074637
Veliparib_LCLL	0.3003924631488892	-0.1701503114684772	0.6075101260228691	0.1057571924775785	-0.2629910146887018	0.5753115556292293
Veliparib_LUNG	0.24951495985844996	0.12626970834020548	0.6075101260228691	0.6262134217926276	0.053584856180478826	0.9393201326889414
Veliparib_MM	0.23952786899587408	-0.3677763958776318	0.6075101260228691	0.45323533611859146	-0.2395941943221119	0.7769748619175854
Veliparib_OESOPHAGUS	0.420104686907635	0.22499999999999998	0.6301570303614525	0.25216465146144323	0.31540275653179634	0.6051951635074637
Veliparib_OVARY	0.24829056581701822	0.3178571428571428	0.6075101260228691	0.06966170294826589	0.48076441528628366	0.5753115556292293
Veliparib_SKIN	0.30375506301143457	0.2421052631578947	0.6075101260228691	0.3864844277512015	0.20476679488756888	0.772968855502403
