drug:tissue_type	spearman corr val	spearman p-val	adjusted spearman p-val	pearson corr val	pearson p-val	adjusted pearson p-val	
(5Z)-7-Oxozeaenol_BILIARY	0.076923077	0.802763008	0.802763008	-0.051658228	0.866898787	0.89715699	
(5Z)-7-Oxozeaenol_BONE_AND_SOFT_TISSUE	0.506766917	0.022588172	0.208176717	0.496306731	0.026028472	0.121466203	
(5Z)-7-Oxozeaenol_BREAST	0.065934066	0.724535854	0.780269381	0.070049095	0.708069598	0.826081197	
(5Z)-7-Oxozeaenol_CENTRAL_NERVOUS_SYSTEM	-0.272157705	0.119437647	0.334425413	-0.394432403	0.020978683	0.121466203	
(5Z)-7-Oxozeaenol_DLBC	0.091434928	0.630844693	0.735985475	-0.024641905	0.89715699	0.89715699	
(5Z)-7-Oxozeaenol_LARGE_INTESTINE	0.140869565	0.511462282	0.735985475	0.122715645	0.567827204	0.722689169	
(5Z)-7-Oxozeaenol_LCLL	0.188720525	0.231333665	0.519747239	0.20683647	0.188757004	0.44043301	
(5Z)-7-Oxozeaenol_LUNG	0.212082959	0.036038906	0.208176717	0.180458641	0.075378041	0.211058515	
(5Z)-7-Oxozeaenol_MM	-0.190909091	0.573913168	0.735985475	-0.29169571	0.384114211	0.597510996	
(5Z)-7-Oxozeaenol_OESOPHAGUS	-0.405882353	0.118791685	0.334425413	-0.274259666	0.303981848	0.597510996	
(5Z)-7-Oxozeaenol_OVARY	0.323076923	0.25987362	0.519747239	0.496660826	0.070824034	0.211058515	
(5Z)-7-Oxozeaenol_PANCREAS	0.172727273	0.611542385	0.735985475	0.259683702	0.440620431	0.616868603	
(5Z)-7-Oxozeaenol_SKIN	-0.181869536	0.417917847	0.731356231	-0.206230611	0.357156782	0.597510996	
(5Z)-7-Oxozeaenol_URINARY_TRACT	-0.587412587	0.044609296	0.208176717	-0.803256071	0.001651097	0.023115359	
5-Fluorouracil_BILIARY	0.096428571	0.732452863	0.860318632	-0.10098766	0.720261417	0.969663704	
5-Fluorouracil_BONE_AND_SOFT_TISSUE	-0.177443609	0.454203484	0.860318632	-0.197501098	0.403916201	0.863310824	
5-Fluorouracil_BREAST	0.380472153	0.02643471	0.396520648	0.224665743	0.201454298	0.863310824	
5-Fluorouracil_CENTRAL_NERVOUS_SYSTEM	-0.118934227	0.489641359	0.860318632	-0.33204252	0.047874606	0.718119093	
5-Fluorouracil_DLBC	0.014919355	0.936509161	0.936509161	-0.137594774	0.460432439	0.863310824	
5-Fluorouracil_KIDNEY	-0.118181818	0.72928478	0.860318632	0.066840318	0.845190145	0.969663704	
5-Fluorouracil_LARGE_INTESTINE	0.044155844	0.84927058	0.909932765	0.012841279	0.955943448	0.969663704	
5-Fluorouracil_LCLL	-0.070357807	0.674670118	0.860318632	-0.087243435	0.602482323	0.969663704	
5-Fluorouracil_LUNG	-0.066104769	0.504950344	0.860318632	-0.099207334	0.316359645	0.863310824	
5-Fluorouracil_MM	0.327272727	0.325894941	0.860318632	0.024573309	0.942828477	0.969663704	
5-Fluorouracil_OESOPHAGUS	-0.137254902	0.599369052	0.860318632	-0.214660576	0.408031293	0.863310824	
5-Fluorouracil_OVARY	0.503571429	0.055654517	0.417408879	0.260090325	0.349176205	0.863310824	
5-Fluorouracil_PANCREAS	-0.370629371	0.235621004	0.860318632	-0.430134226	0.162805043	0.863310824	
5-Fluorouracil_SKIN	-0.124042504	0.572823894	0.860318632	-0.008398042	0.969663704	0.969663704	
5-Fluorouracil_URINARY_TRACT	0.104895105	0.745609481	0.860318632	0.109217771	0.735451092	0.969663704	
A-443654_CENTRAL_NERVOUS_SYSTEM	0.342857143	0.12813141	0.320328525	0.035433579	0.87880721	0.997171348	
A-443654_DLBC	0.314516129	0.079570036	0.320328525	0.239252918	0.187228829	0.936144146	
A-443654_LCLL	-0.102089944	0.541928756	0.677410945	-0.071295542	0.670577268	0.997171348	
A-443654_LUNG	0.134453782	0.441265757	0.677410945	-0.000621832	0.997171348	0.997171348	
A-443654_MM	-0.127272727	0.709214626	0.709214626	-0.132351024	0.698074129	0.997171348	
A-770041_CENTRAL_NERVOUS_SYSTEM	0.533766234	0.012697637	0.031744093	0.221174663	0.335301177	0.419126471	
A-770041_DLBC	0.450146628	0.00973344	0.031744093	0.323910899	0.070524595	0.303990148	
