ccle	outlier	tissue	ic50
LAMA_84	1188	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.155
ALL_SIL	771	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.188
EM_2	1392	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.292
NCI_H1648	1958	LUNG	0.312
TE_15	826	OESOPHAGUS	0.345
GDM_1	3642	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.378
KCL_22	1110	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.492
GA_10	1826	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.511
BV_173	16007	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.57
SUP_B15	1658	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.731
TE_8	3840	OESOPHAGUS	0.967
NCI_H1436	2328	LUNG	0.988
ST486	6104	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1.02
SU_DHL_6	2510	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1.02
KS_1	700	CENTRAL_NERVOUS_SYSTEM	1.27
TE_11	615	OESOPHAGUS	1.31
KALS_1	2047	CENTRAL_NERVOUS_SYSTEM	1.37
TE_10	4325	OESOPHAGUS	1.42
TE_1	996	OESOPHAGUS	1.42
K_562	1379	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1.48
GI_1	866	CENTRAL_NERVOUS_SYSTEM	1.48
SU_DHL_4	2126	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1.54
BL_70	1633	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1.59
DOHH_2	1409	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1.71
RL95_2	901	CERVICAL	1.75
SK_N_DZ	1709	CENTRAL_NERVOUS_SYSTEM	1.81
HOP_62	780	LUNG	1.87
OS_RC_2	1390	KIDNEY	1.94
GB_1	1201	CENTRAL_NERVOUS_SYSTEM	1.96
LXF_289	3464	LUNG	2.12
NCI_H747	1364	LARGE_INTESTINE	2.22
NCI_H1975	874	LUNG	2.39
SF126	698	CENTRAL_NERVOUS_SYSTEM	2.39
NU_DUL_1	1426	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	2.63
P3HR_1	1568	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	2.67
HuTu_80	1204	STOMACH	2.74
SNB75	574	CENTRAL_NERVOUS_SYSTEM	2.75
MSTO_211H	837	LUNG	2.94
PF_382	7791	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	2.96
NAMALWA	1188	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	3.11
NCI_H1869	2447	LUNG	3.17
SH_4	1508	SKIN	3.2
JURL_MK1	4191	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	3.26
KNS_42	1188	CENTRAL_NERVOUS_SYSTEM	3.45
KURAMOCHI	1804	OVARY	3.47
UACC_812	9782	BREAST	3.47
KU812	1189	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	3.55
KM12	7295	LARGE_INTESTINE	3.64
SKM_1	805	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	3.76
697	730	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	3.8
MC116	1302	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	4.02
NCI_H524	3023	LUNG	4.28
KELLY	3202	CENTRAL_NERVOUS_SYSTEM	4.83
TE_6	2551	OESOPHAGUS	5.19
SU_DHL_1	6979	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	5.33
RPMI_8402	966	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	5.34
KLE	1367	CERVICAL	5.47
SF268	1239	CENTRAL_NERVOUS_SYSTEM	5.61
KOPN_8	1368	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	5.94
Daudi	1832	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	6.03
BL_41	1617	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	6.28
HCC1599	6658	BREAST	6.41
MPP_89	2517	LUNG	6.68
DEL	2253	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	6.81
COLO_800	879	SKIN	6.91
SK_UT_1	2106	BONE_AND_SOFT_TISSUE	6.97
SHP_77	2657	LUNG	7.16
NCI_H1694	2639	LUNG	7.69
NCI_H1299	1098	LUNG	7.75
NCI_H1355	1337	LUNG	7.87
TC_71	1189	BONE_AND_SOFT_TISSUE	7.88
NCI_H1395	1857	LUNG	7.89
SIG_M5	1359	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.9
JVM_2	2315	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	8.05
