ccle	outlier	tissue	ic50
NCI_H209	1778	LUNG	0.121
NCI_H1876	5253	LUNG	0.997
TOV_21G	1409	OVARY	1
MIA_PaCa_2	1830	PANCREAS	1.49
SF268	1239	CENTRAL_NERVOUS_SYSTEM	1.76
HSC_4	2212	UPPER_AERODIGESTIVE_TRACT	1.78
GI_1	866	CENTRAL_NERVOUS_SYSTEM	1.92
GB_1	1201	CENTRAL_NERVOUS_SYSTEM	2.05
639_V	1004	URINARY_TRACT	2.21
KYSE_140	783	OESOPHAGUS	2.24
MHH_ES_1	2971	BONE_AND_SOFT_TISSUE	2.29
OCI_AML2	2205	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	2.52
NU_DUL_1	1426	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	2.67
HOS	2032	BONE_AND_SOFT_TISSUE	2.78
BFTC_905	1377	URINARY_TRACT	2.82
RCH_ACV	812	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	2.84
HOP_92	987	LUNG	2.84
ONS_76	2314	CENTRAL_NERVOUS_SYSTEM	2.95
JVM_3	1107	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	3.03
BHT_101	1423	THYROID	3.28
A101D	829	SKIN	3.39
NAMALWA	1188	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	3.46
OCI_LY_19	2809	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	3.46
OS_RC_2	1390	KIDNEY	3.72
SK_ES_1	1705	BONE_AND_SOFT_TISSUE	3.73
697	730	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	3.76
DOHH_2	1409	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	3.83
BV_173	16007	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	3.91
KYM_1	1284	BONE_AND_SOFT_TISSUE	3.91
A2058	721	SKIN	3.93
SF539	714	CENTRAL_NERVOUS_SYSTEM	3.98
JURL_MK1	4191	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	4.12
NCI_H1105	5366	LUNG	4.12
SK_MEL_30	971	SKIN	4.25
KURAMOCHI	1804	OVARY	4.26
NCI_H526	1480	LUNG	4.3
OVTOKO	959	OVARY	4.41
JM1	1519	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	4.45
KARPAS_299	1559	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	4.49
NCI_H82	1749	LUNG	4.54
RPMI_7951	1662	SKIN	4.56
MOLT_16	1279	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	4.56
SUP_B15	1658	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	4.62
MDA_MB_436	1338	BREAST	4.64
H4	1205	CENTRAL_NERVOUS_SYSTEM	4.71
SNU_182	1020	BILIARY	4.82
HOP_62	780	LUNG	4.84
A3_KAW	1897	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	4.93
G_402	1831	KIDNEY	5
KE_37	1823	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	5.04
NCI_H1781	1021	LUNG	5.06
LAMA_84	1188	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	5.13
SU_DHL_5	4841	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	5.15
NCI_H23	2264	LUNG	5.63
NCI_H1341	1336	LUNG	5.65
FTC_133	695	THYROID	5.74
MHH_NB_11	38432	CENTRAL_NERVOUS_SYSTEM	5.85
UM_UC_3	1396	URINARY_TRACT	5.92
PC_14	1015	LUNG	5.95
SK_LMS_1	755	BONE_AND_SOFT_TISSUE	6.07
C32	1202	SKIN	6.07
BL_41	1617	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	6.11
KOPN_8	1368	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	6.16
MDA_MB_468	1145	BREAST	6.25
CAL_33	2283	UPPER_AERODIGESTIVE_TRACT	6.34
OCI_AML5	1455	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	6.34
SUIT_2	3490	PANCREAS	6.37
MPP_89	2517	LUNG	6.5
NCI_H1155	1694	LUNG	6.67
MOLM_16	1492	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	6.78
NCI_H2110	1279	LUNG	6.8
NCI_H2023	772	LUNG	6.89
S_117	832	THYROID	6.94
HL_60	4186	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7
NCI_H524	3023	LUNG	7.02
MES_SA	1704	BONE_AND_SOFT_TISSUE	7.17
RPMI_8402	966	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.33
CHP_126	2950	CENTRAL_NERVOUS_SYSTEM	7.38
L_540	1561	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.44
CMK	1367	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.48
CML_T1	2116	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.53
huH_1	2674	BILIARY	7.57
ACHN	507	KIDNEY	7.67
NCI_H1734	651	LUNG	7.75
MEL_HO	974	SKIN	7.75
DEL	2253	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.8
AN3_CA	2364	CERVICAL	7.82
BxPC_3	889	PANCREAS	7.84
CADO_ES1	2276	BONE_AND_SOFT_TISSUE	7.89
HT_1080	1025	BONE_AND_SOFT_TISSUE	7.89
NCI_H1651	1194	LUNG	7.91
LN_18	1230	CENTRAL_NERVOUS_SYSTEM	8.13
A4_Fuk	1385	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	8.14
CAL_51	2001	BREAST	8.23
CAL_29	1297	URINARY_TRACT	8.28
ES_2	873	OVARY	8.29
TYK_nu	1305	OVARY	8.42
AU565	1063	BREAST	8.48
SF126	698	CENTRAL_NERVOUS_SYSTEM	8.74
P12_ICHIKAWA	2998	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	8.75
MHH_CALL_2	1264	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	8.87
NCI_H661	2000	LUNG	8.95
KU_19_19	1875	URINARY_TRACT	8.97
MOLP_8	744	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	9.06
NALM_6	2227	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	9.22
647_V	804	URINARY_TRACT	9.55
8505C	596	THYROID	9.79
HCC70	874	BREAST	9.87
JHH_7	1372	BILIARY	10
L_428	1690	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	10
NCI_H1048	1439	LUNG	10.1
HCC1395	2290	BREAST	10.1
TE_8	3840	OESOPHAGUS	10.1
NCI_H1694	2639	LUNG	10.3
GRANTA_519	2896	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	10.4
U_2_OS	1627	BONE_AND_SOFT_TISSUE	10.5
ALL_SIL	771	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	10.5
SK_UT_1	2106	BONE_AND_SOFT_TISSUE	10.5
NOMO_1	1786	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	10.5
SNU_5	822	STOMACH	10.8
NCI_H1792	1020	LUNG	11
HuTu_80	1204	STOMACH	11
NCI_H2081	3414	LUNG	11.1
OVCAR_8	798	OVARY	11.1
SK_N_AS	975	CENTRAL_NERVOUS_SYSTEM	11.2
JHH_4	639	BILIARY	11.3
COLO_679	1165	SKIN	11.4
HCC1187	1592	BREAST	11.5
UACC_62	3210	SKIN	11.6
SK_N_DZ	1709	CENTRAL_NERVOUS_SYSTEM	11.7
LCLC_103H	891	LUNG	11.9
SCaBER	1092	URINARY_TRACT	12
YH_13	4922	CENTRAL_NERVOUS_SYSTEM	12.2
MDST8	1313	LARGE_INTESTINE	12.2
KMRC_20	1262	KIDNEY	12.3
