ccle	outlier	tissue	ic50
NCI_H292	2046	LUNG	0.000252
HSC_4	2212	UPPER_AERODIGESTIVE_TRACT	0.000381
SF539	714	CENTRAL_NERVOUS_SYSTEM	0.000397
BFTC_905	1377	URINARY_TRACT	0.000407
FTC_133	695	THYROID	0.000522
TE_8	3840	OESOPHAGUS	0.000548
HT_1080	1025	BONE_AND_SOFT_TISSUE	0.000549
TE_11	615	OESOPHAGUS	0.000556
COLO_800	879	SKIN	0.000571
SCaBER	1092	URINARY_TRACT	0.000575
CAL_33	2283	UPPER_AERODIGESTIVE_TRACT	0.000584
GI_1	866	CENTRAL_NERVOUS_SYSTEM	0.000605
RPMI_7951	1662	SKIN	0.000631
SK_LMS_1	755	BONE_AND_SOFT_TISSUE	0.000651
A2058	721	SKIN	0.000759
HSC_2	1018	UPPER_AERODIGESTIVE_TRACT	0.00076
SJSA_1	1112	BONE_AND_SOFT_TISSUE	0.000819
EC_GI_10	4318	OESOPHAGUS	0.000835
SCC_25	1015	UPPER_AERODIGESTIVE_TRACT	0.000925
JIMT_1	1212	BREAST	0.000939
G_402	1831	KIDNEY	0.000943
TE_9	962	OESOPHAGUS	0.000961
RL95_2	901	CERVICAL	0.00099
SCC_4	1603	UPPER_AERODIGESTIVE_TRACT	0.00101
CAL_29	1297	URINARY_TRACT	0.00103
8505C	596	THYROID	0.00105
MHH_ES_1	2971	BONE_AND_SOFT_TISSUE	0.00106
MEL_HO	974	SKIN	0.00106
YH_13	4922	CENTRAL_NERVOUS_SYSTEM	0.00108
RKN	1119	BONE_AND_SOFT_TISSUE	0.00109
SNU_182	1020	BILIARY	0.0011
RERF_LC_KJ	1503	LUNG	0.00112
LXF_289	3464	LUNG	0.00113
42_MG_BA	1205	CENTRAL_NERVOUS_SYSTEM	0.00115
HuTu_80	1204	STOMACH	0.00119
Hs_683	659	CENTRAL_NERVOUS_SYSTEM	0.00121
MDST8	1313	LARGE_INTESTINE	0.00122
HOS	2032	BONE_AND_SOFT_TISSUE	0.00122
GMS_10	935	CENTRAL_NERVOUS_SYSTEM	0.00124
EFM_19	1148	BREAST	0.00131
TE_4	1768	OESOPHAGUS	0.00134
HCC1187	1592	BREAST	0.00135
NCI_H1792	1020	LUNG	0.00135
EPLC_272H	1068	LUNG	0.00136
TOV_21G	1409	OVARY	0.00137
KYSE_450	912	OESOPHAGUS	0.00143
SU_DHL_5	4841	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.00145
EBC_1	1266	LUNG	0.00147
T98G	554	CENTRAL_NERVOUS_SYSTEM	0.00157
RERF_LC_MS	871	LUNG	0.00157
KYM_1	1284	BONE_AND_SOFT_TISSUE	0.0016
639_V	1004	URINARY_TRACT	0.00162
MG_63	1766	BONE_AND_SOFT_TISSUE	0.00163
RH_41	1785	BONE_AND_SOFT_TISSUE	0.00164
SNG_M	1737	CERVICAL	0.00165
OE21	1310	OESOPHAGUS	0.00168
MIA_PaCa_2	1830	PANCREAS	0.00177
BV_173	16007	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.00178
LK_2	1133	LUNG	0.00184
SNU_387	1024	BILIARY	0.00187
LCLC_97TM1	1166	LUNG	0.00188
KS_1	700	CENTRAL_NERVOUS_SYSTEM	0.0019
LOU_NH91	858	LUNG	0.00198
NCI_H650	2428	LUNG	0.00203
DBTRG_05MG	982	CENTRAL_NERVOUS_SYSTEM	0.00206
BL_41	1617	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.00208
SF268	1239	CENTRAL_NERVOUS_SYSTEM	0.00214
RPMI_8226	1249	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.00214
MFE_296	897	CERVICAL	0.0022
SCC_9	7103	UPPER_AERODIGESTIVE_TRACT	0.00221
SW1417	969	LARGE_INTESTINE	0.00223
U_2_OS	1627	BONE_AND_SOFT_TISSUE	0.00224
HCC70	874	BREAST	0.0023
NCI_H1437	3682	LUNG	0.00234
HOP_62	780	LUNG	0.00237
KELLY	3202	CENTRAL_NERVOUS_SYSTEM	0.00239
Saos_2	1387	BONE_AND_SOFT_TISSUE	0.00239
AU565	1063	BREAST	0.00242
NCI_H1048	1439	LUNG	0.00249
LN_229	758	CENTRAL_NERVOUS_SYSTEM	0.0025
SBC_5	1111	LUNG	0.00251
NCI_H2452	1763	LUNG	0.00254
NCI_H647	670	LUNG	0.00256
