ccle	outlier	tissue	ic50
ALL_SIL	771	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0277
LAMA_84	1188	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0729
EM_2	1392	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.101
GDM_1	3642	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.145
KCL_22	1110	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.178
BV_173	16007	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.193
SUP_B15	1658	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.253
JURL_MK1	4191	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.532
ST486	6104	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.532
K_562	1379	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.699
NCI_H1436	2328	LUNG	1.26
SUP_T1	3163	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	2.48
MC116	1302	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	4.26
RS4_11	2514	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	4.96
TE_441_T	3689	BONE_AND_SOFT_TISSUE	5.1
SU_DHL_1	6979	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	5.14
NCI_H524	3023	LUNG	5.52
UACC_812	9782	BREAST	6.14
SU_DHL_4	2126	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	6.98
MPP_89	2517	LUNG	7.05
SHP_77	2657	LUNG	7.31
GA_10	1826	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.5
NCI_H1395	1857	LUNG	7.53
OCI_AML5	1455	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.55
NCI_H2171	3025	LUNG	7.64
KP_N_RT_BM_1	5933	CENTRAL_NERVOUS_SYSTEM	7.66
TE_11	615	OESOPHAGUS	7.82
SIG_M5	1359	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.9
SU_DHL_6	2510	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	8.19
OCI_AML2	2205	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	8.48
NCI_H1666	1473	LUNG	8.5
CHP_126	2950	CENTRAL_NERVOUS_SYSTEM	9.58
BL_41	1617	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	9.6
KE_37	1823	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	9.61
SK_MEL_1	2259	SKIN	9.66
HT_144	630	SKIN	9.86
RL95_2	901	CERVICAL	10.3
L_540	1561	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	10.5
697	730	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	10.6
NCI_H211	1679	LUNG	10.7
Calu_6	1156	LUNG	10.8
NU_DUL_1	1426	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	10.8
DEL	2253	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	10.9
KOPN_8	1368	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	11.1
NCI_H1694	2639	LUNG	11.3
KMS_12_BM	1638	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	11.4
A3_KAW	1897	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	11.8
P31_FUJ	1126	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	11.8
KU812	1189	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	12.6
KYM_1	1284	BONE_AND_SOFT_TISSUE	12.7
SF539	714	CENTRAL_NERVOUS_SYSTEM	12.9
BL_70	1633	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	13.2
OCI_AML3	1116	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	13.4
NAMALWA	1188	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	13.4
SK_N_DZ	1709	CENTRAL_NERVOUS_SYSTEM	13.6
NCI_H2196	2857	LUNG	13.7
HuTu_80	1204	STOMACH	13.7
NALM_6	2227	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	14.1
RPMI_8226	1249	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	14.2
JJN_3	1083	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	14.3
