ccle	outlier	tissue	ic50
SNU_5	822	STOMACH	0.05
SF539	714	CENTRAL_NERVOUS_SYSTEM	0.195
DEL	2253	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.264
SU_DHL_1	6979	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.288
ALL_SIL	771	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.341
KARPAS_299	1559	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.573
EM_2	1392	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.579
KM12	7295	LARGE_INTESTINE	0.605
LAMA_84	1188	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.696
GDM_1	3642	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.8
SK_LMS_1	755	BONE_AND_SOFT_TISSUE	1.09
BV_173	16007	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1.2
KP_N_RT_BM_1	5933	CENTRAL_NERVOUS_SYSTEM	1.36
SUP_B15	1658	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1.45
KCL_22	1110	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1.49
ST486	6104	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1.53
NALM_6	2227	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1.7
CMK	1367	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1.87
697	730	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	2.04
GI_1	866	CENTRAL_NERVOUS_SYSTEM	2.13
MOLP_8	744	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	2.14
KARPAS_620	2397	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	2.25
RL95_2	901	CERVICAL	2.3
GA_10	1826	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	2.49
KS_1	700	CENTRAL_NERVOUS_SYSTEM	2.5
MC116	1302	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	3.09
OCI_AML5	1455	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	3.09
HuTu_80	1204	STOMACH	3.14
A4_Fuk	1385	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	3.15
BL_70	1633	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	3.36
BL_41	1617	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	3.5
RPMI_8402	966	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	3.66
RPMI_8226	1249	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	3.86
SU_DHL_8	1686	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	3.93
K_562	1379	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	3.96
KE_37	1823	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	3.98
NAMALWA	1188	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	4.03
JURL_MK1	4191	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	4.07
SIG_M5	1359	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	4.14
HCC1599	6658	BREAST	4.51
SU_DHL_6	2510	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	4.6
A3_KAW	1897	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	4.74
KMS_12_BM	1638	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	4.83
KELLY	3202	CENTRAL_NERVOUS_SYSTEM	5.33
L_363	4784	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	5.35
HCC1187	1592	BREAST	5.39
DOHH_2	1409	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	5.52
OCI_LY_19	2809	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	5.68
OPM_2	1925	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	5.69
PL_21	2004	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	5.69
Daudi	1832	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	5.71
MONO_MAC_6	1471	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	5.84
JM1	1519	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	5.85
SU_DHL_4	2126	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	6.08
L_1236	1962	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	6.11
NCI_H1648	1958	LUNG	6.52
NCI_H524	3023	LUNG	6.6
KYM_1	1284	BONE_AND_SOFT_TISSUE	6.61
KU812	1189	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	6.63
SK_UT_1	2106	BONE_AND_SOFT_TISSUE	6.86
NU_DUL_1	1426	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.18
TE_10	4325	OESOPHAGUS	7.29
PF_382	7791	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.34
AMO_1	1746	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.34
LXF_289	3464	LUNG	7.48
P3HR_1	1568	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.6
NCI_H82	1749	LUNG	7.62
SK_ES_1	1705	BONE_AND_SOFT_TISSUE	7.65
KOPN_8	1368	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.82
CHP_126	2950	CENTRAL_NERVOUS_SYSTEM	8.1
OCI_AML2	2205	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	8.18
KM_H2	1707	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	8.47
L_428	1690	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	8.5
HEL	1202	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	8.82
LP_1	1932	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	8.93
NCI_H1963	2030	LUNG	8.95
KNS_42	1188	CENTRAL_NERVOUS_SYSTEM	9.04
