ccle	outlier	tissue	ic50
SNU_5	822	STOMACH	0.0528
SK_LMS_1	755	BONE_AND_SOFT_TISSUE	0.582
BL_41	1617	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1.43
TE_441_T	3689	BONE_AND_SOFT_TISSUE	1.89
GDM_1	3642	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1.98
SUP_T1	3163	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	2.1
DOHH_2	1409	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	2.35
NCI_H1666	1473	LUNG	2.69
KYM_1	1284	BONE_AND_SOFT_TISSUE	2.82
ALL_SIL	771	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	3.06
NAMALWA	1188	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	3.15
NCI_H2171	3025	LUNG	3.65
GI_1	866	CENTRAL_NERVOUS_SYSTEM	3.86
RS4_11	2514	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	4.11
KM12	7295	LARGE_INTESTINE	4.32
SU_DHL_4	2126	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	4.82
MOLT_13	3827	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	4.87
MC116	1302	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	4.98
KE_37	1823	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	5.19
697	730	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	5.24
OCI_AML5	1455	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	5.33
SU_DHL_1	6979	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	5.5
HT_144	630	SKIN	5.68
NCI_H1395	1857	LUNG	5.82
SF539	714	CENTRAL_NERVOUS_SYSTEM	6.07
TE_15	826	OESOPHAGUS	6.14
OCI_AML2	2205	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	6.28
LXF_289	3464	LUNG	6.48
TE_11	615	OESOPHAGUS	6.49
A101D	829	SKIN	6.6
SUP_B15	1658	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	6.68
KP_N_YN	4239	CENTRAL_NERVOUS_SYSTEM	6.81
A3_KAW	1897	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	6.84
KS_1	700	CENTRAL_NERVOUS_SYSTEM	6.88
BL_70	1633	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	6.98
NALM_6	2227	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.29
SIG_M5	1359	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	7.9
SU_DHL_6	2510	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	8.19
NCI_H524	3023	LUNG	8.22
RPMI_8402	966	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	8.31
HCC1187	1592	BREAST	8.6
U_87_MG	1236	CENTRAL_NERVOUS_SYSTEM	9.64
COLO_800	879	SKIN	9.85
MONO_MAC_6	1471	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	10.2
K_562	1379	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	10.2
RL95_2	901	CERVICAL	10.3
SIMA	2852	CENTRAL_NERVOUS_SYSTEM	11
KU812	1189	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	11
UACC_812	9782	BREAST	11.2
TE_10	4325	OESOPHAGUS	11.5
KOPN_8	1368	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	11.7
P31_FUJ	1126	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	11.7
DEL	2253	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	11.8
