ccle	outlier	tissue	ic50
TE_15	826	OESOPHAGUS	0.00126
TE_11	615	OESOPHAGUS	0.00137
TE_8	3840	OESOPHAGUS	0.00194
697	730	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0022
HuTu_80	1204	STOMACH	0.00238
LXF_289	3464	LUNG	0.0025
TE_10	4325	OESOPHAGUS	0.00254
GA_10	1826	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.00255
SU_DHL_6	2510	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.00285
RL95_2	901	CERVICAL	0.00298
OCI_LY_19	2809	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.00304
GI_1	866	CENTRAL_NERVOUS_SYSTEM	0.00328
KALS_1	2047	CENTRAL_NERVOUS_SYSTEM	0.00329
SK_UT_1	2106	BONE_AND_SOFT_TISSUE	0.00368
NAMALWA	1188	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.00379
A4_Fuk	1385	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0042
MC116	1302	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.00423
BL_41	1617	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.00439
KARPAS_620	2397	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.00443
ALL_SIL	771	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.00466
SIG_M5	1359	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.00466
SK_LMS_1	755	BONE_AND_SOFT_TISSUE	0.00468
TE_9	962	OESOPHAGUS	0.00484
NCI_H1648	1958	LUNG	0.00504
KS_1	700	CENTRAL_NERVOUS_SYSTEM	0.00551
RPMI_8226	1249	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.00574
TE_1	996	OESOPHAGUS	0.00612
KMS_12_BM	1638	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.00615
TE_6	2551	OESOPHAGUS	0.00642
BL_70	1633	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.00686
KM12	7295	LARGE_INTESTINE	0.00732
NCI_H211	1679	LUNG	0.00736
HL_60	4186	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.00757
RS4_11	2514	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.00765
AMO_1	1746	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0077
SH_4	1508	SKIN	0.00778
OCI_AML2	2205	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.00785
DOHH_2	1409	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0079
SU_DHL_4	2126	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.00862
KOPN_8	1368	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.00875
BV_173	16007	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.00886
SF268	1239	CENTRAL_NERVOUS_SYSTEM	0.0089
NALM_6	2227	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.00891
L_363	4784	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.00908
NCI_H524	3023	LUNG	0.00937
NCI_H1355	1337	LUNG	0.00938
DEL	2253	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.00941
KURAMOCHI	1804	OVARY	0.0097
JJN_3	1083	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.00972
NU_DUL_1	1426	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.00991
A101D	829	SKIN	0.0102
HT_144	630	SKIN	0.0103
KCL_22	1110	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0103
OCI_AML3	1116	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0106
Calu_6	1156	LUNG	0.0106
OVCAR_4	736	OVARY	0.0107
KNS_42	1188	CENTRAL_NERVOUS_SYSTEM	0.0109
PL_21	2004	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0112
ST486	6104	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0113
HOP_62	780	LUNG	0.0113
NCI_H1975	874	LUNG	0.0124
P3HR_1	1568	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0127
MOLT_13	3827	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0131
KE_37	1823	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0133
OCI_AML5	1455	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0136
GDM_1	3642	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0139
NCI_H1436	2328	LUNG	0.0141
ONS_76	2314	CENTRAL_NERVOUS_SYSTEM	0.0144
SUP_B15	1658	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0144
SK_ES_1	1705	BONE_AND_SOFT_TISSUE	0.0145
RPMI_8402	966	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0148
HCC1187	1592	BREAST	0.0153
Daudi	1832	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0154
NOMO_1	1786	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0158
MOLP_8	744	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0161
SNB75	574	CENTRAL_NERVOUS_SYSTEM	0.0164
K_562	1379	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0167
SU_DHL_8	1686	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0174
PF_382	7791	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0185
NCI_H747	1364	LARGE_INTESTINE	0.0187
SNU_5	822	STOMACH	0.0188
SJSA_1	1112	BONE_AND_SOFT_TISSUE	0.0205
KU812	1189	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0213
NCI_H69	2664	LUNG	0.0223
NCI_H1963	2030	LUNG	0.0228
HCC1599	6658	BREAST	0.0245
SF539	714	CENTRAL_NERVOUS_SYSTEM	0.0268
MONO_MAC_6	1471	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0273
GRANTA_519	2896	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0276
NCI_H2126	2746	LUNG	0.0287
NCI_H526	1480	LUNG	0.0293
CMK	1367	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0315
COLO_684	3120	CERVICAL	0.0315
NCI_H1876	5253	LUNG	0.032
NCI_H82	1749	LUNG	0.0346
KM_H2	1707	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0351
OPM_2	1925	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0387
CAL_148	1255	BREAST	0.0388
UACC_257	1719	SKIN	0.0403
GB_1	1201	CENTRAL_NERVOUS_SYSTEM	0.0408
HEL	1202	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0412
L_540	1561	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0423
TC_71	1189	BONE_AND_SOFT_TISSUE	0.0431
EJM	1421	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0443
TF_1	1542	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0487
HH	1352	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.049
KARPAS_299	1559	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0491
KARPAS_422	2297	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0494
TALL_1	5061	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0504
EM_2	1392	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0541
JM1	1519	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0563
HT	2079	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.057
NCI_H209	1778	LUNG	0.0621
ES_2	873	OVARY	0.0684
Toledo	3601	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0726
MDST8	1313	LARGE_INTESTINE	0.073
SCLC_21H	14354	LUNG	0.0746
A3_KAW	1897	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0765
SK_N_DZ	1709	CENTRAL_NERVOUS_SYSTEM	0.0769
SF126	698	CENTRAL_NERVOUS_SYSTEM	0.0778
WSU_DLCL2	4467	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0792
SIMA	2852	CENTRAL_NERVOUS_SYSTEM	0.0801
LAMA_84	1188	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.091
LP_1	1932	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0942
L_428	1690	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0962
KLE	1367	CERVICAL	0.0964
OS_RC_2	1390	KIDNEY	0.0966
L_1236	1962	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0969
HCC2157	1383	BREAST	0.0995
KELLY	3202	CENTRAL_NERVOUS_SYSTEM	0.107
Raji	1268	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.108
KP_N_RT_BM_1	5933	CENTRAL_NERVOUS_SYSTEM	0.115
NCI_H1869	2447	LUNG	0.12
MHH_NB_11	38432	CENTRAL_NERVOUS_SYSTEM	0.128
NCI_H1155	1694	LUNG	0.135
EC_GI_10	4318	OESOPHAGUS	0.139
NCI_H1694	2639	LUNG	0.139
SU_DHL_1	6979	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.14
LC_1F	1389	LUNG	0.144
CAS_1	1586	CENTRAL_NERVOUS_SYSTEM	0.149
BT_474	945	BREAST	0.156
KP_N_YN	4239	CENTRAL_NERVOUS_SYSTEM	0.16
CA46	2924	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.172
COR_L95	2822	LUNG	0.188
MDA_MB_134_VI	8586	BREAST	0.199
TE_441_T	3689	BONE_AND_SOFT_TISSUE	0.229
EHEB	1698	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.236
SHP_77	2657	LUNG	0.277
NCI_H2171	3025	LUNG	0.287
NCI_H1092	3599	LUNG	0.296
NCI_H2196	2857	LUNG	0.362
SK_MEL_1	2259	SKIN	0.393
CHP_126	2950	CENTRAL_NERVOUS_SYSTEM	0.396
SK_N_FI	2223	CENTRAL_NERVOUS_SYSTEM	0.449
NCI_H23	2264	LUNG	0.454
MPP_89	2517	LUNG	0.557
