ccle	outlier	tissue	ic50
MONO_MAC_6	1471	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0288
GDM_1	3642	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.0409
SH_4	1508	SKIN	0.6
HOP_62	780	LUNG	0.838
OCI_AML5	1455	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.897
KM12	7295	LARGE_INTESTINE	0.905
OCI_AML2	2205	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.987
697	730	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1.17
SU_DHL_8	1686	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1.24
ALL_SIL	771	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1.32
BV_173	16007	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1.46
NCI_H1436	2328	LUNG	1.51
LAMA_84	1188	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1.54
EM_2	1392	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1.57
A3_KAW	1897	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1.59
KG_1	829	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1.65
SF126	698	CENTRAL_NERVOUS_SYSTEM	1.67
GA_10	1826	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1.68
SF539	714	CENTRAL_NERVOUS_SYSTEM	1.87
SIG_M5	1359	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	1.94
NCI_H2171	3025	LUNG	2.11
SK_UT_1	2106	BONE_AND_SOFT_TISSUE	2.25
MDA_MB_134_VI	8586	BREAST	2.26
DEL	2253	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	2.36
HL_60	4186	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	2.37
SU_DHL_4	2126	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	2.54
SUP_B15	1658	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	2.59
HuTu_80	1204	STOMACH	2.73
Daudi	1832	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	2.84
OCI_LY_19	2809	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	2.9
BL_41	1617	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	2.97
L_540	1561	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	2.97
NU_DUL_1	1426	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	2.99
JJN_3	1083	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	3.17
TE_9	962	OESOPHAGUS	3.19
SU_DHL_6	2510	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	3.2
DOHH_2	1409	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	3.26
RPMI_8226	1249	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	3.3
LP_1	1932	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	3.4
NAMALWA	1188	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	3.42
A4_Fuk	1385	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	3.45
LXF_289	3464	LUNG	3.46
BL_70	1633	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	3.5
KE_37	1823	HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	3.51
TE_10	4325	OESOPHAGUS	3.58
Calu_6	1156	LUNG	3.61
