ccle	outliers	tissue
BI-BLCA-CCLE-253J-Tumor	1529	URINARY_TRACT
BI-BLCA-CCLE-253J_BV-Tumor	1370	URINARY_TRACT
BI-BLCA-CCLE-639_V-Tumor	1004	URINARY_TRACT
BI-BLCA-CCLE-647_V-Tumor	804	URINARY_TRACT
BI-BLCA-CCLE-BC_3C-Tumor	592	URINARY_TRACT
BI-BLCA-CCLE-BFTC_905-Tumor	1377	URINARY_TRACT
BI-BLCA-CCLE-CAL_29-Tumor	1297	URINARY_TRACT
BI-BLCA-CCLE-Hs_172_T-Tumor	2989	URINARY_TRACT
BI-BLCA-CCLE-HT_1197-Tumor	1014	URINARY_TRACT
BI-BLCA-CCLE-HT_1376-Tumor	882	URINARY_TRACT
BI-BLCA-CCLE-J82-Tumor	976	URINARY_TRACT
BI-BLCA-CCLE-JMSU_1-Tumor	991	URINARY_TRACT
BI-BLCA-CCLE-KMBC_2-Tumor	1894	URINARY_TRACT
BI-BLCA-CCLE-KU_19_19-Tumor	1875	URINARY_TRACT
BI-BLCA-CCLE-RT_112-Tumor	799	URINARY_TRACT
BI-BLCA-CCLE-SCaBER-Tumor	1092	URINARY_TRACT
BI-BLCA-CCLE-SW_1710-Tumor	2562	URINARY_TRACT
BI-BLCA-CCLE-SW_780-Tumor	8965	URINARY_TRACT
BI-BLCA-CCLE-T24-Tumor	700	URINARY_TRACT
BI-BLCA-CCLE-TCCSUP-Tumor	1235	URINARY_TRACT
BI-BLCA-CCLE-U_BLC1-Tumor	3570	URINARY_TRACT
BI-BLCA-CCLE-UM_UC_1-Tumor	2792	URINARY_TRACT
BI-BLCA-CCLE-UM_UC_3-Tumor	1396	URINARY_TRACT
BI-BRCA-CCLE-AU565-Tumor	1063	BREAST
BI-BRCA-CCLE-BT_20-Tumor	1141	BREAST
BI-BRCA-CCLE-BT_474-Tumor	945	BREAST
BI-BRCA-CCLE-BT_483-Tumor	857	BREAST
BI-BRCA-CCLE-BT_549-Tumor	1783	BREAST
BI-BRCA-CCLE-CAL_120-Tumor	1098	BREAST
BI-BRCA-CCLE-CAL_148-Tumor	1255	BREAST
BI-BRCA-CCLE-CAL_51-Tumor	2001	BREAST
BI-BRCA-CCLE-CAL_85_1-Tumor	917	BREAST
BI-BRCA-CCLE-CAMA_1-Tumor	1439	BREAST
BI-BRCA-CCLE-EFM_19-Tumor	1148	BREAST
BI-BRCA-CCLE-EFM_192A-Tumor	909	BREAST
BI-BRCA-CCLE-HCC1187-Tumor	1592	BREAST
BI-BRCA-CCLE-HCC1395-Tumor	2290	BREAST
BI-BRCA-CCLE-HCC1428-Tumor	1713	BREAST
BI-BRCA-CCLE-HCC1500-Tumor	2489	BREAST
BI-BRCA-CCLE-HCC1569-Tumor	2098	BREAST
BI-BRCA-CCLE-HCC1599-Tumor	6658	BREAST
BI-BRCA-CCLE-HCC1806-Tumor	1902	BREAST
BI-BRCA-CCLE-HCC1937-Tumor	1797	BREAST
BI-BRCA-CCLE-HCC202-Tumor	1080	BREAST
BI-BRCA-CCLE-HCC2157-Tumor	1383	BREAST
BI-BRCA-CCLE-HCC38-Tumor	1276	BREAST
BI-BRCA-CCLE-HCC70-Tumor	874	BREAST
BI-BRCA-CCLE-HDQ_P1-Tumor	1632	BREAST
BI-BRCA-CCLE-HMC_1_8-Tumor	1155	BREAST
BI-BRCA-CCLE-Hs_281_T-Tumor	752	BREAST
BI-BRCA-CCLE-Hs_343_T-Tumor	740	BREAST
BI-BRCA-CCLE-Hs_578T-Tumor	2367	BREAST
BI-BRCA-CCLE-Hs_606_T-Tumor	841	BREAST
BI-BRCA-CCLE-Hs_739_T-Tumor	1096	BREAST
BI-BRCA-CCLE-Hs_742_T-Tumor	1009	BREAST
BI-BRCA-CCLE-JIMT_1-Tumor	1212	BREAST
BI-BRCA-CCLE-KPL_1-Tumor	1190	BREAST
BI-BRCA-CCLE-MDA_MB_134_VI-Tumor	8586	BREAST
BI-BRCA-CCLE-MDA_MB_157-Tumor	2006	BREAST
BI-BRCA-CCLE-MDA_MB_175_VII-Tumor	1481	BREAST
BI-BRCA-CCLE-MDA_MB_231-Tumor	2029	BREAST
BI-BRCA-CCLE-MDA_MB_415-Tumor	4686	BREAST
BI-BRCA-CCLE-MDA_MB_435S-Tumor	2001	BREAST
BI-BRCA-CCLE-MDA_MB_436-Tumor	1338	BREAST
BI-BRCA-CCLE-MDA_MB_468-Tumor	1145	BREAST
BI-BRCA-CCLE-SK_BR_3-Tumor	810	BREAST
BI-BRCA-CCLE-UACC_812-Tumor	9782	BREAST
BI-BRCA-CCLE-UACC_893-Tumor	2098	BREAST
BI-BRCA-CCLE-ZR_75_1-Tumor	10579	BREAST
BI-BRCA-CCLE-ZR_75_30-Tumor	1194	BREAST
BI-CESC-CCLE-AN3_CA-Tumor	2364	CERVICAL
BI-CESC-CCLE-COLO_684-Tumor	3120	CERVICAL
BI-CESC-CCLE-EFE_184-Tumor	1282	CERVICAL
BI-CESC-CCLE-EN-Tumor	2151	CERVICAL
BI-CESC-CCLE-HEC_108-Tumor	7252	CERVICAL
BI-CESC-CCLE-HEC_151-Tumor	1745	CERVICAL
BI-CESC-CCLE-HEC_1_A-Tumor	933	CERVICAL
BI-CESC-CCLE-HEC_1_B-Tumor	2018	CERVICAL
BI-CESC-CCLE-HEC_251-Tumor	2183	CERVICAL
BI-CESC-CCLE-HEC_265-Tumor	1891	CERVICAL
BI-CESC-CCLE-HEC_50B-Tumor	1221	CERVICAL
BI-CESC-CCLE-HEC_59-Tumor	1945	CERVICAL
BI-CESC-CCLE-HEC_6-Tumor	1595	CERVICAL
BI-CESC-CCLE-Ishikawa__Heraklio__02_ER-Tumor	999	CERVICAL
BI-CESC-CCLE-JHUEM_2-Tumor	754	CERVICAL
BI-CESC-CCLE-JHUEM_3-Tumor	2009	CERVICAL
BI-CESC-CCLE-JHUEM_7-Tumor	1219	CERVICAL
BI-CESC-CCLE-KLE-Tumor	1367	CERVICAL
BI-CESC-CCLE-MFE_280-Tumor	1628	CERVICAL
BI-CESC-CCLE-MFE_296-Tumor	897	CERVICAL
BI-CESC-CCLE-MFE_319-Tumor	1767	CERVICAL
BI-CESC-CCLE-RL95_2-Tumor	901	CERVICAL
BI-CESC-CCLE-SNG_M-Tumor	1737	CERVICAL
BI-CESC-CCLE-SNU_1077-Tumor	1087	CERVICAL
BI-CESC-CCLE-SNU_685-Tumor	743	CERVICAL
BI-COAD-CCLE-CL_11-Tumor	1045	LARGE_INTESTINE
BI-COAD-CCLE-CL_14-Tumor	1453	LARGE_INTESTINE
BI-COAD-CCLE-CL_34-Tumor	906	LARGE_INTESTINE
BI-COAD-CCLE-CL_40-Tumor	951	LARGE_INTESTINE
BI-COAD-CCLE-COLO_201-Tumor	1168	LARGE_INTESTINE
BI-COAD-CCLE-COLO_320-Tumor	1609	LARGE_INTESTINE
BI-COAD-CCLE-COLO_678-Tumor	2652	LARGE_INTESTINE
BI-COAD-CCLE-CW_2-Tumor	1588	LARGE_INTESTINE
BI-COAD-CCLE-GP2d-Tumor	1803	LARGE_INTESTINE
BI-COAD-CCLE-HCC_56-Tumor	1097	LARGE_INTESTINE
BI-COAD-CCLE-Hs_255_T-Tumor	2005	LARGE_INTESTINE
