drug:tissue_type	spearman p-value	spearman corr val	adjusted spearman p-value	pearson p-value	pearson corr val	adjusted pearson p-value
AZD6244_BILIARY	0.9573761750901849	-0.016483516483516484	0.9573761750901849	0.375178852286924	-0.26844744071304555	0.5873142181564183
AZD6244_BONE_AND_SOFT_TISSUE	0.03882943217779468	0.47719298245614034	0.27180602524456277	0.052055275959711184	0.4519582014641456	0.5465330816092839
AZD6244_BREAST	0.23996521061026543	-0.2174483205941116	0.6719025897087432	0.4472416054397207	-0.141633933902411	0.626138247615609
AZD6244_CENTRAL_NERVOUS_SYSTEM	0.7364754283082684	0.059902201188398486	0.8757968812140136	0.6597475324460962	0.07831751993717585	0.7697054545204456
AZD6244_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.4616909805109456	0.08189985413376354	0.8079592158941549	0.810050136680912	0.026784559832802132	0.810050136680912
AZD6244_KIDNEY	0.021665923367532435	0.709090909090909	0.27180602524456277	0.2658900934387136	0.38949950035468234	0.5873142181564183
AZD6244_LARGE_INTESTINE	0.22466048988773962	0.2573913043478261	0.6719025897087432	0.2760516939507966	0.23166352491771963	0.5873142181564183
AZD6244_LUNG	0.169620731628114	0.13912887525853723	0.6719025897087432	0.611112291797142	0.051727520230078664	0.7697054545204456
AZD6244_OESOPHAGUS	0.36884629178393047	-0.25	0.7401662445641357	0.15615230903122398	-0.3852666020472888	0.5465330816092839
AZD6244_OVARY	0.9395779040128779	-0.021428571428571425	0.9573761750901849	0.36319227260372744	0.25286933634658615	0.5873142181564183
AZD6244_PANCREAS	0.37008312228206786	0.30000000000000004	0.7401662445641357	0.10374330625264319	0.5165820531252798	0.5465330816092839
AZD6244_SKIN	0.7283800827921102	-0.07850889892281734	0.8757968812140136	0.37755914024341175	-0.19780650675298897	0.5873142181564183
AZD6244_STOMACH	0.750683041040583	0.11550205329921229	0.8757968812140136	0.733201187683971	0.12384734441177167	0.7896012790442765
AZD6244_URINARY_TRACT	0.5779754288392673	-0.17032967032967034	0.8757968812140136	0.1268237310085883	-0.44578705047881917	0.5465330816092839
