drug:tissue_type	spearman p-value	spearman corr val	adjusted spearman p-value	pearson p-value	pearson corr val	adjusted pearson p-value
Docetaxel_BILIARY	0.7787253962454419	-0.09090909090909093	0.7787253962454419	0.9357282509634686	-0.02614057641336591	0.9357282509634686
Docetaxel_BONE_AND_SOFT_TISSUE	0.01970856591580171	0.5588235294117647	0.06569521971933903	0.07373618393632991	0.4446324664097489	0.25262665796968975
Docetaxel_BREAST	0.543772015098503	0.11751662971175167	0.6797150188731288	0.910014211109683	-0.021950459971408535	0.9357282509634686
Docetaxel_CENTRAL_NERVOUS_SYSTEM	0.002160908179953898	0.5224126889672853	0.01080454089976949	0.140935040081144	0.2661396040952057	0.281870080162288
Docetaxel_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.41322092500720264	0.09395905257652794	0.6783056636030977	0.2797128392710265	-0.12392338435362076	0.3995897703871808
Docetaxel_LARGE_INTESTINE	0.19835943382493493	-0.30877192982456136	0.46361939441231936	0.12737628236274168	-0.3623394297935368	0.281870080162288
Docetaxel_LUNG	0.001367153710927596	0.33986206642337624	0.01080454089976949	0.015031124475483474	0.2614567284741566	0.15031124475483473
Docetaxel_OESOPHAGUS	0.4748139645221684	-0.19999999999999998	0.6783056636030977	0.20641843287605738	-0.3460548933457273	0.34403072146009567
Docetaxel_OVARY	0.23180969720615968	0.3285714285714285	0.46361939441231936	0.07578799739090691	0.47182786092728357	0.25262665796968975
Docetaxel_SKIN	0.7099206278927328	0.08872180451127819	0.7787253962454419	0.4134879420476816	0.19358457249181588	0.516859927559602
