drug:tissue_type	spearman p-value	spearman corr val	adjusted p-value
Nutlin_BILIARY	0.512085328993753	0.21015794050150388	0.9628015225318068
Nutlin_BONE_AND_SOFT_TISSUE	0.17101314886910304	0.34803921568627455	0.9405723187800668
Nutlin_BREAST	0.3642500371980917	-0.17820969066520673	0.9628015225318068
Nutlin_CENTRAL_NERVOUS_SYSTEM	0.8752741113925516	-0.028413839607980593	0.9628015225318068
Nutlin_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.8026116263792924	-0.028207183911290783	0.9628015225318068
Nutlin_LARGE_INTESTINE	0.7317826946411556	-0.08421052631578947	0.9628015225318068
Nutlin_LUNG	0.10815419341382639	0.17762968018363576	0.9405723187800668
Nutlin_OESOPHAGUS	0.6479163294665075	-0.12857142857142856	0.9628015225318068
Nutlin_OVARY	0.970258390096969	0.01098901098901099	0.970258390096969
Nutlin_SKIN	0.4778286757964305	0.16842105263157892	0.9628015225318068
Nutlin_STOMACH	0.7892345325825416	-0.09726488698881033	0.9628015225318068
