drug:tissue_type	spearman p-value	spearman corr val	adjusted spearman p-value	pearson p-value	pearson corr val	adjusted pearson p-value
PD-0325901_BILIARY	0.2969041156887641	0.32867132867132864	0.5138074280334259	0.5705581463715106	0.18234974206882287	0.9619579500805783
PD-0325901_BONE_AND_SOFT_TISSUE	0.11588783814878352	0.4088235294117647	0.437463449278452	0.7401815735939985	0.09003834160066741	0.9619579500805783
PD-0325901_BREAST	0.9746369346789796	-0.0062953333010502465	0.9746369346789796	0.9019167403811895	-0.02439924667187784	0.9619579500805783
PD-0325901_CENTRAL_NERVOUS_SYSTEM	0.9531507698107247	-0.01081576553462192	0.9746369346789796	0.9619579500805783	-0.008780877564545535	0.9619579500805783
PD-0325901_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.10518300468332134	0.18134802786842671	0.437463449278452	0.8716683479308895	-0.018230723463250116	0.9619579500805783
PD-0325901_LARGE_INTESTINE	0.8978832031610189	-0.031578947368421054	0.9746369346789796	0.8042044899128886	-0.060960069019314424	0.9619579500805783
PD-0325901_LUNG	0.1489556018331098	0.1598186455174444	0.437463449278452	0.1449879638846031	0.16137436363357188	0.7249398194230156
PD-0325901_OESOPHAGUS	0.30828445682005556	-0.2821428571428571	0.5138074280334259	0.6158012354571336	-0.14116109539596985	0.9619579500805783
PD-0325901_OVARY	0.5630172739962107	-0.16923076923076924	0.8043103914231582	0.870146911505704	-0.04815440515836453	0.9619579500805783
PD-0325901_SKIN	0.1749853797113808	0.32470384872234864	0.437463449278452	0.04586672310224154	0.463067598965528	0.45866723102241536
