drug:tissue_type	spearman p-value	spearman corr val	adjusted spearman p-value	pearson p-value	pearson corr val	adjusted pearson p-value
Palbociclib_BILIARY	0.6805975082860818	-0.1328671328671329	0.7562194536512019	0.39321095184243254	-0.2715585443311479	0.49151368980304067
Palbociclib_BONE_AND_SOFT_TISSUE	0.7822747512440957	0.08131868131868132	0.7822747512440957	0.5467511229251187	0.17622224979662887	0.6075012476945764
Palbociclib_BREAST	0.47997265977954173	-0.14196306072893003	0.6342776287865423	0.6502357181745442	-0.09140567990636597	0.6502357181745442
Palbociclib_CENTRAL_NERVOUS_SYSTEM	0.03219017275872914	-0.3794683840113114	0.26054465463293464	0.039539985143711244	-0.3657340594385726	0.21854215049118506
Palbociclib_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE	0.5074221030292339	0.07470894454066027	0.6342776287865423	0.37534734660861346	-0.09980517545139225	0.49151368980304067
Palbociclib_LARGE_INTESTINE	0.05805675416762565	-0.4421052631578948	0.26054465463293464	0.043708430098237015	-0.4672115781567081	0.21854215049118506
Palbociclib_LUNG	0.07816339638988039	0.2006499911640239	0.26054465463293464	0.12057618766032374	0.17723691186824597	0.30144046915080935
Palbociclib_OESOPHAGUS	0.43539267351553756	-0.2178571428571428	0.6342776287865423	0.28841981933322036	-0.29346813453820153	0.4806996988887006
Palbociclib_OVARY	0.25987361950878973	0.3230769230769231	0.5197472390175795	0.11081767517868285	0.4450248807375182	0.30144046915080935
Palbociclib_SKIN	0.10449665262201607	0.3952528379772961	0.26124163155504015	0.15319721380034787	0.3510358756898681	0.30639442760069574
